,,,,2003-04 Season,2003-04 Season,2003-04 Season,2003-04 Season,2003-04 Season,2003-04 Season,,Career at Current School,Career at Current School,Career at Current School,Career at Current School,Career at Current School,Career at Current School,Career at Current School,Career at Current School,,Career Overall,Career Overall,Career Overall,Career Overall,Career Overall,Career Overall,Career Overall
Coach,School,Conference,,W,L,W-L%,AP Pre,AP Post,NCAA Tournament,,Since,W,L,W-L%,NCAA,S16,FF,Chmp,,W,L,W-L%,NCAA,S16,FF,Chmp
Mike Adras,Northern Arizona,Big Sky,,15,14,.517,,,,,1999-00,79,66,.545,1,,,,,79,66,.545,1,,,
Steve Aggers,Loyola Marymount,WCC,,15,14,.517,,,,,2000-01,44,73,.376,,,,,,95,155,.380,,,,
Cy Alexander,Tennessee State,OVC,,7,21,.250,,,,,2003-04,7,21,.250,,,,,,283,221,.562,5,,,
Steve Alford,Iowa,Big Ten,,16,13,.552,,,,,1999-00,89,71,.556,1,,,,,167,119,.584,2,1,,
Frankie Allen,Howard,MEAC,,6,22,.214,,,,,2000-01,47,70,.402,,,,,,218,271,.446,2,,,
Dana Altman,Creighton,MVC,,20,9,.690,,,,,1994-95,195,109,.641,5,,,,,278,176,.612,6,,,
Tommy Amaker,Michigan,Big Ten,,23,11,.676,,,,,2001-02,51,42,.548,,,,,,119,97,.551,1,1,,
Mike Anderson Sr,UAB,CUSA,,22,10,.688,,,Lost Regional Semifinal,,2002-03,43,23,.652,1,1,,,,43,23,.652,1,1,,
Tevester Anderson,Jackson State,SWAC,,12,17,.414,,,,,2003-04,12,17,.414,,,,,,115,69,.625,2,,,
Ronnie Arrow,Texas A&M-Corpus Christi,Ind,,15,11,.577,,,,,2002-03,29,26,.527,,,,,,143,119,.546,2,,,
Rick Barnes,Texas,Big 12,,25,8,.758,12,12,Lost Regional Semifinal,,1998-99,141,58,.709,6,3,1,,,343,192,.641,12,4,1,
Rod Barnes,Ole Miss,SEC,,13,15,.464,,,,,1998-99,113,76,.598,3,1,,,,113,76,.598,3,1,,
