,,,,2002-03 Season,2002-03 Season,2002-03 Season,2002-03 Season,2002-03 Season,2002-03 Season,,Career at Current School,Career at Current School,Career at Current School,Career at Current School,Career at Current School,Career at Current School,Career at Current School,Career at Current School,,Career Overall,Career Overall,Career Overall,Career Overall,Career Overall,Career Overall,Career Overall
Coach,School,Conference,,W,L,W-L%,AP Pre,AP Post,NCAA Tournament,,Since,W,L,W-L%,NCAA,S16,FF,Chmp,,W,L,W-L%,NCAA,S16,FF,Chmp
Mike Adras,Northern Arizona,Big Sky,,15,13,.536,,,,,1999-00,64,52,.552,1,,,,,64,52,.552,1,,,
Steve Aggers,Loyola Marymount,WCC,,11,20,.355,,,,,2000-01,29,59,.330,,,,,,80,141,.362,,,,
Cy Alexander,South Carolina State,MEAC,,20,11,.645,,,Lost First Round,,1987-88,276,200,.580,5,,,,,276,200,.580,5,,,
Steve Alford,Iowa,Big Ten,,17,14,.548,,,,,1999-00,73,58,.557,1,,,,,151,106,.588,2,1,,
Frankie Allen,Howard,MEAC,,13,17,.433,,,,,2000-01,41,48,.461,,,,,,212,249,.460,2,,,
Dana Altman,Creighton,MVC,,29,5,.853,,15,Lost First Round,,1994-95,175,100,.636,5,,,,,258,167,.607,6,,,
Tommy Amaker,Michigan,Big Ten,,17,13,.567,,,,,2001-02,28,31,.475,,,,,,96,86,.527,1,1,,
Mike Anderson Sr,UAB,CUSA,,21,13,.618,,,,,2002-03,21,13,.618,,,,,,21,13,.618,,,,
Tevester Anderson,Murray State,OVC,,17,12,.586,,,,,1998-99,103,52,.665,2,,,,,103,52,.665,2,,,
Ronnie Arrow,Texas A&M-Corpus Christi,Ind,,14,15,.483,,,,,2002-03,14,15,.483,,,,,,128,108,.542,2,,,
Rick Barnes,Texas,Big 12,,26,7,.788,4,5,Lost National Semifinal,,1998-99,116,50,.699,5,2,1,,,318,184,.633,11,3,1,
Rod Barnes,Ole Miss,SEC,,14,15,.483,,,,,1998-99,100,61,.621,3,1,,,,100,61,.621,3,1,,
Jim Baron,Rhode Island,A-10,,19,12,.613,,,,,2001-02,27,32,.458,,,,,,233,234,.499,2,,,
Butch Beard,Morgan State,MEAC,,7,22,.241,,,,,2001-02,10,47,.175,,,,,,55,116,.322,1,,,
John Beilein,West Virginia,Big East,,14,15,.483,,,,,2002-03,14,15,.483,,,,,,203,130,.610,2,,,
Bart Bellairs,VMI,Southern,,10,20,.333,,,,,1994-95,101,151,.401,,,,,,101,151,.401,,,,
Randy Bennett,Saint Mary's,WCC,,15,15,.500,,,,,2001-02,24,35,.407,,,,,,24,35,.407,,,,
Henry Bibby,USC,Pac-10,,13,17,.433,,,,,1995-96,117,103,.532,3,1,,,,117,103,.532,3,1,,
Eddie Biedenbach,UNC Asheville,Big South,,15,17,.469,,,Lost First Round,,1996-97,102,101,.502,1,,,,,131,152,.463,1,,,
Dave Bike,Sacred Heart,NEC,,8,21,.276,,,,,1999-00,26,87,.230,,,,,,26,87,.230,,,,
Ricky Blanton,Nicholls State,Southland,,3,25,.107,,,,,2002-03,3,25,.107,,,,,,3,25,.107,,,,
Dave Bliss,Baylor,Big 12,,14,14,.500,,,,,1999-00,61,57,.517,,,,,,526,328,.616,11,1,,
Jim Boeheim,Syracuse,Big East,,30,5,.857,,13,Won National Final,,1976-77,653,226,.743,22,12,3,1,,653,226,.743,22,12,3,1
Jim Boone,Eastern Michigan,MAC,,14,14,.500,,,,,2000-01,23,63,.267,,,,,,68,129,.345,,,,
Rick Boyages,William & Mary,CAA,,12,16,.429,,,,,2000-01,33,52,.388,,,,,,33,52,.388,,,,
John Brady,LSU,SEC,,21,11,.656,,,Lost First Round,,1997-98,102,81,.557,2,1,,,,191,158,.547,2,1,,
Bobby Braswell,Cal State Northridge,Big West,,14,15,.483,,,,,1996-97,111,94,.541,1,,,,,111,94,.541,1,,,
Ben Braun,California,Pac-10,,22,9,.710,,,Lost Second Round,,1996-97,140,79,.639,4,1,,,,324,212,.604,7,2,,
Tom Brennan,Vermont,AEC,,21,12,.636,,,Lost First Round,,1986-87,217,260,.455,1,,,,,263,318,.453,1,,,
Mike Brey,Notre Dame,Big East,,24,10,.706,,22,Lost Regional Semifinal,,2000-01,66,31,.680,3,1,,,,165,83,.665,5,1,,
Kevin Bromley,Cal Poly,Big West,,16,14,.533,,,,,2000-01,35,38,.479,,,,,,35,38,.479,,,,
Will Brown,Albany (NY),AEC,,7,21,.250,,,,,2001-02,14,34,.292,,,,,,14,34,.292,,,,
Brad Brownell,UNC Wilmington,CAA,,24,7,.774,,,Lost First Round,,2002-03,24,7,.774,1,,,,,24,7,.774,1,,,
Tim Buckley,Ball State,MAC,,13,17,.433,,,,,2000-01,54,41,.568,,,,,,54,41,.568,,,,
Rick Byrd,Belmont,A-Sun,,17,12,.586,,,,,1999-00,48,65,.425,,,,,,48,65,.425,,,,
Jim Calhoun,UConn,Big East,,23,10,.697,15,23,Lost Regional Semifinal,,1986-87,401,160,.715,11,9,1,1,,649,297,.686,16,9,1,1
