,,,,2019-20 Season,2019-20 Season,2019-20 Season,2019-20 Season,2019-20 Season,2019-20 Season,,Career at Current School,Career at Current School,Career at Current School,Career at Current School,Career at Current School,Career at Current School,Career at Current School,Career at Current School,,Career Overall,Career Overall,Career Overall,Career Overall,Career Overall,Career Overall,Career Overall
Coach,School,Conference,,W,L,W-L%,AP Pre,AP Post,NCAA Tournament,,Since,W,L,W-L%,NCAA,S16,FF,Chmp,,W,L,W-L%,NCAA,S16,FF,Chmp
Amir Abdur-Rahim,Kennesaw State,A-Sun,,1,28,.034,,,,,2019-20,1,28,.034,,,,,,1,28,.034,,,,
Lennie Acuff,Lipscomb,A-Sun,,16,16,.500,,,,,2019-20,16,16,.500,,,,,,16,16,.500,,,,
Griff Aldrich,Longwood,Big South,,14,18,.438,,,,,2018-19,30,36,.455,,,,,,30,36,.455,,,,
Casey Alexander,Belmont,OVC,,26,7,.788,,,,,2019-20,26,7,.788,,,,,,163,127,.562,1,,,
Steve Alford,Nevada,MWC,,19,12,.613,,,,,2019-20,19,12,.613,,,,,,528,281,.653,11,4,,
Jimmy Allen,Army,Patriot,,15,15,.500,,,,,2016-17,54,70,.435,,,,,,54,70,.435,,,,
Dana Altman,Oregon,Pac-12,,24,7,.774,15,13,,,2010-11,259,103,.715,6,4,1,,,669,346,.659,14,4,1,
Tommy Amaker,Harvard,Ivy,,21,8,.724,,,,,2007-08,251,139,.644,4,,,,,427,278,.606,5,1,,
Mike Anderson Sr,St. John's (NY),Big East,,17,15,.531,,,,,2019-20,17,15,.531,,,,,,386,215,.642,9,2,,
Tra Arnold,Iona,MAAC,,12,17,.414,,,,,2019-20,12,17,.414,,,,,,12,17,.414,,,,
Kevin Baggett,Rider,MAAC,,18,12,.600,,,,,2012-13,141,116,.549,,,,,,141,116,.549,,,,
Mike Balado,Arkansas State,Sun Belt,,16,16,.500,,,,,2017-18,40,56,.417,,,,,,40,56,.417,,,,
Pat Baldwin,Milwaukee,Horizon,,12,19,.387,,,,,2017-18,37,58,.389,,,,,,37,58,.389,,,,
Jeremy Ballard,Florida International,CUSA,,19,13,.594,,,,,2018-19,39,27,.591,,,,,,39,27,.591,,,,
Rick Barnes,Tennessee,SEC,,17,14,.548,,,,,2015-16,105,64,.621,2,1,,,,709,378,.652,24,7,1,
Rod Barnes,Cal State Bakersfield,WAC,,12,19,.387,,,,,2011-12,148,141,.512,1,,,,,334,330,.503,4,1,,
Brian Barone,SIU-Edwardsville,OVC,,8,23,.258,,,,,2019-20,8,23,.258,,,,,,8,23,.258,,,,
Richard Barron,Maine,AEC,,9,22,.290,,,,,2018-19,14,49,.222,,,,,,14,49,.222,,,,
Duggar Baucom,The Citadel,Southern,,6,24,.200,,,,,2015-16,51,106,.325,,,,,,202,265,.433,,,,
Chris Beard,Texas Tech,Big 12,,18,13,.581,13,,,,2016-17,94,44,.681,2,2,1,,,124,49,.717,3,2,1,
John Becker,Vermont,AEC,,26,7,.788,,,,,2011-12,219,91,.706,3,,,,,219,91,.706,3,,,
Randy Bennett,Saint Mary's,WCC,,26,8,.765,20,,,,2001-02,440,182,.707,7,1,,,,440,182,.707,7,1,,
Tony Bennett,Virginia,ACC,,23,7,.767,11,16,,,2009-10,277,96,.743,7,3,1,1,,346,129,.728,9,4,1,1
Grant Billmeier,Seton Hall,Big East,,1,0,1.000,12,15,,,2019-20,1,0,1.000,,,,,,1,0,1.000,,,,
Rodney Billups,Denver,Summit,,7,24,.226,,,,,2016-17,46,75,.380,,,,,,46,75,.380,,,,
Kenneth Blakeney,Howard,MEAC,,4,29,.121,,,,,2019-20,4,29,.121,,,,,,4,29,.121,,,,
Jeff Boals,Ohio,MAC,,17,15,.531,,,,,2019-20,17,15,.531,,,,,,72,57,.558,,,,
Jim Boeheim *,Syracuse,ACC,,18,14,.562,,,,,1976-77,1065,399,.727,34,19,5,1,,1065,399,.727,34,19,5,1
Anthony Boone,Central Arkansas,Southland,,9,12,.429,,,,,2019-20,9,12,.429,,,,,,9,12,.429,,,,
Tad Boyle,Colorado,Pac-12,,21,11,.656,,,,,2010-11,210,134,.610,4,,,,,266,200,.571,4,,,
Michael Boynton,Oklahoma State,Big 12,,18,14,.562,,,,,2017-18,51,49,.510,,,,,,51,49,.510,,,,
Glenn Braica,St. Francis (NY),NEC,,13,18,.419,,,,,2010-11,145,170,.460,,,,,,145,170,.460,,,,
John Brannen,Cincinnati,AAC,,20,10,.667,,,,,2019-20,20,10,.667,,,,,,102,62,.622,2,,,
Mike Brennan,American,Patriot,,16,14,.533,,,,,2013-14,94,123,.433,1,,,,,94,123,.433,1,,,
Wayne Brent,Jackson State,SWAC,,15,17,.469,,,,,2013-14,96,131,.423,,,,,,96,131,.423,,,,
Mike Brey,Notre Dame,ACC,,20,12,.625,,,,,2000-01,437,233,.652,12,3,,,,536,285,.653,14,3,,
Kevin Broadus,Morgan State,MEAC,,15,16,.484,,,,,2019-20,15,16,.484,,,,,,52,41,.559,1,,,
Will Brown,Albany (NY),AEC,,14,18,.438,,,,,2001-02,308,286,.519,5,,,,,308,286,.519,5,,,
Brad Brownell,Clemson,ACC,,16,15,.516,,,,,2010-11,185,142,.566,2,1,,,,352,227,.608,5,1,,
Shane Burcar,Northern Arizona,Big Sky,,16,14,.533,,,,,2019-20,16,14,.533,,,,,,16,14,.533,,,,
Rob Burke,UNC Wilmington,CAA,,5,8,.385,,,,,2019-20,5,8,.385,,,,,,5,8,.385,,,,
Mark Byington,Georgia Southern,Sun Belt,,20,13,.606,,,,,2013-14,131,97,.575,,,,,,131,97,.575,,,,
Jerrod Calhoun,Youngstown State,Horizon,,18,15,.545,,,,,2017-18,38,59,.392,,,,,,38,59,.392,,,,
John Calipari *,Kentucky,SEC,,25,6,.806,2,8,,,2009-10,330,77,.811,9,8,4,1,,775,217,.781,20,15,6,1
Jeff Capel III *,Pitt,ACC,,16,17,.485,,,,,2018-19,30,36,.455,,,,,,205,146,.584,3,1,,
Patrick Chambers,Penn State,Big Ten,,21,10,.677,,,,,2011-12,148,150,.497,,,,,,190,178,.516,1,,,
Jamion Christian,George Washington,A-10,,12,20,.375,,,,,2019-20,12,20,.375,,,,,,130,131,.498,2,,,
Jim Christian,Boston College,ACC,,13,19,.406,,,,,2014-15,75,119,.387,,,,,,317,273,.537,2,,,
Austin Claunch,Nicholls State,Southland,,21,10,.677,,,,,2018-19,35,27,.565,,,,,,35,27,.565,,,,
Zac Claus,Idaho,Big Sky,,8,24,.250,,,,,2019-20,8,24,.250,,,,,,8,24,.250,,,,
Bill Coen,Northeastern,CAA,,17,16,.515,,,,,2006-07,241,213,.531,2,,,,,241,213,.531,2,,,
Jon Coffman,Purdue Fort Wayne,Summit,,14,19,.424,,,,,2014-15,110,87,.558,,,,,,110,87,.558,,,,
Brian Collins,Tennessee State,OVC,,18,15,.545,,,,,2018-19,27,36,.429,,,,,,27,36,.429,,,,
