,,,,2017-18 Season,2017-18 Season,2017-18 Season,2017-18 Season,2017-18 Season,2017-18 Season,,Career at Current School,Career at Current School,Career at Current School,Career at Current School,Career at Current School,Career at Current School,Career at Current School,Career at Current School,,Career Overall,Career Overall,Career Overall,Career Overall,Career Overall,Career Overall,Career Overall
Coach,School,Conference,,W,L,W-L%,AP Pre,AP Post,NCAA Tournament,,Since,W,L,W-L%,NCAA,S16,FF,Chmp,,W,L,W-L%,NCAA,S16,FF,Chmp
Bacari Alexander,Detroit Mercy,Horizon,,8,24,.250,,,,,2016-17,16,47,.254,,,,,,16,47,.254,,,,
Casey Alexander,Lipscomb,A-Sun,,23,10,.697,,,Lost First Round,,2013-14,84,76,.525,1,,,,,108,112,.491,1,,,
Steve Alford,UCLA,Pac-12,,21,12,.636,21,,Lost First Four,,2013-14,117,57,.672,4,3,,,,502,263,.656,11,4,,
Jimmy Allen,Army,Patriot,,13,17,.433,,,,,2016-17,26,36,.419,,,,,,26,36,.419,,,,
Dana Altman,Oregon,Pac-12,,23,13,.639,,,,,2010-11,210,83,.717,5,3,1,,,620,326,.655,13,3,1,
Tommy Amaker,Harvard,Ivy,,18,14,.562,,,,,2007-08,211,119,.639,4,,,,,387,258,.600,5,1,,
Mike Anderson Sr,Arkansas,SEC,,23,12,.657,,,Lost First Round,,2011-12,151,86,.637,3,,,,,351,184,.656,9,2,,
Kevin Baggett,Rider,MAAC,,22,10,.688,,,,,2012-13,107,89,.546,,,,,,107,89,.546,,,,
Mike Balado,Arkansas State,Sun Belt,,11,21,.344,,,,,2017-18,11,21,.344,,,,,,11,21,.344,,,,
Pat Baldwin,Milwaukee,Horizon,,16,17,.485,,,,,2017-18,16,17,.485,,,,,,16,17,.485,,,,
Rick Barnes,Tennessee,SEC,,26,9,.743,,13,Lost Second Round,,2015-16,57,44,.564,1,,,,,661,358,.649,23,6,1,
Rod Barnes,Cal State Bakersfield,WAC,,12,18,.400,,,,,2011-12,118,106,.527,1,,,,,304,295,.508,4,1,,
Steve Barnes,Colorado State,MWC,,0,2,.000,,,,,2017-18,0,2,.000,,,,,,39,53,.424,,,,
Duggar Baucom,The Citadel,Southern,,11,21,.344,,,,,2015-16,33,64,.340,,,,,,184,223,.452,,,,
Chris Beard,Texas Tech,Big 12,,27,10,.730,,14,Lost Regional Final,,2016-17,45,24,.652,1,1,,,,75,29,.721,2,1,,
John Becker,Vermont,AEC,,27,8,.771,,,,,2011-12,166,77,.683,2,,,,,166,77,.683,2,,,
John Beilein,Michigan,Big Ten,,33,8,.805,,7,Lost National Final,,2007-08,248,143,.634,8,4,2,,,541,318,.630,12,6,2,
Justin Bell,UC-Riverside,Big West,,4,13,.235,,,,,2017-18,4,13,.235,,,,,,4,13,.235,,,,
Randy Bennett,Saint Mary's,WCC,,30,6,.833,22,25,,,2001-02,392,162,.708,6,1,,,,392,162,.708,6,1,,
Tony Bennett,Virginia,ACC,,31,3,.912,,1,Lost First Round,,2009-10,219,86,.718,6,2,,,,288,119,.708,8,3,,
Rodney Billups,Denver,Summit,,15,15,.500,,,,,2016-17,31,29,.517,,,,,,31,29,.517,,,,
Jeff Boals,Stony Brook,AEC,,13,19,.406,,,,,2016-17,31,33,.484,,,,,,31,33,.484,,,,
Jim Boeheim *,Syracuse,ACC,,23,14,.622,,,Lost Regional Semifinal,,1976-77,1027,371,.735,33,19,5,1,,1027,371,.735,33,19,5,1
Tad Boyle,Colorado,Pac-12,,17,15,.531,,,,,2010-11,166,110,.601,4,,,,,222,176,.558,4,,,
Michael Boynton,Oklahoma State,Big 12,,21,15,.583,,,,,2017-18,21,15,.583,,,,,,21,15,.583,,,,
Todd Bozeman *,Morgan State,MEAC,,13,18,.419,,,,,2006-07,186,196,.487,2,,,,,249,231,.519,5,1,,
Glenn Braica,St. Francis (NY),NEC,,13,18,.419,,,,,2010-11,115,136,.458,,,,,,115,136,.458,,,,
John Brannen,Northern Kentucky,Horizon,,22,10,.688,,,,,2015-16,55,42,.567,1,,,,,56,43,.566,1,,,
Mike Brennan,American,Patriot,,6,24,.200,,,,,2013-14,63,94,.401,1,,,,,63,94,.401,1,,,
Wayne Brent,Jackson State,SWAC,,12,20,.375,,,,,2013-14,68,95,.417,,,,,,68,95,.417,,,,
Mike Brey,Notre Dame,ACC,,21,15,.583,14,,,,2000-01,403,202,.666,12,3,,,,502,254,.664,14,3,,
Horace Broadnax *,Savannah State,MEAC,,15,17,.469,,,,,2005-06,171,228,.429,,,,,,213,316,.403,,,,
Will Brown,Albany (NY),AEC,,22,10,.688,,,,,2001-02,282,248,.532,5,,,,,282,248,.532,5,,,
Brad Brownell,Clemson,ACC,,25,10,.714,,20,Lost Regional Semifinal,,2010-11,149,113,.569,2,1,,,,316,198,.615,5,1,,
Ken Burmeister,Incarnate Word,Southland,,7,21,.250,,,,,2013-14,75,67,.528,,,,,,187,182,.507,1,,,
Mark Byington,Georgia Southern,Sun Belt,,21,12,.636,,,,,2013-14,90,72,.556,,,,,,90,72,.556,,,,
Rick Byrd,Belmont,OVC,,24,9,.727,,,,,1999-00,388,214,.645,7,,,,,388,214,.645,7,,,
Jerrod Calhoun,Youngstown State,Horizon,,8,24,.250,,,,,2017-18,8,24,.250,,,,,,8,24,.250,,,,
John Calipari *,Kentucky,SEC,,26,11,.703,5,18,Lost Regional Semifinal,,2009-10,275,64,.811,8,7,4,1,,720,204,.779,19,14,6,1
