,,,,2007-08 Season,2007-08 Season,2007-08 Season,2007-08 Season,2007-08 Season,2007-08 Season,,Career at Current School,Career at Current School,Career at Current School,Career at Current School,Career at Current School,Career at Current School,Career at Current School,Career at Current School,,Career Overall,Career Overall,Career Overall,Career Overall,Career Overall,Career Overall,Career Overall
Mike Krzyzewski,Duke,ACC,,28,6,.824,13,9,Lost Second Round,,1980-81,730,208,.778,24,17,10,3,,803,267,.750,24,17,10,3
Mike LaPlante,Jacksonville State,OVC,,7,22,.241,,,,,2000-01,95,137,.409,,,,,,95,137,.409,,,,
Robbie Laing,Campbell,A-Sun,,10,20,.333,,,,,2003-04,39,104,.273,,,,,,39,104,.273,,,,
Billy Lange,Navy,Patriot,,16,14,.533,,,,,2004-05,49,67,.422,,,,,,49,67,.422,,,,
Jim Larranaga,George Mason,CAA,,23,11,.676,,,Lost First Round,,1997-98,207,131,.612,4,1,1,,,376,276,.577,4,1,1,
Jeff Lebo,Auburn,SEC,,14,16,.467,,,,,2004-05,57,64,.471,,,,,,172,127,.575,,,,
Robert Lee,Louisiana,Sun Belt,,15,15,.500,,,,,2004-05,57,63,.475,1,,,,,57,63,.475,1,,,
Dan Leibovitz,Hartford,AEC,,18,16,.529,,,,,2006-07,31,34,.477,,,,,,31,34,.477,,,,
Dave Leitao,Virginia,ACC,,17,16,.515,,,,,2005-06,53,42,.558,1,,,,,133,111,.545,2,,,
Jim Les,Bradley,MVC,,21,17,.553,,,,,2002-03,105,90,.538,1,1,,,,105,90,.538,1,1,,
Todd Lickliter,Iowa,Big Ten,,13,19,.406,,,,,2007-08,13,19,.406,,,,,,144,80,.643,2,2,,
Mike Lonergan,Vermont,AEC,,16,15,.516,,,,,2005-06,54,40,.574,,,,,,54,40,.574,,,,
Dave Loos,Austin Peay,OVC,,24,11,.686,,,Lost First Round,,1990-91,295,247,.544,3,,,,,295,247,.544,3,,,
Sidney Lowe,NC State,ACC,,15,16,.484,21,,,,2006-07,35,32,.522,,,,,,35,32,.522,,,,
Chris Lowery,Southern Illinois,MVC,,18,15,.545,24,,,,2004-05,96,41,.701,3,1,,,,96,41,.701,3,1,,
Bart Lundy,High Point,Big South,,17,14,.548,,,,,2003-04,87,66,.569,,,,,,87,66,.569,,,,
Bobby Lutz,Charlotte,A-10,,20,14,.588,,,,,1998-99,188,126,.599,5,,,,,188,126,.599,5,,,
Don Maestri,Troy,Sun Belt,,12,19,.387,,,,,1993-94,222,210,.514,1,,,,,222,210,.514,1,,,
Rick Majerus,Saint Louis,A-10,,16,15,.516,,,,,2007-08,16,15,.516,,,,,,438,162,.730,12,4,1,
Bob Marlin,Sam Houston,Southland,,23,8,.742,,,,,1998-99,182,111,.621,1,,,,,182,111,.621,1,,,
Gregg Marshall,Wichita State,MVC,,11,20,.355,,,,,2007-08,11,20,.355,,,,,,205,103,.666,7,,,
Phil Martelli,St. Joseph's,A-10,,21,13,.618,,,Lost First Round,,1995-96,261,152,.632,5,2,,,,261,152,.632,5,2,,
Frank Martin,Kansas State,Big 12,,21,12,.636,25,,Lost Second Round,,2007-08,21,12,.636,1,,,,,21,12,.636,1,,,
Thad Matta,Ohio State,Big Ten,,24,13,.649,,,,,2004-05,105,35,.750,2,1,1,,,207,66,.758,6,2,1,
Fran McCaffery,Siena,MAAC,,23,11,.676,,,Lost Second Round,,2005-06,58,36,.617,1,,,,,197,162,.549,3,,,
Mack McCarthy,East Carolina,CUSA,,11,19,.367,,,,,2007-08,11,19,.367,,,,,,320,196,.620,5,1,,
Mike McConathy,Northwestern State,Southland,,15,18,.455,,,,,1999-00,145,135,.518,2,,,,,145,135,.518,2,,,
Greg McDermott,Iowa State,Big 12,,14,18,.438,,,,,2006-07,29,34,.460,,,,,,119,97,.551,3,,,
Ritchie McKay,Liberty,Big South,,16,16,.500,,,,,2007-08,16,16,.500,,,,,,181,174,.510,1,,,
Kevin McKenna,Indiana State,MVC,,15,16,.484,,,,,2007-08,15,16,.484,,,,,,15,16,.484,,,,
Bob McKillop,Davidson,Southern,,29,7,.806,,23,Lost Regional Final,,1989-90,340,225,.602,5,1,,,,340,225,.602,5,1,,
Marvin Menzies,New Mexico State,WAC,,21,14,.600,,,,,2007-08,21,14,.600,,,,,,21,14,.600,,,,
Joe Mihalich,Niagara,MAAC,,19,10,.655,,,,,1998-99,179,123,.593,2,,,,,179,123,.593,2,,,
Tim Miles,Colorado State,MWC,,7,25,.219,,,,,2007-08,7,25,.219,,,,,,43,45,.489,,,,
Glen Miller,Penn,Ivy,,13,18,.419,,,,,2006-07,35,27,.565,1,,,,,128,126,.504,1,,,
Mike Miller,Eastern Illinois,OVC,,7,22,.241,,,,,2005-06,23,63,.267,,,,,,110,142,.437,1,,,
Sean Miller,Xavier,A-10,,30,7,.811,,12,Lost Regional Final,,2004-05,93,39,.705,3,1,,,,93,39,.705,3,1,,
Fang Mitchell,Coppin State,MEAC,,16,21,.432,,,Lost Opening Round,,1986-87,358,302,.542,4,,,,,358,302,.542,4,,,
Kevin Mondro,Detroit Mercy,Horizon,,3,13,.188,,,,,2007-08,3,13,.188,,,,,,3,13,.188,,,,
Randy Monroe,UMBC,AEC,,24,9,.727,,,Lost First Round,,2004-05,57,65,.467,1,,,,,57,65,.467,1,,,
