,,,,2007-08 Season,2007-08 Season,2007-08 Season,2007-08 Season,2007-08 Season,2007-08 Season,,Career at Current School,Career at Current School,Career at Current School,Career at Current School,Career at Current School,Career at Current School,Career at Current School,Career at Current School,,Career Overall,Career Overall,Career Overall,Career Overall,Career Overall,Career Overall,Career Overall
Coach,School,Conference,,W,L,W-L%,AP Pre,AP Post,NCAA Tournament,,Since,W,L,W-L%,NCAA,S16,FF,Chmp,,W,L,W-L%,NCAA,S16,FF,Chmp
Mike Adras,Northern Arizona,Big Sky,,21,11,.656,,,,,1999-00,150,117,.562,1,,,,,150,117,.562,1,,,
Cy Alexander,Tennessee State,OVC,,15,17,.469,,,,,2003-04,61,90,.404,,,,,,337,290,.537,5,,,
Steve Alford,New Mexico,MWC,,24,9,.727,,,,,2007-08,24,9,.727,,,,,,254,163,.609,4,1,,
Dana Altman,Creighton,MVC,,22,11,.667,,,,,1994-95,282,152,.650,7,,,,,365,219,.625,8,,,
Tommy Amaker,Harvard,Ivy,,8,22,.267,,,,,2007-08,8,22,.267,,,,,,184,161,.533,1,1,,
Mike Anderson Sr,Missouri,Big 12,,16,16,.500,,,,,2006-07,34,28,.548,,,,,,123,69,.641,3,1,,
Tevester Anderson,Jackson State,SWAC,,14,20,.412,,,,,2003-04,77,85,.475,1,,,,,180,137,.568,3,,,
Ronnie Arrow,South Alabama,Sun Belt,,26,7,.788,,,Lost First Round,,1987-88,140,100,.583,3,,,,,235,149,.612,4,,,
Dave Balza,Florida Gulf Coast,A-Sun,,10,21,.323,,,,,2007-08,10,21,.323,,,,,,10,21,.323,,,,
Tony Barbee,UTEP,CUSA,,19,14,.576,,,,,2006-07,33,31,.516,,,,,,33,31,.516,,,,
Rick Barnes,Texas,Big 12,,31,7,.816,15,7,Lost Regional Final,,1998-99,247,93,.726,10,5,1,,,449,227,.664,16,6,1,
Rod Barnes,Georgia State,CAA,,9,21,.300,,,,,2007-08,9,21,.300,,,,,,150,130,.536,3,1,,
Jim Baron,Rhode Island,A-10,,21,12,.636,,,,,2001-02,107,108,.498,,,,,,313,310,.502,2,,,
Murry Bartow,ETSU,A-Sun,,19,13,.594,,,,,2003-04,95,61,.609,1,,,,,198,144,.579,2,,,
Duggar Baucom,VMI,Big South,,14,15,.483,,,,,2005-06,35,54,.393,,,,,,35,54,.393,,,,
John Beilein,Michigan,Big Ten,,10,22,.312,,,,,2007-08,10,22,.312,,,,,,303,197,.606,4,2,,
Randy Bennett,Saint Mary's,WCC,,25,7,.781,,,Lost First Round,,2001-02,127,90,.585,2,,,,,127,90,.585,2,,,
Tony Bennett,Washington State,Pac-10,,26,9,.743,10,21,Lost Regional Semifinal,,2006-07,52,17,.754,2,1,,,,52,17,.754,2,1,,
Eddie Biedenbach,UNC Asheville,Big South,,23,10,.697,,,,,1996-97,166,186,.472,1,,,,,195,237,.451,1,,,
Dave Bike,Sacred Heart,NEC,,18,14,.562,,,,,1999-00,89,170,.344,,,,,,89,170,.344,,,,
Jim Boeheim *,Syracuse,Big East,,21,14,.600,,,,,1976-77,771,278,.735,25,13,3,1,,771,278,.735,25,13,3,1
Ken Bone,Portland State,Big Sky,,23,10,.697,,,Lost First Round,,2005-06,54,39,.581,1,,,,,54,39,.581,1,,,
Tad Boyle,Northern Colorado,Big Sky,,13,16,.448,,,,,2006-07,17,40,.298,,,,,,17,40,.298,,,,
Jim Boylen,Utah,MWC,,18,15,.545,,,,,2007-08,18,15,.545,,,,,,18,15,.545,,,,
Todd Bozeman *,Morgan State,MEAC,,22,11,.667,,,,,2006-07,35,29,.547,,,,,,98,64,.605,3,1,,
John Brady,LSU,SEC,,8,13,.381,,,,,1997-98,192,139,.580,4,2,1,,,281,216,.565,4,2,1,
Matt Brady,Marist,MAAC,,18,14,.562,,,,,2004-05,73,50,.593,,,,,,73,50,.593,,,,
Bobby Braswell,Cal State Northridge,Big West,,20,10,.667,,,,,1996-97,188,167,.530,1,,,,,188,167,.530,1,,,
Ben Braun,California,Pac-10,,17,16,.515,,,,,1996-97,219,154,.587,5,1,,,,403,287,.584,8,2,,
Mike Brey,Notre Dame,Big East,,25,8,.758,,15,Lost Second Round,,2000-01,167,86,.660,5,1,,,,266,138,.658,7,1,,
Eric Bridgeland,Pepperdine,WCC,,5,9,.357,,,,,2007-08,5,9,.357,,,,,,5,9,.357,,,,
Horace Broadnax,Savannah State,Ind,,13,18,.419,,,,,2005-06,27,64,.297,,,,,,69,152,.312,,,,
Kevin Broadus,Binghamton,AEC,,14,16,.467,,,,,2007-08,14,16,.467,,,,,,14,16,.467,,,,
Kevin Bromley,Cal Poly,Big West,,12,18,.400,,,,,2000-01,92,124,.426,,,,,,92,124,.426,,,,
Keith Brown,Cal State Bakersfield,Ind,,8,21,.276,,,,,2006-07,23,35,.397,,,,,,23,35,.397,,,,
Matt Brown,Kansas City,Summit,,11,21,.344,,,,,2007-08,11,21,.344,,,,,,11,21,.344,,,,
Milan Brown,Mount St. Mary's,NEC,,19,15,.559,,,Lost First Round,,2003-04,60,91,.397,1,,,,,60,91,.397,1,,,
Will Brown,Albany (NY),AEC,,15,15,.500,,,,,2001-02,91,108,.457,2,,,,,91,108,.457,2,,,
Brad Brownell,Wright State,Horizon,,21,10,.677,,,,,2006-07,44,20,.688,1,,,,,127,60,.679,3,,,
Bob Burton,Cal State Fullerton,Big West,,24,9,.727,,,Lost First Round,,2003-04,92,60,.605,1,,,,,92,60,.605,1,,,
Rick Byrd,Belmont,A-Sun,,25,9,.735,,,Lost First Round,,1999-00,151,120,.557,3,,,,,151,120,.557,3,,,
Jeff Bzdelik,Colorado,Big 12,,12,20,.375,,,,,2007-08,12,20,.375,,,,,,87,67,.565,1,,,
Jim Calhoun,UConn,Big East,,24,9,.727,,16,Lost First Round,,1986-87,528,201,.724,15,11,2,2,,776,338,.697,20,11,2,2
John Calipari *,Memphis,CUSA,,38,2,.950,3,2,Lost National Final,,2000-01,219,65,.771,5,3,1,,,412,136,.752,10,6,2,
Dave Calloway,Monmouth,NEC,,7,24,.226,,,,,1997-98,149,164,.476,3,,,,,149,164,.476,3,,,
Bret Campbell,UT-Martin,OVC,,17,16,.515,,,,,1999-00,103,158,.395,,,,,,103,158,.395,,,,
Jeff Capel III,Oklahoma,Big 12,,23,12,.657,,,Lost Second Round,,2006-07,39,27,.591,1,,,,,118,68,.634,2,,,
Bill Carmody,Northwestern,Big Ten,,8,22,.267,,,,,2000-01,103,135,.433,,,,,,195,160,.549,2,,,
Tim Carter,South Carolina State,MEAC,,13,20,.394,,,,,2007-08,13,20,.394,,,,,,173,172,.501,2,,,
Jim Casciano,NJIT,Ind,,0,29,.000,,,,,2006-07,5,53,.086,,,,,,5,53,.086,,,,
Rand Chappell,Central Arkansas,Southland,,14,16,.467,,,,,2006-07,24,36,.400,,,,,,24,36,.400,,,,
Jim Christian,Kent State,MAC,,28,7,.800,,,Lost First Round,,2002-03,137,59,.699,2,,,,,137,59,.699,2,,,
Perry Clark,Texas A&M-Corpus Christi,Southland,,9,20,.310,,,,,2007-08,9,20,.310,,,,,,259,219,.542,4,,,
Steve Cleveland,Fresno State,WAC,,13,19,.406,,,,,2005-06,50,42,.543,,,,,,188,150,.556,3,,,
Bill Coen,Northeastern,CAA,,14,17,.452,,,,,2006-07,27,36,.429,,,,,,27,36,.429,,,,
Charlie Coles,Miami (OH),MAC,,17,16,.515,,,,,1996-97,210,157,.572,3,1,,,,301,242,.554,4,1,,
Bobby Collins,Winston-Salem,Ind,,12,18,.400,,,,,2006-07,17,42,.288,,,,,,82,99,.453,1,,,
Jimmy Collins,UIC,Horizon,,18,15,.545,,,,,1996-97,194,171,.532,3,,,,,194,171,.532,3,,,
Ed Conroy,The Citadel,Southern,,6,24,.200,,,,,2006-07,13,47,.217,,,,,,13,47,.217,,,,
Ed Cooley,Fairfield,MAAC,,14,16,.467,,,,,2006-07,27,35,.435,,,,,,27,35,.435,,,,
Tom Crean,Marquette,Big East,,25,10,.714,11,25,Lost Second Round,,1999-00,190,96,.664,5,1,1,,,190,96,.664,5,1,1,
Bobby Cremins,College of Charleston,Southern,,16,17,.485,,,,,2006-07,38,28,.576,,,,,,492,335,.595,11,5,1,
Jim Crews,Army,Patriot,,14,16,.467,,,,,2002-03,48,121,.284,,,,,,342,330,.509,4,,,
Mick Cronin,Cincinnati,Big East,,13,19,.406,,,,,2006-07,24,38,.387,,,,,,93,62,.600,2,,,
Scott Cross,UT Arlington,Southland,,21,12,.636,,,Lost First Round,,2006-07,34,29,.540,1,,,,,34,29,.540,1,,,
Dan Dakich,Indiana,Big Ten,,3,4,.429,9,,Lost First Round,,2007-08,3,4,.429,1,,,,,159,144,.525,1,,,
Keith Dambrot,Akron,MAC,,24,11,.686,,,,,2004-05,92,38,.708,,,,,,112,72,.609,,,,
Doug Davalos,Texas State,Southland,,13,16,.448,,,,,2006-07,22,36,.379,,,,,,22,36,.379,,,,
Emmett Davis,Colgate,Patriot,,18,14,.562,,,,,1998-99,136,152,.472,,,,,,136,152,.472,,,,
Keno Davis,Drake,MVC,,28,5,.848,,14,Lost First Round,,2007-08,28,5,.848,1,,,,,28,5,.848,1,,,
Kermit Davis Jr,Middle Tennessee,Sun Belt,,17,15,.531,,,,,2002-03,100,82,.549,,,,,,171,132,.564,2,,,
Mike Davis,UAB,CUSA,,23,11,.676,,,,,2006-07,38,27,.585,,,,,,153,106,.591,4,1,1,
Ed DeChellis,Penn State,Big Ten,,15,16,.484,,,,,2003-04,57,92,.383,,,,,,162,185,.467,1,,,
Mike Deane,Wagner,NEC,,23,8,.742,,,,,2003-04,73,74,.497,,,,,,391,268,.593,4,,,
Mike Dement,UNC Greensboro,Southern,,19,12,.613,,,,,1991-92,102,101,.502,,,,,,309,291,.515,1,,,
Tommy Dempsey,Rider,MAAC,,23,11,.676,,,,,2005-06,47,46,.505,,,,,,47,46,.505,,,,
Howie Dickenman,Central Connecticut,NEC,,14,16,.467,,,,,1996-97,192,161,.544,3,,,,,192,161,.544,3,,,
Dave Dickerson,Tulane,CUSA,,17,15,.531,,,,,2005-06,46,45,.505,,,,,,46,45,.505,,,,
Henry Dickerson,North Carolina Central,Ind,,4,26,.133,,,,,2007-08,4,26,.133,,,,,,76,99,.434,,,,
Jamie Dixon,Pitt,Big East,,27,10,.730,22,17,Lost Second Round,,2003-04,132,40,.767,5,2,,,,132,40,.767,5,2,,
Matt Doherty,SMU,CUSA,,10,20,.333,,,,,2006-07,24,37,.393,,,,,,114,108,.514,1,,,
Steve Donahue,Cornell,Ivy,,22,6,.786,,,Lost First Round,,2000-01,96,123,.438,1,,,,,96,123,.438,1,,,
Billy Donovan,Florida,SEC,,24,12,.667,,,,,1996-97,285,115,.713,9,4,3,2,,320,135,.703,9,4,3,2
Neil Dougherty,TCU,MWC,,14,16,.467,,,,,2002-03,75,108,.410,,,,,,75,108,.410,,,,
Pat Douglass,UC-Irvine,Big West,,18,16,.529,,,,,1997-98,171,154,.526,,,,,,171,154,.526,,,,
Homer Drew,Valparaiso,Horizon,,22,14,.611,,,,,1988-89,323,255,.559,7,1,,,,323,255,.559,7,1,,
Scott Drew,Baylor,Big 12,,21,11,.656,,,Lost First Round,,2003-04,57,80,.416,1,,,,,77,91,.458,1,,,
Terry Dunn,Dartmouth,Ivy,,10,18,.357,,,,,2004-05,35,74,.321,,,,,,35,74,.321,,,,
John Dunne,St. Peter's,MAAC,,6,24,.200,,,,,2006-07,11,49,.183,,,,,,11,49,.183,,,,
Fran Dunphy,Temple,A-10,,21,13,.618,,,Lost First Round,,2006-07,33,31,.516,1,,,,,343,194,.639,10,,,
Orlando Early,Louisiana-Monroe,Sun Belt,,10,21,.323,,,,,2005-06,38,53,.418,,,,,,38,53,.418,,,,
Kirk Earlywine,Eastern Washington,Big Sky,,11,19,.367,,,,,2007-08,11,19,.367,,,,,,11,19,.367,,,,
Jerry Eaves,North Carolina A&T,MEAC,,15,16,.484,,,,,2003-04,45,105,.300,,,,,,45,105,.300,,,,
Scott Edgar,Southeast Missouri State,OVC,,12,19,.387,,,,,2006-07,23,39,.371,,,,,,131,134,.494,2,,,
Cliff Ellis,Coastal Carolina,Big South,,13,15,.464,,,,,2007-08,13,15,.464,,,,,,549,353,.609,8,3,,
Larry Eustachy,Southern Miss,CUSA,,19,14,.576,,,,,2004-05,60,63,.488,,,,,,320,208,.606,3,1,,
Anthony Evans,Norfolk State,MEAC,,16,15,.516,,,,,2007-08,16,15,.516,,,,,,16,15,.516,,,,
Jessie Evans,San Francisco,WCC,,4,8,.333,,,,,2004-05,45,57,.441,,,,,,177,138,.562,2,,,
Ron Everhart,Duquesne,A-10,,17,13,.567,,,,,2006-07,27,32,.458,,,,,,201,204,.496,,,,
Houston Fancher,Appalachian State,Southern,,18,13,.581,,,,,2000-01,124,118,.512,,,,,,124,118,.512,,,,
Dennis Felton,Georgia,SEC,,17,17,.500,,,Lost First Round,,2003-04,75,80,.484,1,,,,,175,134,.566,4,,,
Jim Ferry,LIU,NEC,,15,15,.500,,,,,2002-03,68,103,.398,,,,,,68,103,.398,,,,
Mark Few,Gonzaga,WCC,,25,8,.758,14,24,Lost First Round,,1999-00,236,60,.797,9,3,,,,236,60,.797,9,3,,
Dane Fife,Purdue Fort Wayne,Summit,,13,18,.419,,,,,2005-06,35,53,.398,,,,,,35,53,.398,,,,
Steve Fisher *,San Diego State,MWC,,20,13,.606,,,,,1999-00,147,130,.531,2,,,,,331,212,.610,9,4,3,1
Pat Flannery,Bucknell,Patriot,,12,19,.387,,,,,1994-95,233,179,.566,2,,,,,233,179,.566,2,,,
Rob Flaska,Centenary (LA),Summit,,10,21,.323,,,,,2005-06,24,65,.270,,,,,,24,65,.270,,,,
Bruiser Flint,Drexel,CAA,,12,20,.375,,,,,2001-02,118,94,.557,,,,,,204,166,.551,2,,,
Tim Floyd *,USC,Pac-10,,21,12,.636,18,,Lost First Round,,2005-06,63,37,.630,2,1,,,,305,168,.645,7,2,,
Travis Ford,UMass,A-10,,25,11,.694,,,,,2005-06,62,35,.639,,,,,,123,115,.517,1,,,
Shawn Forrest,Arkansas State,Sun Belt,,0,0,,,,,,2007-08,0,0,,,,,,,0,0,,,,,
Mark Fox,Nevada,WAC,,21,12,.636,,,,,2004-05,102,30,.773,3,,,,,102,30,.773,3,,,
Dino Gaudio,Wake Forest,ACC,,17,13,.567,,,,,2007-08,17,13,.567,,,,,,85,137,.383,,,,
John Giannini,La Salle,A-10,,15,17,.469,,,,,2004-05,53,66,.445,,,,,,178,177,.501,,,,
Mike Gillian,Longwood,Ind,,9,22,.290,,,,,2004-05,29,94,.236,,,,,,29,94,.236,,,,
Billy Gillispie,Kentucky,SEC,,18,13,.581,20,,Lost First Round,,2007-08,18,13,.581,1,,,,,118,71,.624,4,1,,
Bobby Gonzalez,Seton Hall,Big East,,17,15,.531,,,,,2006-07,30,31,.492,,,,,,159,108,.596,2,,,
Mark Gottfried,Alabama,SEC,,17,16,.515,,,,,1998-99,198,124,.615,5,1,,,,266,148,.643,7,1,,
Greg Graham,Boise State,WAC,,25,9,.735,,,Lost First Round,,2002-03,108,82,.568,1,,,,,108,82,.568,1,,,
Anthony Grant,VCU,CAA,,24,8,.750,,,,,2006-07,52,15,.776,1,,,,,52,15,.776,1,,,
James Green,Mississippi Valley State,SWAC,,17,16,.515,,,Lost First Round,,2005-06,44,51,.463,1,,,,,167,162,.508,1,,,
Tom Green,FDU,NEC,,8,20,.286,,,,,1983-84,400,328,.549,4,,,,,400,328,.549,4,,,
Brad Greenberg,Radford,Big South,,10,20,.333,,,,,2007-08,10,20,.333,,,,,,10,20,.333,,,,
Seth Greenberg,Virginia Tech,ACC,,21,14,.600,,,,,2003-04,88,70,.557,1,,,,,301,240,.556,3,,,
Brian Gregory,Dayton,A-10,,23,11,.676,,,,,2003-04,98,60,.620,1,,,,,98,60,.620,1,,,
Bill Grier,San Diego,WCC,,22,14,.611,,,Lost Second Round,,2007-08,22,14,.611,1,,,,,22,14,.611,1,,,
Al Grushkin,Arkansas State,Sun Belt,,1,3,.250,,,,,2007-08,1,3,.250,,,,,,1,3,.250,,,,
Frank Haith,Miami (FL),ACC,,23,11,.676,,,Lost Second Round,,2004-05,69,60,.535,1,,,,,69,60,.535,1,,,
Leonard Hamilton *,Florida State,ACC,,19,15,.559,,,,,2002-03,106,86,.552,,,,,,306,296,.508,3,1,,
Eugene Harris,Florida A&M,MEAC,,15,17,.469,,,,,2007-08,15,17,.469,,,,,,15,17,.469,,,,
Steve Hawkins,Western Michigan,MAC,,20,12,.625,,,,,2003-04,96,63,.604,1,,,,,96,63,.604,1,,,
Stan Heath,South Florida,Big East,,12,19,.387,,,,,2007-08,12,19,.387,,,,,,124,96,.564,3,1,,
Bill Herrion,New Hampshire,AEC,,9,20,.310,,,,,2005-06,31,57,.352,,,,,,268,226,.543,3,,,
Paul Hewitt,Georgia Tech,ACC,,15,17,.469,,,,,2000-01,142,112,.559,4,1,1,,,208,139,.599,5,1,1,
Fred Hill Jr,Rutgers,Big East,,11,20,.355,,,,,2006-07,21,39,.350,,,,,,21,39,.350,,,,
Barry Hinson,Missouri State,MVC,,17,16,.515,,,,,1999-00,169,117,.591,,,,,,205,140,.594,,,,
Karl Hobbs,George Washington,A-10,,9,17,.346,,,,,2001-02,123,82,.600,3,,,,,123,82,.600,3,,,
Van Holt,Arkansas-Pine Bluff,SWAC,,13,18,.419,,,,,2002-03,50,124,.287,,,,,,50,124,.287,,,,
Darrin Horn,Western Kentucky,Sun Belt,,29,7,.806,,,Lost Regional Semifinal,,2003-04,111,48,.698,1,1,,,,111,48,.698,1,1,,
Ben Howland,UCLA,Pac-10,,35,4,.897,2,3,Lost National Semifinal,,2003-04,126,45,.737,4,3,3,,,292,146,.667,7,5,3,
Bob Huggins,West Virginia,Big East,,26,11,.703,,,Lost Regional Semifinal,,2007-08,26,11,.703,1,1,,,,544,197,.734,16,5,1,
Dick Hunsaker,Utah Valley,Ind,,15,14,.517,,,,,2004-05,69,46,.600,,,,,,184,92,.667,2,1,,
Larry Hunter,Western Carolina,Southern,,10,21,.323,,,,,2005-06,34,58,.370,,,,,,238,206,.536,1,,,
Ron Hunter,IU Indianapolis,Summit,,26,7,.788,,,,,1998-99,161,140,.535,1,,,,,161,140,.535,1,,,
Brad Huse,Montana State,Big Sky,,15,15,.500,,,,,2006-07,26,34,.433,,,,,,26,34,.433,,,,
Tony Ingle,Kennesaw State,A-Sun,,10,20,.333,,,,,2005-06,35,55,.389,,,,,,35,74,.321,,,,
Tom Izzo,Michigan State,Big Ten,,27,9,.750,8,18,Lost Regional Semifinal,,1995-96,305,130,.701,11,7,4,1,,305,130,.701,11,7,4,1
Gil Jackson,Howard,MEAC,,6,26,.188,,,,,2005-06,22,70,.239,,,,,,22,70,.239,,,,
Greg Jackson,Delaware State,MEAC,,14,16,.467,,,,,2000-01,132,112,.541,1,,,,,132,112,.541,1,,,
Jeff Jackson,Furman,Southern,,7,23,.233,,,,,2006-07,22,39,.361,,,,,,43,99,.303,,,,
Lewis Jackson,Alabama State,SWAC,,20,11,.645,,,,,2005-06,42,49,.462,,,,,,42,49,.462,,,,
Ben Jacobson,Northern Iowa,MVC,,18,14,.562,,,,,2006-07,36,27,.571,,,,,,36,27,.571,,,,
Tim Jankovich,Illinois State,MVC,,25,10,.714,,,,,2007-08,25,10,.714,,,,,,78,67,.538,,,,
Jerome Jenkins,Sacramento State,Big Sky,,4,24,.143,,,,,2000-01,80,147,.352,,,,,,80,147,.352,,,,
Rob Jeter,Milwaukee,Horizon,,14,16,.467,,,,,2005-06,45,47,.489,1,,,,,45,47,.489,1,,,
Jay John,Oregon State,Pac-10,,6,12,.333,,,,,2002-03,72,97,.426,,,,,,72,97,.426,,,,
Sydney Johnson,Princeton,Ivy,,6,23,.207,,,,,2007-08,6,23,.207,,,,,,6,23,.207,,,,
Trent Johnson,Stanford,Pac-10,,28,8,.778,23,10,Lost Regional Semifinal,,2004-05,80,48,.625,3,1,,,,159,122,.566,4,2,,
Bobby Jones,Saint Francis (PA),NEC,,6,23,.207,,,,,1999-00,85,167,.337,,,,,,85,167,.337,,,,
Donnie Jones,Marshall,CUSA,,16,14,.533,,,,,2007-08,16,14,.533,,,,,,16,14,.533,,,,
James Jones,Yale,Ivy,,13,15,.464,,,,,1999-00,117,134,.466,,,,,,117,134,.466,,,,
Jeff Jones,American,Patriot,,21,12,.636,,,Lost First Round,,2000-01,124,114,.521,1,,,,,270,218,.553,6,2,,
Joe Jones,Columbia,Ivy,,14,15,.483,,,,,2003-04,63,75,.457,,,,,,63,75,.457,,,,
Johnny Jones,North Texas,Sun Belt,,20,11,.645,,,,,2001-02,106,100,.515,1,,,,,121,116,.511,1,,,
Stan Joplin,Toledo,MAC,,11,19,.367,,,,,1996-97,202,156,.564,,,,,,202,156,.564,,,,
Greg Kampe,Oakland,Summit,,17,14,.548,,,,,1999-00,132,139,.487,1,,,,,132,139,.487,1,,,
Danny Kaspar,Stephen F. Austin,Southland,,26,6,.812,,,,,2000-01,134,96,.583,,,,,,134,96,.583,,,,
Kerry Keating,Santa Clara,WCC,,15,16,.484,,,,,2007-08,15,16,.484,,,,,,15,16,.484,,,,
Dean Keener,James Madison,CAA,,13,17,.433,,,,,2004-05,31,85,.267,,,,,,31,85,.267,,,,
Andy Kennedy,Ole Miss,SEC,,24,11,.686,,,,,2006-07,45,24,.652,,,,,,66,37,.641,,,,
Billy Kennedy,Murray State,OVC,,18,13,.581,,,,,2006-07,34,27,.557,,,,,,138,153,.474,1,,,
Pat Kennedy,Towson,CAA,,13,18,.419,,,,,2004-05,45,75,.375,,,,,,461,386,.544,8,2,,
Ernie Kent,Oregon,Pac-10,,18,14,.562,12,,Lost First Round,,1997-98,211,134,.612,5,2,,,,301,214,.584,6,2,,
Matt Kilcullen,North Florida,A-Sun,,3,26,.103,,,,,2005-06,12,74,.140,,,,,,105,173,.378,1,,,
Bob Knight,Texas Tech,Big 12,,12,8,.600,,,,,2001-02,138,82,.627,4,1,,,,899,374,.706,28,15,5,3
Pat Knight,Texas Tech,Big 12,,4,7,.364,,,,,2007-08,4,7,.364,,,,,,4,7,.364,,,,
Tod Kowalczyk,Green Bay,Horizon,,15,15,.500,,,,,2002-03,92,88,.511,,,,,,92,88,.511,,,,
Lon Kruger,UNLV,MWC,,27,8,.771,,,Lost Second Round,,2004-05,91,42,.684,2,1,,,,409,275,.598,11,3,1,
