,,,,2020-21 Season,2020-21 Season,2020-21 Season,2020-21 Season,2020-21 Season,2020-21 Season,,Career at Current School,Career at Current School,Career at Current School,Career at Current School,Career at Current School,Career at Current School,Career at Current School,Career at Current School,,Career Overall,Career Overall,Career Overall,Career Overall,Career Overall,Career Overall,Career Overall
Coach,School,Conference,,W,L,W-L%,AP Pre,AP Post,NCAA Tournament,,Since,W,L,W-L%,NCAA,S16,FF,Chmp,,W,L,W-L%,NCAA,S16,FF,Chmp
,,,,,,,,,,,,,,,,,,,,37,76,.327,,,,
,,,,,,,,,,,,,,,,,,,,162,101,.616,1,,,
,,,,,,,,,,,,,,,,,,,,427,278,.606,5,1,,
,,,,,,,,,,,,,,,,,,,,283,278,.504,4,1,,
,,,,,,,,,,,,,,,,,,,,333,280,.543,2,,,
,,,,,,,,,,,,,,,,,,,,108,124,.466,,,,
,,,,,,,,,,,,,,,,,,,,5,27,.156,,,,
,,,,,,,,,,,,,,,,,,,,42,73,.365,,,,
,,,,,,,,,,,,,,,,,,,,146,216,.403,,,,
Amir Abdur-Rahim,Kennesaw State,A-Sun,,5,19,.208,,,,,2019-20,6,47,.113,,,,,,6,47,.113,,,,
Lennie Acuff,Lipscomb,A-Sun,,15,12,.556,,,,,2019-20,31,28,.525,,,,,,31,28,.525,,,,
Griff Aldrich,Longwood,Big South,,12,17,.414,,,,,2018-19,42,53,.442,,,,,,42,53,.442,,,,
Casey Alexander,Belmont,OVC,,26,4,.867,,,,,2019-20,52,11,.825,,,,,,189,131,.591,1,,,
Steve Alford,Nevada,MWC,,16,10,.615,,,,,2019-20,35,22,.614,,,,,,544,291,.651,11,4,,
Jimmy Allen,Army,Patriot,,12,10,.545,,,,,2016-17,66,80,.452,,,,,,66,80,.452,,,,
Dana Altman,Oregon,Pac-12,,21,7,.750,20,,Lost Regional Semifinal,,2010-11,280,110,.718,7,5,1,,,690,353,.662,15,5,1,
Mike Anderson Sr,St. John's (NY),Big East,,16,11,.593,,,,,2019-20,33,26,.559,,,,,,402,226,.640,9,2,,
Kevin Baggett,Rider,MAAC,,6,17,.261,,,,,2012-13,147,133,.525,,,,,,147,133,.525,,,,
Mike Balado,Arkansas State,Sun Belt,,11,13,.458,,,,,2017-18,51,69,.425,,,,,,51,69,.425,,,,
Pat Baldwin,Milwaukee,Horizon,,10,12,.455,,,,,2017-18,47,70,.402,,,,,,47,70,.402,,,,
Jeremy Ballard,Florida International,CUSA,,9,17,.346,,,,,2018-19,48,44,.522,,,,,,48,44,.522,,,,
Rick Barnes,Tennessee,SEC,,18,9,.667,12,,Lost First Round,,2015-16,123,73,.628,3,1,,,,727,387,.653,25,7,1,
Rod Barnes,Cal State Bakersfield,Big West,,15,11,.577,,,,,2011-12,163,152,.517,1,,,,,349,341,.506,4,1,,
Brian Barone,SIU-Edwardsville,OVC,,9,17,.346,,,,,2019-20,17,40,.298,,,,,,17,40,.298,,,,
Richard Barron,Maine,AEC,,2,7,.222,,,,,2018-19,16,56,.222,,,,,,16,56,.222,,,,
Clayton Bates,Western Michigan,MAC,,5,16,.238,,,,,2020-21,5,16,.238,,,,,,5,16,.238,,,,
Duggar Baucom,The Citadel,Southern,,13,12,.520,,,,,2015-16,64,118,.352,,,,,,215,277,.437,,,,
