,,,,2020-21 Season,2020-21 Season,2020-21 Season,2020-21 Season,2020-21 Season,2020-21 Season,,Career at Current School,Career at Current School,Career at Current School,Career at Current School,Career at Current School,Career at Current School,Career at Current School,Career at Current School,,Career Overall,Career Overall,Career Overall,Career Overall,Career Overall,Career Overall,Career Overall
Chris Beard,Texas Tech,Big 12,,18,11,.621,14,21,Lost Second Round,,2016-17,112,55,.671,3,2,1,,,142,60,.703,4,2,1,
John Becker,Vermont,AEC,,10,5,.667,,,,,2011-12,229,96,.705,3,,,,,229,96,.705,3,,,
Randy Bennett,Saint Mary's,WCC,,14,10,.583,,,,,2001-02,454,192,.703,7,1,,,,454,192,.703,7,1,,
Tony Bennett,Virginia,ACC,,18,7,.720,4,15,Lost First Round,,2009-10,295,103,.741,8,3,1,1,,364,136,.728,10,4,1,1
Rodney Billups,Denver,Summit,,2,19,.095,,,,,2016-17,48,94,.338,,,,,,48,94,.338,,,,
Kenneth Blakeney,Howard,MEAC,,1,4,.200,,,,,2019-20,5,33,.132,,,,,,5,33,.132,,,,
Jeff Boals,Ohio,MAC,,17,8,.680,,,Lost Second Round,,2019-20,34,23,.596,1,,,,,89,65,.578,1,,,
Jim Boeheim *,Syracuse,ACC,,18,10,.643,,,Lost Regional Semifinal,,1976-77,1083,409,.726,35,20,5,1,,1083,409,.726,35,20,5,1
Anthony Boone,Central Arkansas,Southland,,5,19,.208,,,,,2019-20,14,31,.311,,,,,,14,31,.311,,,,
Tad Boyle,Colorado,Pac-12,,23,9,.719,,22,Lost Second Round,,2010-11,233,143,.620,5,,,,,289,209,.580,5,,,
Michael Boynton,Oklahoma State,Big 12,,21,9,.700,,11,Lost Second Round,,2017-18,72,58,.554,1,,,,,72,58,.554,1,,,
Glenn Braica,St. Francis (NY),NEC,,9,10,.474,,,,,2010-11,154,180,.461,,,,,,154,180,.461,,,,
John Brannen,Cincinnati,AAC,,12,11,.522,,,,,2019-20,32,21,.604,,,,,,114,73,.610,2,,,
Mike Brennan,American,Patriot,,4,6,.400,,,,,2013-14,98,129,.432,1,,,,,98,129,.432,1,,,
Wayne Brent,Jackson State,SWAC,,12,6,.667,,,,,2013-14,108,137,.441,,,,,,108,137,.441,,,,
Mike Brey,Notre Dame,ACC,,11,15,.423,,,,,2000-01,448,248,.644,12,3,,,,547,300,.646,14,3,,
Kevin Broadus,Morgan State,MEAC,,14,8,.636,,,,,2019-20,29,24,.547,,,,,,66,49,.574,1,,,
Isaac Brown,Wichita State,AAC,,16,6,.727,,,Lost First Four,,2020-21,16,6,.727,1,,,,,16,6,.727,1,,,
Will Brown,Albany (NY),AEC,,7,9,.438,,,,,2001-02,315,295,.516,5,,,,,315,295,.516,5,,,
Brad Brownell,Clemson,ACC,,16,8,.667,,,Lost First Round,,2010-11,201,150,.573,3,1,,,,368,235,.610,6,1,,
Shane Burcar,Northern Arizona,Big Sky,,6,16,.273,,,,,2019-20,22,30,.423,,,,,,22,30,.423,,,,
Brian Burg,Georgia Southern,Sun Belt,,13,13,.500,,,,,2020-21,13,13,.500,,,,,,13,13,.500,,,,
Landon Bussie,Alcorn State,SWAC,,6,13,.316,,,,,2020-21,6,13,.316,,,,,,6,13,.316,,,,
Mark Byington,James Madison,CAA,,13,7,.650,,,,,2020-21,13,7,.650,,,,,,144,104,.581,,,,
Jerrod Calhoun,Youngstown State,Horizon,,15,12,.556,,,,,2017-18,53,71,.427,,,,,,53,71,.427,,,,
John Calipari *,Kentucky,SEC,,9,16,.360,10,,,,2009-10,339,93,.785,9,8,4,1,,784,233,.771,20,15,6,1
Jeff Capel III *,Pitt,ACC,,10,12,.455,,,,,2018-19,40,48,.455,,,,,,215,158,.576,3,1,,
Jamion Christian,George Washington,A-10,,5,12,.294,,,,,2019-20,17,32,.347,,,,,,135,143,.486,2,,,
Jim Christian,Boston College,ACC,,3,13,.188,,,,,2014-15,78,132,.371,,,,,,320,286,.528,2,,,
Austin Claunch,Nicholls State,Southland,,18,7,.720,,,,,2018-19,53,34,.609,,,,,,53,34,.609,,,,
Zac Claus,Idaho,Big Sky,,1,21,.045,,,,,2019-20,9,45,.167,,,,,,9,45,.167,,,,
Bill Coen,Northeastern,CAA,,10,9,.526,,,,,2006-07,251,222,.531,2,,,,,251,222,.531,2,,,
Jon Coffman,Purdue Fort Wayne,Horizon,,8,15,.348,,,,,2014-15,118,102,.536,,,,,,118,102,.536,,,,
Brian Collins,Tennessee State,OVC,,4,19,.174,,,,,2018-19,31,55,.360,,,,,,31,55,.360,,,,
Chris Collins,Northwestern,Big Ten,,9,15,.375,,,,,2013-14,118,134,.468,1,,,,,118,134,.468,1,,,
Ed Cooley,Providence,Big East,,13,13,.500,,,,,2011-12,194,135,.590,5,,,,,286,204,.584,5,,,
Ron Cottrell,Houston Christian,Southland,,6,19,.240,,,,,2008-09,126,268,.320,,,,,,126,268,.320,,,,
David Cox,Rhode Island,A-10,,10,15,.400,,,,,2018-19,49,39,.557,,,,,,49,39,.557,,,,
Tim Craft,Gardner-Webb,Big South,,11,15,.423,,,,,2013-14,138,121,.533,1,,,,,138,121,.533,1,,,
Tom Crean,Georgia,SEC,,14,12,.538,,,,,2018-19,41,49,.456,,,,,,397,280,.586,9,4,1,
Mick Cronin,UCLA,Pac-12,,22,10,.688,22,,Lost National Semifinal,,2019-20,41,22,.651,1,1,1,,,406,193,.678,12,2,1,
Scott Cross,Troy,Sun Belt,,11,17,.393,,,,,2019-20,20,39,.339,,,,,,245,200,.551,1,,,
Rick Croy,California Baptist,WAC,,13,10,.565,,,,,2018-19,50,35,.588,,,,,,50,35,.588,,,,
Carson Cunningham,Incarnate Word,Southland,,8,14,.364,,,,,2018-19,23,61,.274,,,,,,23,61,.274,,,,
Dan D'Antoni II,Marshall,CUSA,,15,7,.682,,,,,2014-15,128,99,.564,1,,,,,128,99,.564,1,,,
Keith Dambrot,Duquesne,A-10,,9,9,.500,,,,,2017-18,65,47,.580,,,,,,390,220,.639,3,,,
Scott Davenport,Bellarmine,A-Sun,,14,8,.636,,,,,2020-21,14,8,.636,,,,,,14,8,.636,,,,
Keno Davis,Central Michigan,MAC,,7,16,.304,,,,,2012-13,142,143,.498,,,,,,216,198,.522,1,,,
Kermit Davis Jr,Ole Miss,SEC,,16,12,.571,,,,,2018-19,51,42,.548,1,,,,,454,280,.619,6,,,
Mike Davis,Detroit Mercy,Horizon,,12,10,.545,,,,,2018-19,31,53,.369,,,,,,383,294,.566,9,1,1,
Nathan Davis,Bucknell,Patriot,,5,7,.417,,,,,2015-16,108,72,.600,2,,,,,108,72,.600,2,,,
Johnny Dawkins Jr,UCF,AAC,,11,12,.478,,,,,2016-17,94,60,.610,1,,,,,250,175,.588,2,1,,
Ed DeChellis,Navy,Patriot,,15,3,.833,,,,,2011-12,129,169,.433,,,,,,348,400,.465,2,,,
Travis DeCuire,Montana,Big Sky,,15,13,.536,,,,,2014-15,142,84,.628,2,,,,,142,84,.628,2,,,
Mike DePaoli,Fordham,A-10,,1,5,.167,,,,,2020-21,1,5,.167,,,,,,1,5,.167,,,,
Darian DeVries,Drake,MVC,,26,5,.839,,,Lost First Round,,2018-19,70,29,.707,1,,,,,70,29,.707,1,,,
Tommy Dempsey,Binghamton,AEC,,4,14,.222,,,,,2012-13,71,194,.268,,,,,,190,299,.389,,,,
Dave Dickerson,USC Upstate,Big South,,5,18,.217,,,,,2018-19,24,64,.273,,,,,,92,148,.383,,,,
Jamie Dixon,TCU,Big 12,,12,14,.462,,,,,2016-17,96,71,.575,1,,,,,424,194,.686,12,3,,
Juan Dixon,Coppin State,MEAC,,9,13,.409,,,,,2017-18,33,85,.280,,,,,,33,85,.280,,,,
Billy Donlon,Kansas City,Summit,,11,13,.458,,,,,2019-20,27,27,.500,,,,,,136,121,.529,,,,
Joe Dooley,East Carolina,AAC,,8,11,.421,,,,,1995-96,86,104,.453,,,,,,200,162,.552,2,,,
Bryce Drew,Grand Canyon,WAC,,17,7,.708,,,Lost First Round,,2020-21,17,7,.708,1,,,,,181,115,.611,4,,,
Scott Drew,Baylor,Big 12,,28,2,.933,2,3,Won National Final,,2003-04,372,215,.634,9,5,1,1,,392,226,.634,9,5,1,1
Matthew Driscoll,North Florida,A-Sun,,8,15,.348,,,,,2009-10,192,194,.497,1,,,,,192,194,.497,1,,,
Baker Dunleavy,Quinnipiac,MAAC,,9,13,.409,,,,,2017-18,52,64,.448,,,,,,52,64,.448,,,,
John Dunne,Marist,MAAC,,12,9,.571,,,,,2018-19,31,51,.378,,,,,,184,276,.400,1,,,
Pat Duquette,UMass-Lowell,AEC,,11,12,.478,,,,,2013-14,95,139,.406,,,,,,95,139,.406,,,,
Brian Dutcher,San Diego State,MWC,,23,5,.821,,16,Lost First Round,,2017-18,96,31,.756,2,,,,,96,31,.756,2,,,
Dan Earl,VMI,Southern,,13,12,.520,,,,,2015-16,57,123,.317,,,,,,57,123,.317,,,,
Cliff Ellis,Coastal Carolina,Sun Belt,,18,8,.692,,,,,2007-08,264,189,.583,2,,,,,800,527,.603,10,3,,
Andy Enfield,USC,Pac-12,,25,8,.758,,24,Lost Regional Final,,2013-14,157,110,.588,3,1,,,,198,138,.589,4,2,,
Dan Engelstad,Mount St. Mary's,NEC,,12,11,.522,,,Lost First Four,,2018-19,32,54,.372,1,,,,,32,54,.372,1,,,
Patrick Ewing,Georgetown,Big East,,13,13,.500,,,Lost First Round,,2017-18,62,59,.512,1,,,,,62,59,.512,1,,,
Quinton Ferrell,Presbyterian,Big South,,7,15,.318,,,,,2019-20,17,37,.315,,,,,,17,37,.315,,,,
Jim Ferry,Penn State,Big Ten,,11,14,.440,,,,,2020-21,11,14,.440,,,,,,221,260,.459,2,,,
Mark Few,Gonzaga,WCC,,31,1,.969,1,1,Lost National Final,,1999-00,630,125,.834,21,10,2,,,630,125,.834,21,10,2,
Matt Figger,Austin Peay,OVC,,14,13,.519,,,,,2017-18,76,51,.598,,,,,,76,51,.598,,,,
Dane Fischer,William & Mary,CAA,,7,10,.412,,,,,2019-20,28,21,.571,,,,,,28,21,.571,,,,
Michael Fly,Florida Gulf Coast,A-Sun,,10,8,.556,,,,,2018-19,34,48,.415,,,,,,34,48,.415,,,,
Steve Forbes,Wake Forest,ACC,,6,16,.273,,,,,2020-21,6,16,.273,,,,,,136,59,.697,1,,,
Dana Ford,Missouri State,MVC,,17,7,.708,,,,,2018-19,49,40,.551,,,,,,106,105,.502,,,,
Geno Ford,Stony Brook,AEC,,9,14,.391,,,,,2019-20,29,27,.518,,,,,,143,150,.488,,,,
Travis Ford,Saint Louis,A-10,,14,7,.667,,,,,2016-17,89,65,.578,1,,,,,367,291,.558,7,,,
Mark Fox,California,Pac-12,,9,20,.310,,,,,2019-20,23,38,.377,,,,,,309,214,.591,5,,,
John Gallagher,Hartford,AEC,,15,9,.625,,,Lost First Round,,2010-11,157,187,.456,1,,,,,157,187,.456,1,,,
Joe Gallo,Merrimack,NEC,,9,9,.500,,,,,2019-20,29,20,.592,,,,,,29,20,.592,,,,
Eran Ganot,Hawaii,Big West,,11,10,.524,,,,,2015-16,97,66,.595,1,,,,,100,68,.595,1,,,
Greg Gard,Wisconsin,Big Ten,,18,13,.581,7,,Lost Second Round,,2015-16,119,70,.630,4,2,,,,119,70,.630,4,2,,
Murray Garvin,South Carolina State,MEAC,,1,17,.056,,,,,2012-13,82,168,.328,,,,,,82,168,.328,,,,
Greg Gary,Mercer,Southern,,18,11,.621,,,,,2019-20,35,26,.574,,,,,,51,70,.421,,,,
Dennis Gates,Cleveland State,Horizon,,19,8,.704,,,Lost First Round,,2019-20,30,29,.508,1,,,,,30,29,.508,1,,,
Billy Gillispie,Tarleton State,WAC,,10,10,.500,,,,,2020-21,10,10,.500,,,,,,158,118,.572,4,1,,
Todd Golden,San Francisco,WCC,,11,14,.440,,,,,2019-20,33,26,.559,,,,,,33,26,.559,,,,
Joe Golding,Abilene Christian,Southland,,24,5,.828,,,Lost Second Round,,2013-14,134,114,.540,2,,,,,134,114,.540,2,,,
Mark Gottfried,Cal State Northridge,Big West,,9,13,.409,,,,,2018-19,37,51,.420,,,,,,438,292,.600,11,3,,
Anthony Grant,Dayton,A-10,,14,10,.583,,,,,2017-18,78,41,.655,,,,,,271,151,.642,3,,,
Earl Grant,College of Charleston,CAA,,9,10,.474,,,,,2014-15,127,89,.588,1,,,,,127,89,.588,1,,,
Jared Grasso,Bryant,NEC,,15,7,.682,,,,,2018-19,40,44,.476,,,,,,41,66,.383,,,,
Brian Gregory,South Florida,AAC,,9,13,.409,,,,,2017-18,57,66,.463,,,,,,305,246,.554,2,,,
John Groce,Akron,MAC,,15,8,.652,,,,,2017-18,70,49,.588,,,,,,250,180,.581,3,1,,
Jerod Haase,Stanford,Pac-12,,14,13,.519,,,,,2016-17,82,74,.526,,,,,,162,127,.561,1,,,
Frank Haith *,Tulsa,AAC,,11,12,.478,,,,,2014-15,127,88,.591,1,,,,,332,217,.605,4,,,
A.W. Hamilton,Eastern Kentucky,OVC,,22,7,.759,,,,,2018-19,51,42,.548,,,,,,51,42,.548,,,,
Leonard Hamilton *,Florida State,ACC,,18,7,.720,21,14,Lost Regional Semifinal,,2002-03,400,228,.637,8,4,,,,600,438,.578,11,5,,
Derrin Hansen,Omaha,Summit,,5,20,.200,,,,,2012-13,127,149,.460,,,,,,127,149,.460,,,,
Anfernee Hardaway,Memphis,AAC,,20,8,.714,,,,,2018-19,63,32,.663,,,,,,63,32,.663,,,,
Tavaras Hardy,Loyola (MD),Patriot,,6,11,.353,,,,,2018-19,32,49,.395,,,,,,32,49,.395,,,,
Ray Harper,Jacksonville State,OVC,,18,9,.667,,,,,2016-17,98,65,.601,1,,,,,187,129,.592,3,,,
Jim Hayford,Seattle,WAC,,12,11,.522,,,,,2017-18,64,55,.538,,,,,,170,146,.538,1,,,
Eric Henderson,South Dakota State,Summit,,16,7,.696,,,,,2019-20,38,17,.691,,,,,,38,17,.691,,,,
Steve Henson,UTSA,CUSA,,15,11,.577,,,,,2016-17,79,79,.500,,,,,,79,79,.500,,,,
Greg Herenda,FDU,NEC,,9,15,.375,,,,,2013-14,101,142,.416,2,,,,,101,142,.416,2,,,
Bill Herrion,New Hampshire,AEC,,10,9,.526,,,,,2005-06,197,275,.417,,,,,,434,444,.494,3,,,
Lew Hill,Texas-Rio Grande Valley,WAC,,8,4,.667,,,,,2016-17,67,77,.465,,,,,,67,77,.465,,,,
Fred Hoiberg,Nebraska,Big Ten,,7,20,.259,,,,,2019-20,14,45,.237,,,,,,129,101,.561,4,1,,
Shaheen Holloway,St. Peter's,MAAC,,14,11,.560,,,,,2018-19,42,42,.500,,,,,,42,42,.500,,,,
Chris Holtmann,Ohio State,Big Ten,,21,10,.677,23,7,Lost First Round,,2017-18,87,44,.664,3,,,,,201,129,.609,6,1,,
Jason Hooten,Sam Houston,Southland,,19,9,.679,,,,,2010-11,216,147,.595,,,,,,216,147,.595,,,,
Mike Hopkins,Washington,Pac-12,,5,21,.192,,,,,2017-18,68,60,.531,,,,,,72,65,.526,1,,,
Darrin Horn,Northern Kentucky,Horizon,,14,11,.560,,,,,2019-20,37,20,.649,,,,,,208,131,.614,1,1,,
Ashley Howard,La Salle,A-10,,9,16,.360,,,,,2018-19,34,52,.395,,,,,,34,52,.395,,,,
Dylan Howard,Alabama A&M,SWAC,,6,9,.400,,,,,2018-19,19,58,.247,,,,,,19,58,.247,,,,
Juwan Howard,Michigan,Big Ten,,23,5,.821,25,4,Lost Regional Final,,2019-20,42,17,.712,1,1,,,,42,17,.712,1,1,,
Ben Howland,Mississippi State,SEC,,18,15,.545,,,,,2015-16,116,82,.586,1,,,,,515,290,.640,11,5,3,
Michael Huger,Bowling Green State,MAC,,14,12,.538,,,,,2015-16,102,87,.540,,,,,,102,87,.540,,,,
Bob Huggins,West Virginia,Big 12,,19,10,.655,15,13,Lost Second Round,,2007-08,310,171,.644,10,5,1,,,828,357,.699,25,9,2,
Lindsey Hunter Jr,Mississippi Valley State,SWAC,,2,22,.083,,,,,2019-20,5,49,.093,,,,,,5,49,.093,,,,
Ron Hunter,Tulane,AAC,,10,13,.435,,,,,2019-20,22,31,.415,,,,,,414,305,.576,4,,,
Bobby Hurley,Arizona State,Pac-12,,11,14,.440,18,,,,2015-16,104,83,.556,2,,,,,146,103,.586,3,,,
Dan Hurley,UConn,Big East,,15,8,.652,,,Lost First Round,,2018-19,50,37,.575,1,,,,,201,142,.586,3,,,
Justin Hutson,Fresno State,MWC,,12,12,.500,,,,,2018-19,46,40,.535,,,,,,46,40,.535,,,,
Martin Ingelsby,Delaware,CAA,,7,8,.467,,,,,2016-17,73,74,.497,,,,,,73,74,.497,,,,
Lance Irvin,Chicago State,WAC,,0,9,.000,,,,,2018-19,7,63,.100,,,,,,7,63,.100,,,,
George Ivory,Arkansas-Pine Bluff,SWAC,,4,21,.160,,,,,2008-09,140,269,.342,1,,,,,140,269,.342,1,,,
Tom Izzo,Michigan State,Big Ten,,15,13,.536,13,,Lost First Four,,1995-96,643,254,.717,23,14,8,1,,643,254,.717,23,14,8,1
Donte Jackson,Grambling,SWAC,,12,12,.500,,,,,2017-18,63,58,.521,,,,,,63,58,.521,,,,
Ben Jacobson,Northern Iowa,MVC,,10,15,.400,,,,,2006-07,301,189,.614,4,1,,,,301,189,.614,4,1,,
Tim Jankovich,SMU,AAC,,11,6,.647,,,,,2015-16,101,55,.647,1,,,,,258,176,.594,1,,,
Chris Jans,New Mexico State,WAC,,12,8,.600,,,,,2017-18,95,25,.792,2,,,,,116,37,.758,2,,,
Tony Jasick,Jacksonville,A-Sun,,11,13,.458,,,,,2014-15,95,123,.436,,,,,,147,170,.464,,,,
Rob Jeter,Western Illinois,Summit,,7,15,.318,,,,,2020-21,7,15,.318,,,,,,191,185,.508,2,,,
Ben Johnson,Portland,WCC,,0,4,.000,,,,,2020-21,0,4,.000,,,,,,0,4,.000,,,,
Stan Johnson,Loyola Marymount,WCC,,13,9,.591,,,,,2020-21,13,9,.591,,,,,,13,9,.591,,,,
Terrence Johnson,Texas State,Sun Belt,,18,7,.720,,,,,2020-21,18,7,.720,,,,,,18,7,.720,,,,
Donnie Jones *,Stetson,A-Sun,,12,15,.444,,,,,2019-20,28,32,.467,,,,,,183,161,.532,,,,
Jeff Jones,Old Dominion,CUSA,,15,8,.652,,,,,2013-14,168,94,.641,1,,,,,525,381,.579,8,2,,
Joe Jones,Boston University,Patriot,,7,11,.389,,,,,2011-12,165,144,.534,,,,,,251,252,.499,,,,
Johnny Jones,Texas Southern,SWAC,,17,9,.654,,,Lost First Round,,2018-19,57,39,.594,1,,,,,352,273,.563,4,,,
Mike Jones,Radford,Big South,,15,12,.556,,,,,2011-12,174,150,.537,1,,,,,174,150,.537,1,,,
Robert Jones,Norfolk State,MEAC,,17,8,.680,,,Lost First Round,,2013-14,142,119,.544,1,,,,,142,119,.544,1,,,
Willie Jones,North Carolina A&T,MEAC,,11,10,.524,,,,,2019-20,25,15,.625,,,,,,25,15,.625,,,,
LaVall Jordan,Butler,Big East,,10,15,.400,,,,,2017-18,69,55,.556,1,,,,,80,79,.503,1,,,
Edward Joyner Jr,Hampton,Big South,,11,14,.440,,,,,2009-10,196,190,.508,3,,,,,196,190,.508,3,,,
Jon Judkins,Utah Tech,WAC,,8,13,.381,,,,,2020-21,8,13,.381,,,,,,8,13,.381,,,,
Greg Kampe,Oakland,Horizon,,12,18,.400,,,,,1999-00,380,330,.535,3,,,,,380,330,.535,3,,,
Brian Katz,Sacramento State,Big Sky,,8,12,.400,,,,,2008-09,150,232,.393,,,,,,150,232,.393,,,,
Kevin Keatts,NC State,ACC,,14,11,.560,,,,,2017-18,79,47,.627,1,,,,,151,75,.668,3,,,
Kyle Keller *,Stephen F. Austin,Southland,,16,5,.762,,,,,2016-17,104,46,.693,1,,,,,104,46,.693,1,,,
Derek Kellogg,LIU,NEC,,9,9,.500,,,,,2017-18,58,60,.492,1,,,,,213,197,.520,2,,,
Pat Kelsey,Winthrop,Big South,,23,2,.920,,,Lost First Round,,2012-13,186,95,.662,2,,,,,186,95,.662,2,,,
Andy Kennedy,UAB,CUSA,,22,7,.759,,,,,2020-21,22,7,.759,,,,,,288,176,.621,2,,,
Brian Kennedy,NJIT,AEC,,7,12,.368,,,,,2016-17,63,82,.434,,,,,,63,82,.434,,,,
Dustin Kerns,Appalachian State,Sun Belt,,17,12,.586,,,Lost First Four,,2019-20,35,27,.565,1,,,,,66,64,.508,1,,,
David Kiefer,Southeastern Louisiana,Southland,,8,18,.308,,,,,2019-20,16,41,.281,,,,,,16,41,.281,,,,
Eric Konkol,Louisiana Tech,CUSA,,24,8,.750,,,,,2015-16,129,65,.665,,,,,,129,65,.665,,,,
Brad Korn,Southeast Missouri State,OVC,,11,16,.407,,,,,2020-21,11,16,.407,,,,,,11,16,.407,,,,
Tod Kowalczyk,Toledo,MAC,,21,9,.700,,,,,2010-11,205,153,.573,,,,,,341,265,.563,,,,
Rob Krimmel,Saint Francis (PA),NEC,,6,16,.273,,,,,2012-13,125,149,.456,,,,,,125,149,.456,,,,
Lon Kruger,Oklahoma,Big 12,,16,11,.593,,,Lost Second Round,,2011-12,195,128,.604,7,2,1,,,674,432,.609,20,5,2,
Larry Krystkowiak,Utah,Pac-12,,12,13,.480,,,,,2011-12,183,139,.568,2,1,,,,225,159,.586,4,1,,
Mike Krzyzewski,Duke,ACC,,13,11,.542,9,,,,1980-81,1097,302,.784,35,25,12,5,,1170,361,.764,35,25,12,5
Jay Ladner,Southern Miss,CUSA,,8,17,.320,,,,,2019-20,17,39,.304,,,,,,93,127,.423,,,,
Billy Lange,St. Joseph's,A-10,,5,15,.250,,,,,2019-20,11,41,.212,,,,,,103,156,.398,,,,
Matt Langel,Colgate,Patriot,,14,2,.875,,,Lost First Round,,2011-12,153,153,.500,2,,,,,153,153,.500,2,,,
Rob Lanier,Georgia State,Sun Belt,,16,6,.727,,,,,2019-20,35,19,.648,,,,,,93,89,.511,1,,,
Greg Lansing,Indiana State,MVC,,15,10,.600,,,,,2010-11,181,164,.525,1,,,,,181,164,.525,1,,,
Jim Larranaga,Miami (FL),ACC,,10,17,.370,,,,,2011-12,200,130,.606,4,2,,,,642,439,.594,9,3,1,
Anthony Latina,Sacred Heart,NEC,,9,9,.500,,,,,2013-14,99,140,.414,,,,,,99,140,.414,,,,
Todd Lee,South Dakota,Summit,,14,11,.560,,,,,2018-19,47,40,.540,,,,,,47,40,.540,,,,
Shantay Legans,Eastern Washington,Big Sky,,16,8,.667,,,Lost First Round,,2017-18,75,49,.605,1,,,,,75,49,.605,1,,,
Dave Leitao,DePaul,Big East,,5,14,.263,,,,,2002-03,127,146,.465,1,,,,,212,241,.468,2,,,
Jim Les,UC-Davis,Big West,,10,8,.556,,,,,2011-12,144,161,.472,1,,,,,298,301,.497,2,1,,
Todd Lickliter,Evansville,MVC,,9,16,.360,,,,,2019-20,9,29,.237,,,,,,178,148,.546,2,2,,
Jeff Linder,Wyoming,MWC,,14,11,.560,,,,,2020-21,14,11,.560,,,,,,94,61,.606,,,,
Ryan Looney,Idaho State,Big Sky,,13,11,.542,,,,,2019-20,21,33,.389,,,,,,21,33,.389,,,,
Matt Lottich,Valparaiso,MVC,,10,18,.357,,,,,2016-17,83,78,.516,,,,,,83,78,.516,,,,
Carmen Maciariello,Siena,MAAC,,12,5,.706,,,,,2019-20,32,15,.681,,,,,,32,15,.681,,,,
Chris Mack,Louisville,ACC,,13,7,.650,,,,,2018-19,57,28,.671,1,,,,,272,125,.685,9,4,,
Mark Madsen,Utah Valley,WAC,,11,11,.500,,,,,2019-20,22,30,.423,,,,,,22,30,.423,,,,
Mike Magpayo,UC-Riverside,Big West,,14,8,.636,,,,,2020-21,14,8,.636,,,,,,14,8,.636,,,,
Bob Marlin,Louisiana,Sun Belt,,17,9,.654,,,,,2010-11,205,152,.574,1,,,,,430,283,.603,3,,,
Donyell Marshall,Central Connecticut,NEC,,5,16,.238,,,,,2016-17,40,104,.278,,,,,,40,104,.278,,,,
Cuonzo Martin,Missouri,SEC,,16,10,.615,,,Lost First Round,,2017-18,66,56,.541,2,,,,,252,177,.587,4,1,,
Frank Martin,South Carolina,SEC,,6,15,.286,,,,,2012-13,153,134,.533,1,1,1,,,270,188,.590,5,2,1,
Steve Masiello,Manhattan,MAAC,,7,13,.350,,,,,2011-12,147,162,.476,2,,,,,147,162,.476,2,,,
Bashir Mason,Wagner,NEC,,13,7,.650,,,,,2012-13,144,124,.537,,,,,,144,124,.537,,,,
