,,,,2008-09 Season,2008-09 Season,2008-09 Season,2008-09 Season,2008-09 Season,2008-09 Season,,Career at Current School,Career at Current School,Career at Current School,Career at Current School,Career at Current School,Career at Current School,Career at Current School,Career at Current School,,Career Overall,Career Overall,Career Overall,Career Overall,Career Overall,Career Overall,Career Overall
Coach,School,Conference,,W,L,W-L%,AP Pre,AP Post,NCAA Tournament,,Since,W,L,W-L%,NCAA,S16,FF,Chmp,,W,L,W-L%,NCAA,S16,FF,Chmp
Mike Adras,Northern Arizona,Big Sky,,8,19,.296,,,,,1999-00,158,136,.537,1,,,,,158,136,.537,1,,,
Jesse Agel,Brown,Ivy,,9,19,.321,,,,,2008-09,9,19,.321,,,,,,9,19,.321,,,,
Cy Alexander,Tennessee State,OVC,,6,16,.273,,,,,2003-04,67,106,.387,,,,,,343,306,.529,5,,,
Steve Alford,New Mexico,MWC,,22,12,.647,,,,,2007-08,46,21,.687,,,,,,276,175,.612,4,1,,
Frankie Allen,Maryland-Eastern Shore,MEAC,,7,23,.233,,,,,2008-09,7,23,.233,,,,,,230,317,.420,2,,,
Dana Altman,Creighton,MVC,,27,8,.771,,,,,1994-95,309,160,.659,7,,,,,392,227,.633,8,,,
Tommy Amaker,Harvard,Ivy,,14,14,.500,,,,,2007-08,22,36,.379,,,,,,198,175,.531,1,1,,
Mike Anderson Sr,Missouri,Big 12,,31,7,.816,,9,Lost Regional Final,,2006-07,65,35,.650,1,1,,,,154,76,.670,4,2,,
Tevester Anderson,Jackson State,SWAC,,18,15,.545,,,,,2003-04,95,100,.487,1,,,,,198,152,.566,3,,,
Ronnie Arrow,South Alabama,Sun Belt,,20,13,.606,,,,,1987-88,160,113,.586,3,,,,,255,162,.612,4,,,
Tom Asbury,Pepperdine,WCC,,9,23,.281,,,,,1988-89,134,82,.620,3,,,,,219,170,.563,4,,,
Dave Balza,Florida Gulf Coast,A-Sun,,11,20,.355,,,,,2007-08,21,41,.339,,,,,,21,41,.339,,,,
Tony Barbee,UTEP,CUSA,,23,14,.622,,,,,2006-07,56,45,.554,,,,,,56,45,.554,,,,
Rick Barnes,Texas,Big 12,,23,12,.657,7,,Lost Second Round,,1998-99,270,105,.720,11,5,1,,,472,239,.664,17,6,1,
Rod Barnes,Georgia State,CAA,,12,20,.375,,,,,2007-08,21,41,.339,,,,,,162,150,.519,3,1,,
Jim Baron,Rhode Island,A-10,,23,11,.676,,,,,2001-02,130,119,.522,,,,,,336,321,.511,2,,,
Murry Bartow,ETSU,A-Sun,,23,11,.676,,,Lost First Round,,2003-04,118,72,.621,2,,,,,221,155,.588,3,,,
Duggar Baucom,VMI,Big South,,24,8,.750,,,,,2005-06,59,62,.488,,,,,,59,62,.488,,,,
Bill Bayno,Loyola Marymount,WCC,,0,3,.000,,,,,2008-09,0,3,.000,,,,,,94,67,.584,2,,,
John Beilein,Michigan,Big Ten,,21,14,.600,,,Lost Second Round,,2007-08,31,36,.463,1,,,,,324,211,.606,5,2,,
Randy Bennett,Saint Mary's,WCC,,28,7,.800,,,,,2001-02,155,97,.615,2,,,,,155,97,.615,2,,,
Tony Bennett,Washington State,Pac-10,,17,16,.515,,,,,2006-07,69,33,.676,2,1,,,,69,33,.676,2,1,,
