,,,,2008-09 Season,2008-09 Season,2008-09 Season,2008-09 Season,2008-09 Season,2008-09 Season,,Career at Current School,Career at Current School,Career at Current School,Career at Current School,Career at Current School,Career at Current School,Career at Current School,Career at Current School,,Career Overall,Career Overall,Career Overall,Career Overall,Career Overall,Career Overall,Career Overall
Eddie Biedenbach,UNC Asheville,Big South,,15,16,.484,,,,,1996-97,181,202,.473,1,,,,,210,253,.454,1,,,
Dave Bike,Sacred Heart,NEC,,17,14,.548,,,,,1999-00,106,184,.366,,,,,,106,184,.366,,,,
Jim Boeheim *,Syracuse,Big East,,28,10,.737,,13,Lost Regional Semifinal,,1976-77,799,288,.735,26,14,3,1,,799,288,.735,26,14,3,1
Ken Bone,Portland State,Big Sky,,23,10,.697,,,Lost First Round,,2005-06,77,49,.611,2,,,,,77,49,.611,2,,,
Tad Boyle,Northern Colorado,Big Sky,,14,18,.438,,,,,2006-07,31,58,.348,,,,,,31,58,.348,,,,
Jim Boylen,Utah,MWC,,24,10,.706,,25,Lost First Round,,2007-08,42,25,.627,1,,,,,42,25,.627,1,,,
Todd Bozeman *,Morgan State,MEAC,,23,12,.657,,,Lost First Round,,2006-07,58,41,.586,1,,,,,121,76,.614,4,1,,
John Brady,Arkansas State,Sun Belt,,13,17,.433,,,,,2008-09,13,17,.433,,,,,,294,233,.558,4,2,1,
Matt Brady,James Madison,CAA,,21,15,.583,,,,,2008-09,21,15,.583,,,,,,94,65,.591,,,,
Bobby Braswell,Cal State Northridge,Big West,,17,14,.548,,,Lost First Round,,1996-97,205,181,.531,2,,,,,205,181,.531,2,,,
Ben Braun,Rice,CUSA,,10,22,.312,,,,,2008-09,10,22,.312,,,,,,413,309,.572,8,2,,
Mike Brey,Notre Dame,Big East,,21,15,.583,9,,,,2000-01,188,101,.651,5,1,,,,287,153,.652,7,1,,
Horace Broadnax,Savannah State,Ind,,15,14,.517,,,,,2005-06,42,78,.350,,,,,,84,166,.336,,,,
Kevin Broadus,Binghamton,AEC,,23,9,.719,,,Lost First Round,,2007-08,37,25,.597,1,,,,,37,25,.597,1,,,
Kevin Bromley,Cal Poly,Big West,,7,21,.250,,,,,2000-01,99,145,.406,,,,,,99,145,.406,,,,
Keith Brown,Cal State Bakersfield,Ind,,8,21,.276,,,,,2006-07,31,56,.356,,,,,,31,56,.356,,,,
Matt Brown,Kansas City,Summit,,7,24,.226,,,,,2007-08,18,45,.286,,,,,,18,45,.286,,,,
Milan Brown,Mount St. Mary's,NEC,,19,14,.576,,,,,2003-04,79,105,.429,1,,,,,79,105,.429,1,,,
Will Brown,Albany (NY),AEC,,15,16,.484,,,,,2001-02,106,124,.461,2,,,,,106,124,.461,2,,,
Brad Brownell,Wright State,Horizon,,20,13,.606,,,,,2006-07,64,33,.660,1,,,,,147,73,.668,3,,,
Bob Burton,Cal State Fullerton,Big West,,15,17,.469,,,,,2003-04,107,77,.582,1,,,,,107,77,.582,1,,,
Rick Byrd,Belmont,A-Sun,,20,13,.606,,,,,1999-00,171,133,.562,3,,,,,171,133,.562,3,,,
Jeff Bzdelik,Colorado,Big 12,,9,22,.290,,,,,2007-08,21,42,.333,,,,,,96,89,.519,1,,,
Jim Calhoun,UConn,Big East,,31,5,.861,2,5,Lost National Semifinal,,1986-87,559,206,.731,16,12,3,2,,807,343,.702,21,12,3,2
John Calipari *,Memphis,CUSA,,33,4,.892,13,3,Lost Regional Semifinal,,2000-01,252,69,.785,6,4,1,,,445,140,.761,11,7,2,
Dave Calloway,Monmouth,NEC,,8,23,.258,,,,,1997-98,157,187,.456,3,,,,,157,187,.456,3,,,
Bret Campbell,UT-Martin,OVC,,22,10,.688,,,,,1999-00,125,168,.427,,,,,,125,168,.427,,,,
Jeff Capel III,Oklahoma,Big 12,,30,6,.833,12,7,Lost Regional Final,,2006-07,69,33,.676,2,1,,,,148,74,.667,3,1,,
Bill Carmody,Northwestern,Big Ten,,17,14,.548,,,,,2000-01,120,149,.446,,,,,,212,174,.549,2,,,
Tim Carter,South Carolina State,MEAC,,17,14,.548,,,,,2007-08,30,34,.469,,,,,,190,186,.505,2,,,
Rand Chappell,Central Arkansas,Southland,,10,19,.345,,,,,2006-07,34,55,.382,,,,,,34,55,.382,,,,
Jim Christian,TCU,MWC,,14,17,.452,,,,,2008-09,14,17,.452,,,,,,151,76,.665,2,,,
Perry Clark,Texas A&M-Corpus Christi,Southland,,18,15,.545,,,,,2007-08,27,35,.435,,,,,,277,234,.542,4,,,
Steve Cleveland,Fresno State,WAC,,13,21,.382,,,,,2005-06,63,63,.500,,,,,,201,171,.540,3,,,
Bill Coen,Northeastern,CAA,,19,13,.594,,,,,2006-07,46,49,.484,,,,,,46,49,.484,,,,
Charlie Coles,Miami (OH),MAC,,17,13,.567,,,,,1996-97,227,170,.572,3,1,,,,318,255,.555,4,1,,
Bobby Collins,Winston-Salem,MEAC,,8,22,.267,,,,,2006-07,25,64,.281,,,,,,90,121,.427,1,,,
Jimmy Collins,UIC,Horizon,,16,15,.516,,,,,1996-97,210,186,.530,3,,,,,210,186,.530,3,,,
Ed Conroy,The Citadel,Southern,,20,13,.606,,,,,2006-07,33,60,.355,,,,,,33,60,.355,,,,
Ed Cooley,Fairfield,MAAC,,17,15,.531,,,,,2006-07,44,50,.468,,,,,,44,50,.468,,,,
Ron Cottrell,Houston Christian,Ind,,5,25,.167,,,,,2008-09,5,25,.167,,,,,,5,25,.167,,,,
Tom Crean,Indiana,Big Ten,,6,25,.194,,,,,2008-09,6,25,.194,,,,,,196,121,.618,5,1,1,
Bobby Cremins,College of Charleston,Southern,,27,9,.750,,,,,2006-07,65,37,.637,,,,,,519,344,.601,11,5,1,
Jim Crews,Army,Patriot,,11,19,.367,,,,,2002-03,59,140,.296,,,,,,353,349,.503,4,,,
Mick Cronin,Cincinnati,Big East,,18,14,.562,,,,,2006-07,42,52,.447,,,,,,111,76,.594,2,,,
Gene Cross,Toledo,MAC,,7,25,.219,,,,,2008-09,7,25,.219,,,,,,7,25,.219,,,,
Scott Cross,UT Arlington,Southland,,16,14,.533,,,,,2006-07,50,43,.538,1,,,,,50,43,.538,1,,,
Keith Dambrot,Akron,MAC,,23,13,.639,,,Lost First Round,,2004-05,115,51,.693,1,,,,,135,85,.614,1,,,
Doug Davalos,Texas State,Southland,,14,16,.467,,,,,2006-07,36,52,.409,,,,,,36,52,.409,,,,
Emmett Davis,Colgate,Patriot,,10,20,.333,,,,,1998-99,146,172,.459,,,,,,146,172,.459,,,,
Keno Davis,Providence,Big East,,19,14,.576,,,,,2008-09,19,14,.576,,,,,,47,19,.712,1,,,
Kermit Davis Jr,Middle Tennessee,Sun Belt,,18,14,.562,,,,,2002-03,118,96,.551,,,,,,189,146,.564,2,,,
Mike Davis,UAB,CUSA,,22,12,.647,,,,,2006-07,60,39,.606,,,,,,175,118,.597,4,1,1,
Johnny Dawkins Jr,Stanford,Pac-10,,20,14,.588,,,,,2008-09,20,14,.588,,,,,,20,14,.588,,,,
Ed DeChellis,Penn State,Big Ten,,27,11,.711,,,,,2003-04,84,103,.449,,,,,,189,196,.491,1,,,
Mike Deane,Wagner,NEC,,16,14,.533,,,,,2003-04,89,88,.503,,,,,,407,282,.591,4,,,
Mike Dement,UNC Greensboro,Southern,,5,25,.167,,,,,1991-92,107,126,.459,,,,,,314,316,.498,1,,,
Tommy Dempsey,Rider,MAAC,,19,13,.594,,,,,2005-06,66,59,.528,,,,,,66,59,.528,,,,
Howie Dickenman,Central Connecticut,NEC,,13,17,.433,,,,,1996-97,205,178,.535,3,,,,,205,178,.535,3,,,
Dave Dickerson,Tulane,CUSA,,14,17,.452,,,,,2005-06,60,62,.492,,,,,,60,62,.492,,,,
Henry Dickerson,North Carolina Central,Ind,,4,27,.129,,,,,2007-08,8,53,.131,,,,,,80,126,.388,,,,
Jamie Dixon,Pitt,Big East,,31,5,.861,5,4,Lost Regional Final,,2003-04,163,45,.784,6,3,,,,163,45,.784,6,3,,
Matt Doherty,SMU,CUSA,,9,21,.300,,,,,2006-07,33,58,.363,,,,,,123,129,.488,1,,,
Steve Donahue,Cornell,Ivy,,21,10,.677,,,Lost First Round,,2000-01,117,133,.468,2,,,,,117,133,.468,2,,,
Billy Donovan,Florida,SEC,,25,11,.694,19,,,,1996-97,310,126,.711,9,4,3,2,,345,146,.703,9,4,3,2
Pat Douglass,UC-Irvine,Big West,,12,19,.387,,,,,1997-98,183,173,.514,,,,,,183,173,.514,,,,
Homer Drew,Valparaiso,Horizon,,9,22,.290,,,,,1988-89,332,277,.545,7,1,,,,332,277,.545,7,1,,
Scott Drew,Baylor,Big 12,,24,15,.615,,,,,2003-04,81,95,.460,1,,,,,101,106,.488,1,,,
Ricky Duckett,Grambling,SWAC,,6,23,.207,,,,,2008-09,6,23,.207,,,,,,6,23,.207,,,,
Terry Dunn,Dartmouth,Ivy,,9,19,.321,,,,,2004-05,44,93,.321,,,,,,44,93,.321,,,,
John Dunne,St. Peter's,MAAC,,11,19,.367,,,,,2006-07,22,68,.244,,,,,,22,68,.244,,,,
Fran Dunphy,Temple,A-10,,22,12,.647,,,Lost First Round,,2006-07,55,43,.561,2,,,,,365,206,.639,11,,,
Orlando Early,Louisiana-Monroe,Sun Belt,,10,20,.333,,,,,2005-06,48,73,.397,,,,,,48,73,.397,,,,
Kirk Earlywine,Eastern Washington,Big Sky,,12,18,.400,,,,,2007-08,23,37,.383,,,,,,23,37,.383,,,,
Jerry Eaves,North Carolina A&T,MEAC,,16,16,.500,,,,,2003-04,61,121,.335,,,,,,61,121,.335,,,,
Cliff Ellis,Coastal Carolina,Big South,,11,20,.355,,,,,2007-08,24,35,.407,,,,,,560,373,.600,8,3,,
Jim Engles,NJIT,Ind,,1,30,.032,,,,,2008-09,1,30,.032,,,,,,1,30,.032,,,,
Larry Eustachy,Southern Miss,CUSA,,15,17,.469,,,,,2004-05,75,80,.484,,,,,,335,225,.598,3,1,,
Anthony Evans,Norfolk State,MEAC,,13,18,.419,,,,,2007-08,29,33,.468,,,,,,29,33,.468,,,,
Ron Everhart,Duquesne,A-10,,21,13,.618,,,,,2006-07,48,45,.516,,,,,,222,217,.506,,,,
Houston Fancher,Appalachian State,Southern,,13,18,.419,,,,,2000-01,137,136,.502,,,,,,137,136,.502,,,,
Dennis Felton,Georgia,SEC,,9,11,.450,,,,,2003-04,84,91,.480,1,,,,,184,145,.559,4,,,
Jim Ferry,LIU,NEC,,16,14,.533,,,,,2002-03,84,117,.418,,,,,,84,117,.418,,,,
Mark Few,Gonzaga,WCC,,28,6,.824,10,10,Lost Regional Semifinal,,1999-00,264,66,.800,10,4,,,,264,66,.800,10,4,,
Dane Fife,Purdue Fort Wayne,Summit,,13,17,.433,,,,,2005-06,48,70,.407,,,,,,48,70,.407,,,,
Steve Fisher *,San Diego State,MWC,,26,10,.722,,,,,1999-00,173,140,.553,2,,,,,357,222,.617,9,4,3,1
Bruiser Flint,Drexel,CAA,,15,14,.517,,,,,2001-02,133,108,.552,,,,,,219,180,.549,2,,,
Tim Floyd *,USC,Pac-10,,22,13,.629,18,,Lost Second Round,,2005-06,85,50,.630,3,1,,,,327,181,.644,8,2,,
Geno Ford,Kent State,MAC,,19,15,.559,,,,,2008-09,19,15,.559,,,,,,19,15,.559,,,,
Travis Ford,Oklahoma State,Big 12,,23,12,.657,,,Lost Second Round,,2008-09,23,12,.657,1,,,,,146,127,.535,2,,,
Lennox Forrester,SIU-Edwardsville,OVC,,10,20,.333,,,,,2008-09,10,20,.333,,,,,,10,20,.333,,,,
Mark Fox,Nevada,WAC,,21,13,.618,,,,,2004-05,123,43,.741,3,,,,,123,43,.741,3,,,
Don Friday,Saint Francis (PA),NEC,,6,23,.207,,,,,2008-09,6,23,.207,,,,,,6,23,.207,,,,
Greg Gary,Centenary (LA),Summit,,8,23,.258,,,,,2008-09,8,23,.258,,,,,,8,23,.258,,,,
Dino Gaudio,Wake Forest,ACC,,24,7,.774,21,12,Lost First Round,,2007-08,41,20,.672,1,,,,,109,144,.431,1,,,
John Giannini,La Salle,A-10,,18,13,.581,,,,,2004-05,71,79,.473,,,,,,196,190,.508,,,,
Mike Gillian,Longwood,Ind,,17,14,.548,,,,,2004-05,46,108,.299,,,,,,46,108,.299,,,,
Billy Gillispie,Kentucky,SEC,,22,14,.611,,,,,2007-08,40,27,.597,1,,,,,140,85,.622,4,1,,
Bobby Gonzalez,Seton Hall,Big East,,17,15,.531,,,,,2006-07,47,46,.505,,,,,,176,123,.589,2,,,
Max Good,Loyola Marymount,WCC,,3,25,.107,,,,,2008-09,3,25,.107,,,,,,112,163,.407,,,,
Mark Gottfried,Alabama,SEC,,12,7,.632,,,,,1998-99,210,131,.616,5,1,,,,278,155,.642,7,1,,
Greg Graham,Boise State,WAC,,19,13,.594,,,,,2002-03,127,95,.572,1,,,,,127,95,.572,1,,,
Anthony Grant,VCU,CAA,,24,10,.706,,,Lost First Round,,2006-07,76,25,.752,2,,,,,76,25,.752,2,,,
James Green,Jacksonville State,OVC,,11,17,.393,,,,,2008-09,11,17,.393,,,,,,178,179,.499,1,,,
Tom Green,FDU,NEC,,7,23,.233,,,,,1983-84,407,351,.537,4,,,,,407,351,.537,4,,,
Brad Greenberg,Radford,Big South,,21,12,.636,,,Lost First Round,,2007-08,31,32,.492,1,,,,,31,32,.492,1,,,
Seth Greenberg,Virginia Tech,ACC,,19,15,.559,,,,,2003-04,107,85,.557,1,,,,,320,255,.557,3,,,
Brian Gregory,Dayton,A-10,,27,8,.771,,,Lost Second Round,,2003-04,125,68,.648,2,,,,,125,68,.648,2,,,
Bill Grier,San Diego,WCC,,16,16,.500,,,,,2007-08,38,30,.559,1,,,,,38,30,.559,1,,,
John Groce,Ohio,MAC,,15,17,.469,,,,,2008-09,15,17,.469,,,,,,15,17,.469,,,,
Frank Haith,Miami (FL),ACC,,19,13,.594,17,,,,2004-05,88,73,.547,1,,,,,88,73,.547,1,,,
Leonard Hamilton *,Florida State,ACC,,25,10,.714,,16,Lost First Round,,2002-03,131,96,.577,1,,,,,331,306,.520,4,1,,
Eugene Harris,Florida A&M,MEAC,,10,21,.323,,,,,2007-08,25,38,.397,,,,,,25,38,.397,,,,
Tony Harvey,Texas Southern,SWAC,,7,25,.219,,,,,2008-09,7,25,.219,,,,,,7,25,.219,,,,
Steve Hawkins,Western Michigan,MAC,,10,21,.323,,,,,2003-04,106,84,.558,1,,,,,106,84,.558,1,,,
Stan Heath,South Florida,Big East,,9,22,.290,,,,,2007-08,21,41,.339,,,,,,133,118,.530,3,1,,
Bill Herrion,New Hampshire,AEC,,14,16,.467,,,,,2005-06,45,73,.381,,,,,,282,242,.538,3,,,
Pete Herrmann,Georgia,SEC,,3,9,.250,,,,,2008-09,3,9,.250,,,,,,3,9,.250,,,,
Paul Hewitt,Georgia Tech,ACC,,12,19,.387,,,,,2000-01,154,131,.540,4,1,1,,,220,158,.582,5,1,1,
Fred Hill Jr,Rutgers,Big East,,11,21,.344,,,,,2006-07,32,60,.348,,,,,,32,60,.348,,,,
Karl Hobbs,George Washington,A-10,,10,18,.357,,,,,2001-02,133,100,.571,3,,,,,133,100,.571,3,,,
Bob Hoffman,Mercer,A-Sun,,17,15,.531,,,,,2008-09,17,15,.531,,,,,,85,92,.480,,,,
Darrin Horn,South Carolina,SEC,,21,10,.677,,,,,2008-09,21,10,.677,,,,,,132,58,.695,1,1,,
Ben Howland,UCLA,Pac-10,,26,9,.743,4,18,Lost Second Round,,2003-04,152,54,.738,5,3,3,,,318,155,.672,8,5,3,
Bob Huggins,West Virginia,Big East,,23,12,.657,,,Lost First Round,,2007-08,49,23,.681,2,1,,,,567,209,.731,17,5,1,
Dick Hunsaker,Utah Valley,Ind,,17,11,.607,,,,,2004-05,86,57,.601,,,,,,201,103,.661,2,1,,
Larry Hunter,Western Carolina,Southern,,16,15,.516,,,,,2005-06,50,73,.407,,,,,,254,221,.535,1,,,
Ron Hunter,IU Indianapolis,Summit,,16,14,.533,,,,,1998-99,177,154,.535,1,,,,,177,154,.535,1,,,
Brad Huse,Montana State,Big Sky,,14,17,.452,,,,,2006-07,40,51,.440,,,,,,40,51,.440,,,,
Tony Ingle,Kennesaw State,A-Sun,,7,22,.241,,,,,2005-06,42,77,.353,,,,,,42,96,.304,,,,
George Ivory,Arkansas-Pine Bluff,SWAC,,13,18,.419,,,,,2008-09,13,18,.419,,,,,,13,18,.419,,,,
Tom Izzo,Michigan State,Big Ten,,31,7,.816,6,8,Lost National Final,,1995-96,336,137,.710,12,8,5,1,,336,137,.710,12,8,5,1
Gil Jackson,Howard,MEAC,,8,23,.258,,,,,2005-06,30,93,.244,,,,,,30,93,.244,,,,
Greg Jackson,Delaware State,MEAC,,8,24,.250,,,,,2000-01,140,136,.507,1,,,,,140,136,.507,1,,,
Jeff Jackson,Furman,Southern,,6,24,.200,,,,,2006-07,28,63,.308,,,,,,49,123,.285,,,,
Lewis Jackson,Alabama State,SWAC,,22,10,.688,,,Lost Opening Round,,2005-06,64,59,.520,1,,,,,64,59,.520,1,,,
Ben Jacobson,Northern Iowa,MVC,,23,11,.676,,,Lost First Round,,2006-07,59,38,.608,1,,,,,59,38,.608,1,,,
Tim Jankovich,Illinois State,MVC,,24,10,.706,,,,,2007-08,49,20,.710,,,,,,102,77,.570,,,,
Mike Jarvis,Florida Atlantic,Sun Belt,,6,26,.188,,,,,2008-09,6,26,.188,,,,,,369,228,.618,9,2,,
Rob Jeter,Milwaukee,Horizon,,17,14,.548,,,,,2005-06,62,61,.504,1,,,,,62,61,.504,1,,,
Sydney Johnson,Princeton,Ivy,,13,14,.481,,,,,2007-08,19,37,.339,,,,,,19,37,.339,,,,
Trent Johnson,LSU,SEC,,27,8,.771,,21,Lost Second Round,,2008-09,27,8,.771,1,,,,,186,130,.589,5,2,,
Donnie Jones,Marshall,CUSA,,15,17,.469,,,,,2007-08,31,31,.500,,,,,,31,31,.500,,,,
James Jones,Yale,Ivy,,13,15,.464,,,,,1999-00,130,149,.466,,,,,,130,149,.466,,,,
Jeff Jones,American,Patriot,,24,8,.750,,,Lost First Round,,2000-01,148,122,.548,2,,,,,294,226,.565,7,2,,
Joe Jones,Columbia,Ivy,,12,16,.429,,,,,2003-04,75,91,.452,,,,,,75,91,.452,,,,
Johnny Jones,North Texas,Sun Belt,,20,12,.625,,,,,2001-02,126,112,.529,1,,,,,141,128,.524,1,,,
Greg Kampe,Oakland,Summit,,23,13,.639,,,,,1999-00,155,152,.505,1,,,,,155,152,.505,1,,,
Danny Kaspar,Stephen F. Austin,Southland,,24,8,.750,,,Lost First Round,,2000-01,158,104,.603,1,,,,,158,104,.603,1,,,
Brian Katz,Sacramento State,Big Sky,,2,27,.069,,,,,2008-09,2,27,.069,,,,,,2,27,.069,,,,
Kerry Keating,Santa Clara,WCC,,16,17,.485,,,,,2007-08,31,33,.484,,,,,,31,33,.484,,,,
Derek Kellogg,UMass,A-10,,12,18,.400,,,,,2008-09,12,18,.400,,,,,,12,18,.400,,,,
Andy Kennedy,Ole Miss,SEC,,16,15,.516,,,,,2006-07,61,39,.610,,,,,,82,52,.612,,,,
Billy Kennedy,Murray State,OVC,,19,12,.613,,,,,2006-07,53,39,.576,,,,,,157,165,.488,1,,,
Pat Kennedy,Towson,CAA,,12,22,.353,,,,,2004-05,57,97,.370,,,,,,473,408,.537,8,2,,
Ernie Kent,Oregon,Pac-10,,8,23,.258,,,,,1997-98,219,157,.582,5,2,,,,309,237,.566,6,2,,
Matt Kilcullen,North Florida,A-Sun,,8,22,.267,,,,,2005-06,20,96,.172,,,,,,113,195,.367,1,,,
Pat Knight,Texas Tech,Big 12,,14,19,.424,,,,,2007-08,18,26,.409,,,,,,18,26,.409,,,,
Tod Kowalczyk,Green Bay,Horizon,,22,11,.667,,,,,2002-03,114,99,.535,,,,,,114,99,.535,,,,
Lon Kruger,UNLV,MWC,,21,11,.656,,,,,2004-05,112,53,.679,2,1,,,,430,286,.601,11,3,1,
Mike Krzyzewski,Duke,ACC,,30,7,.811,8,6,Lost Regional Semifinal,,1980-81,760,215,.779,25,18,10,3,,833,274,.752,25,18,10,3
Robbie Laing,Campbell,A-Sun,,14,16,.467,,,,,2003-04,53,120,.306,,,,,,53,120,.306,,,,
Billy Lange,Navy,Patriot,,19,11,.633,,,,,2004-05,68,78,.466,,,,,,68,78,.466,,,,
Jim Larranaga,George Mason,CAA,,22,11,.667,,,,,1997-98,229,142,.617,4,1,1,,,398,287,.581,4,1,1,
Jeff Lebo,Auburn,SEC,,24,12,.667,,,,,2004-05,81,76,.516,,,,,,196,139,.585,,,,
Robert Lee,Louisiana,Sun Belt,,10,20,.333,,,,,2004-05,67,83,.447,1,,,,,67,83,.447,1,,,
Dan Leibovitz,Hartford,AEC,,7,26,.212,,,,,2006-07,38,60,.388,,,,,,38,60,.388,,,,
Dave Leitao,Virginia,ACC,,10,18,.357,,,,,2005-06,63,60,.512,1,,,,,143,129,.526,2,,,
Jim Les,Bradley,MVC,,21,15,.583,,,,,2002-03,126,105,.545,1,1,,,,126,105,.545,1,1,,
Todd Lickliter,Iowa,Big Ten,,15,17,.469,,,,,2007-08,28,36,.438,,,,,,159,97,.621,2,2,,
Mike Lonergan,Vermont,AEC,,24,9,.727,,,,,2005-06,78,49,.614,,,,,,78,49,.614,,,,
Dave Loos,Austin Peay,OVC,,19,14,.576,,,,,1990-91,314,261,.546,3,,,,,314,261,.546,3,,,
Sidney Lowe,NC State,ACC,,16,14,.533,,,,,2006-07,51,46,.526,,,,,,51,46,.526,,,,
Chris Lowery,Southern Illinois,MVC,,13,18,.419,,,,,2004-05,109,59,.649,3,1,,,,109,59,.649,3,1,,
Bart Lundy,High Point,Big South,,9,21,.300,,,,,2003-04,96,87,.525,,,,,,96,87,.525,,,,
Bobby Lutz,Charlotte,A-10,,11,20,.355,,,,,1998-99,199,146,.577,5,,,,,199,146,.577,5,,,
Don Maestri,Troy,Sun Belt,,19,13,.594,,,,,1993-94,241,223,.519,1,,,,,241,223,.519,1,,,
Rick Majerus,Saint Louis,A-10,,18,14,.562,,,,,2007-08,34,29,.540,,,,,,456,176,.722,12,4,1,
Bob Marlin,Sam Houston,Southland,,18,12,.600,,,,,1998-99,200,123,.619,1,,,,,200,123,.619,1,,,
Gregg Marshall,Wichita State,MVC,,17,17,.500,,,,,2007-08,28,37,.431,,,,,,222,120,.649,7,,,
Phil Martelli,St. Joseph's,A-10,,17,15,.531,,,,,1995-96,278,167,.625,5,2,,,,278,167,.625,5,2,,
Chuck Martin,Marist,MAAC,,10,23,.303,,,,,2008-09,10,23,.303,,,,,,10,23,.303,,,,
Cuonzo Martin,Missouri State,MVC,,11,20,.355,,,,,2008-09,11,20,.355,,,,,,11,20,.355,,,,
Frank Martin,Kansas State,Big 12,,22,12,.647,,,,,2007-08,43,24,.642,1,,,,,43,24,.642,1,,,
Thad Matta,Ohio State,Big Ten,,22,11,.667,,,Lost First Round,,2004-05,127,46,.734,3,1,1,,,229,77,.748,7,2,1,
Fran McCaffery,Siena,MAAC,,27,8,.771,,,Lost Second Round,,2005-06,85,44,.659,2,,,,,224,170,.569,4,,,
Ray McCallum,Detroit Mercy,Horizon,,7,23,.233,,,,,2008-09,7,23,.233,,,,,,177,172,.507,2,,,
Mack McCarthy,East Carolina,CUSA,,13,17,.433,,,,,2007-08,24,36,.400,,,,,,333,213,.610,5,1,,
Mike McConathy,Northwestern State,Southland,,11,20,.355,,,,,1999-00,156,155,.502,2,,,,,156,155,.502,2,,,
Greg McDermott,Iowa State,Big 12,,15,17,.469,,,,,2006-07,44,51,.463,,,,,,134,114,.540,3,,,
Ken McDonald,Western Kentucky,Sun Belt,,25,9,.735,,,Lost Second Round,,2008-09,25,9,.735,1,,,,,25,9,.735,1,,,
Ritchie McKay,Liberty,Big South,,23,12,.657,,,,,2007-08,39,28,.582,,,,,,204,186,.523,1,,,
Kevin McKenna,Indiana State,MVC,,11,21,.344,,,,,2007-08,26,37,.413,,,,,,26,37,.413,,,,
Bob McKillop,Davidson,Southern,,27,8,.771,20,,,,1989-90,367,233,.612,5,1,,,,367,233,.612,5,1,,
Marvin Menzies,New Mexico State,WAC,,17,15,.531,,,,,2007-08,38,29,.567,,,,,,38,29,.567,,,,
Joe Mihalich,Niagara,MAAC,,26,9,.743,,,,,1998-99,205,132,.608,2,,,,,205,132,.608,2,,,
Tim Miles,Colorado State,MWC,,9,22,.290,,,,,2007-08,16,47,.254,,,,,,52,67,.437,,,,
