,,,,2014-15 Season,2014-15 Season,2014-15 Season,2014-15 Season,2014-15 Season,2014-15 Season,,Career at Current School,Career at Current School,Career at Current School,Career at Current School,Career at Current School,Career at Current School,Career at Current School,Career at Current School,,Career Overall,Career Overall,Career Overall,Career Overall,Career Overall,Career Overall,Career Overall
Coach,School,Conference,,W,L,W-L%,AP Pre,AP Post,NCAA Tournament,,Since,W,L,W-L%,NCAA,S16,FF,Chmp,,W,L,W-L%,NCAA,S16,FF,Chmp
Casey Alexander,Lipscomb,A-Sun,,14,17,.452,,,,,2013-14,29,32,.475,,,,,,53,68,.438,,,,
Cy Alexander,North Carolina A&T,MEAC,,9,23,.281,,,,,2012-13,38,63,.376,1,,,,,381,369,.508,6,,,
Steve Alford,UCLA,Pac-12,,22,14,.611,,,Lost Regional Semifinal,,2013-14,50,23,.685,2,2,,,,435,229,.655,9,3,,
Jerome Allen,Penn,Ivy,,9,19,.321,,,,,2009-10,65,104,.385,,,,,,65,104,.385,,,,
Dana Altman,Oregon,Pac-12,,26,10,.722,,,Lost Third Round,,2010-11,123,57,.683,3,1,,,,533,300,.640,11,1,,
Tommy Amaker,Harvard,Ivy,,22,8,.733,25,,Lost Second Round,,2007-08,161,79,.671,4,,,,,337,218,.607,5,1,,
Kim Anderson,Missouri,SEC,,9,23,.281,,,,,2014-15,9,23,.281,,,,,,9,23,.281,,,,
Mike Anderson Sr,Arkansas,SEC,,27,9,.750,,21,Lost Third Round,,2011-12,86,48,.642,1,,,,,286,146,.662,7,2,,
Orlando Antigua,South Florida,AAC,,9,23,.281,,,,,2014-15,9,23,.281,,,,,,9,23,.281,,,,
Kevin Baggett,Rider,MAAC,,21,12,.636,,,,,2012-13,54,44,.551,,,,,,54,44,.551,,,,
Roman Banks,Southern,SWAC,,18,17,.514,,,,,2011-12,77,54,.588,1,,,,,77,54,.588,1,,,
Rick Barnes,Texas,Big 12,,20,14,.588,10,,Lost Second Round,,1998-99,402,180,.691,16,5,1,,,604,314,.658,22,6,1,
Rod Barnes,Cal State Bakersfield,WAC,,14,19,.424,,,,,2011-12,57,69,.452,,,,,,243,258,.485,3,1,,
Jim Baron,Canisius,MAAC,,18,15,.545,,,,,2012-13,59,42,.584,,,,,,448,411,.522,2,,,
Murry Bartow,ETSU,Southern,,16,14,.533,,,,,2003-04,224,165,.576,3,,,,,327,248,.569,4,,,
Duggar Baucom,VMI,Southern,,11,19,.367,,,,,2005-06,151,159,.487,,,,,,151,159,.487,,,,
John Becker,Vermont,AEC,,20,14,.588,,,,,2011-12,87,49,.640,1,,,,,87,49,.640,1,,,
John Beilein,Michigan,Big Ten,,16,16,.500,24,,,,2007-08,166,110,.601,5,2,1,,,459,285,.617,9,4,1,
Tony Benford,North Texas,CUSA,,14,17,.452,,,,,2012-13,42,53,.442,,,,,,42,53,.442,,,,
Randy Bennett,Saint Mary's,WCC,,21,10,.677,,,,,2001-02,304,145,.677,5,1,,,,304,145,.677,5,1,,
Tony Bennett,Virginia,ACC,,30,4,.882,9,6,Lost Third Round,,2009-10,136,64,.680,3,1,,,,205,97,.679,5,2,,
Dave Bezold,Northern Kentucky,A-Sun,,13,17,.433,,,,,2012-13,33,54,.379,,,,,,33,54,.379,,,,
Jim Boeheim *,Syracuse,ACC,,18,13,.581,23,,,,1976-77,966,333,.744,31,17,4,1,,966,333,.744,31,17,4,1
Tad Boyle,Colorado,Pac-12,,16,18,.471,,,,,2010-11,108,68,.614,3,,,,,164,134,.550,3,,,
Todd Bozeman *,Morgan State,MEAC,,7,24,.226,,,,,2006-07,150,140,.517,2,,,,,213,175,.549,5,1,,
John Brady,Arkansas State,Sun Belt,,11,18,.379,,,,,2008-09,110,109,.502,,,,,,391,325,.546,4,2,1,
Matt Brady,James Madison,CAA,,19,14,.576,,,,,2008-09,118,116,.504,1,,,,,191,166,.535,1,,,
Glenn Braica,St. Francis (NY),NEC,,23,12,.657,,,,,2010-11,83,74,.529,,,,,,83,74,.529,,,,
John Brannen,Alabama,SEC,,1,1,.500,,,,,2014-15,1,1,.500,,,,,,1,1,.500,,,,
Mike Brennan,American,Patriot,,17,16,.515,,,,,2013-14,37,29,.561,1,,,,,37,29,.561,1,,,
Wayne Brent,Jackson State,SWAC,,11,21,.344,,,,,2013-14,22,41,.349,,,,,,22,41,.349,,,,
Mike Brey,Notre Dame,ACC,,32,6,.842,,8,Lost Regional Final,,2000-01,332,165,.668,10,2,,,,431,217,.665,12,2,,
Horace Broadnax *,Savannah State,MEAC,,9,22,.290,,,,,2005-06,127,179,.415,,,,,,169,267,.388,,,,
Larry Brown *,SMU,AAC,,27,7,.794,22,18,Lost Second Round,,2012-13,69,34,.670,1,,,,,246,95,.721,8,4,3,1
