,,,,2012-13 Season,2012-13 Season,2012-13 Season,2012-13 Season,2012-13 Season,2012-13 Season,,Career at Current School,Career at Current School,Career at Current School,Career at Current School,Career at Current School,Career at Current School,Career at Current School,Career at Current School,,Career Overall,Career Overall,Career Overall,Career Overall,Career Overall,Career Overall,Career Overall
Coach,School,Conference,,W,L,W-L%,AP Pre,AP Post,NCAA Tournament,,Since,W,L,W-L%,NCAA,S16,FF,Chmp,,W,L,W-L%,NCAA,S16,FF,Chmp
Casey Alexander,Stetson,A-Sun,,15,16,.484,,,,,2011-12,24,36,.400,,,,,,24,36,.400,,,,
Cy Alexander,North Carolina A&T,MEAC,,20,17,.541,,,Lost Second Round,,2012-13,20,17,.541,1,,,,,363,323,.529,6,,,
Steve Alford,New Mexico,MWC,,29,6,.829,,10,Lost Second Round,,2007-08,155,52,.749,3,,,,,385,206,.651,7,1,,
Frankie Allen,Maryland-Eastern Shore,MEAC,,2,26,.071,,,,,2008-09,36,115,.238,,,,,,259,409,.388,2,,,
Jerome Allen,Penn,Ivy,,9,22,.290,,,,,2009-10,48,65,.425,,,,,,48,65,.425,,,,
Dana Altman,Oregon,Pac-12,,28,9,.757,,25,Lost Regional Semifinal,,2010-11,73,37,.664,1,1,,,,483,280,.633,9,1,,
Tommy Amaker,Harvard,Ivy,,20,10,.667,,,Lost Third Round,,2007-08,112,66,.629,2,,,,,288,205,.584,3,1,,
Mike Anderson Sr,Arkansas,SEC,,19,13,.594,,,,,2011-12,37,27,.578,,,,,,237,125,.655,6,2,,
Tevester Anderson,Jackson State,SWAC,,11,18,.379,,,,,2003-04,149,170,.467,1,,,,,252,222,.532,3,,,
Gib Arnold,Hawaii,Big West,,17,15,.531,,,,,2010-11,52,44,.542,,,,,,52,44,.542,,,,
Ronnie Arrow,South Alabama,Sun Belt,,5,5,.500,,,,,1987-88,211,161,.567,3,,,,,306,210,.593,4,,,
Kevin Baggett,Rider,MAAC,,19,15,.559,,,,,2012-13,19,15,.559,,,,,,19,15,.559,,,,
Roman Banks,Southern,SWAC,,23,10,.697,,,Lost Second Round,,2011-12,40,24,.625,1,,,,,40,24,.625,1,,,
Tony Barbee,Auburn,SEC,,9,23,.281,,,,,2010-11,35,59,.372,,,,,,117,111,.513,1,,,
Rick Barnes,Texas,Big 12,,16,18,.471,,,,,1998-99,358,155,.698,14,5,1,,,560,289,.660,20,6,1,
Rod Barnes,Cal State Bakersfield,Ind,,14,16,.467,,,,,2011-12,30,31,.492,,,,,,216,220,.495,3,1,,
Jim Baron,Canisius,MAAC,,20,14,.588,,,,,2012-13,20,14,.588,,,,,,409,383,.516,2,,,
Murry Bartow,ETSU,A-Sun,,10,22,.312,,,,,2003-04,189,135,.583,3,,,,,292,218,.573,4,,,
Duggar Baucom,VMI,Big South,,14,17,.452,,,,,2005-06,118,127,.482,,,,,,118,127,.482,,,,
John Becker,Vermont,AEC,,21,12,.636,,,,,2011-12,45,24,.652,1,,,,,45,24,.652,1,,,
John Beilein,Michigan,Big Ten,,31,8,.795,5,10,Lost National Final,,2007-08,122,85,.589,4,1,1,,,415,260,.615,8,3,1,
Tony Benford,North Texas,Sun Belt,,12,20,.375,,,,,2012-13,12,20,.375,,,,,,12,20,.375,,,,
Randy Bennett,Saint Mary's,WCC,,28,7,.800,,,Lost Second Round,,2001-02,263,125,.678,5,1,,,,263,125,.678,5,1,,
Tony Bennett,Virginia,ACC,,23,12,.657,,,,,2009-10,76,53,.589,1,,,,,145,86,.628,3,1,,
Dave Bezold,Northern Kentucky,A-Sun,,11,16,.407,,,,,2012-13,11,16,.407,,,,,,11,16,.407,,,,
