,,,,2012-13 Season,2012-13 Season,2012-13 Season,2012-13 Season,2012-13 Season,2012-13 Season,,Career at Current School,Career at Current School,Career at Current School,Career at Current School,Career at Current School,Career at Current School,Career at Current School,Career at Current School,,Career Overall,Career Overall,Career Overall,Career Overall,Career Overall,Career Overall,Career Overall
Eddie Biedenbach,UNC Asheville,Big South,,16,16,.500,,,,,1996-97,256,258,.498,3,,,,,285,309,.480,3,,,
Dave Bike,Sacred Heart,NEC,,9,20,.310,,,,,1999-00,154,255,.377,,,,,,154,255,.377,,,,
Jim Boeheim *,Syracuse,Big East,,30,10,.750,9,16,Lost National Semifinal,,1976-77,920,314,.746,30,17,4,1,,920,314,.746,30,17,4,1
Ken Bone,Washington State,Pac-12,,13,19,.406,,,,,2009-10,70,65,.519,,,,,,147,114,.563,2,,,
David Boots,South Dakota,Summit,,10,20,.333,,,,,2009-10,60,63,.488,,,,,,60,63,.488,,,,
Tad Boyle,Colorado,Pac-12,,21,12,.636,,,Lost Second Round,,2010-11,69,38,.645,2,,,,,125,104,.546,2,,,
Todd Bozeman *,Morgan State,MEAC,,17,15,.531,,,,,2006-07,128,100,.561,2,,,,,191,135,.586,5,1,,
John Brady,Arkansas State,Sun Belt,,19,12,.613,,,,,2008-09,80,78,.506,,,,,,361,294,.551,4,2,1,
Matt Brady,James Madison,CAA,,21,15,.583,,,Lost Second Round,,2008-09,88,82,.518,1,,,,,161,132,.549,1,,,
Glenn Braica,St. Francis (NY),NEC,,12,18,.400,,,,,2010-11,42,48,.467,,,,,,42,48,.467,,,,
Bobby Braswell,Cal State Northridge,Big West,,14,17,.452,,,,,1996-97,251,258,.493,2,,,,,251,258,.493,2,,,
Ben Braun,Rice,CUSA,,5,26,.161,,,,,2008-09,56,105,.348,,,,,,459,392,.539,8,2,,
Mike Brey,Notre Dame,Big East,,25,10,.714,22,23,Lost Second Round,,2000-01,285,142,.667,9,1,,,,384,194,.664,11,1,,
Horace Broadnax,Savannah State,MEAC,,19,15,.559,,,,,2005-06,105,138,.432,,,,,,147,226,.394,,,,
Larry Brown,SMU,CUSA,,15,17,.469,,,,,2012-13,15,17,.469,,,,,,192,78,.711,7,4,3,1
Matt Brown,Kansas City,Summit,,8,24,.250,,,,,2007-08,64,122,.344,,,,,,64,122,.344,,,,
Milan Brown,Holy Cross,Patriot,,12,18,.400,,,,,2010-11,35,53,.398,,,,,,130,173,.429,1,,,
Will Brown,Albany (NY),AEC,,24,11,.686,,,Lost Second Round,,2001-02,172,191,.474,3,,,,,172,191,.474,3,,,
Brad Brownell,Clemson,ACC,,13,18,.419,,,,,2010-11,51,45,.531,1,,,,,218,130,.626,4,,,
Mitch Buonaguro,Siena,MAAC,,8,24,.250,,,,,2010-11,35,59,.372,,,,,,107,162,.398,2,,,
Rick Byrd,Belmont,OVC,,26,7,.788,,,Lost Second Round,,1999-00,273,165,.623,6,,,,,273,165,.623,6,,,
Jeff Bzdelik,Wake Forest,ACC,,13,18,.419,,,,,2010-11,34,60,.362,,,,,,145,165,.468,1,,,
John Calipari *,Kentucky,SEC,,21,12,.636,3,,,,2009-10,123,26,.826,3,3,2,1,,568,166,.774,14,10,4,1
Joe Callero,Cal Poly,Big West,,18,14,.562,,,,,2009-10,63,63,.500,,,,,,63,63,.500,,,,
Bob Cantu,USC,Pac-12,,7,8,.467,,,,,2012-13,7,8,.467,,,,,,7,8,.467,,,,
Jason Capel,Appalachian State,Southern,,15,16,.484,,,,,2010-11,44,49,.473,,,,,,44,49,.473,,,,
Bill Carmody,Northwestern,Big Ten,,13,19,.406,,,,,2000-01,192,210,.478,,,,,,284,235,.547,2,,,
David Carter,Nevada,MWC,,12,19,.387,,,,,2009-10,74,58,.561,,,,,,74,58,.561,,,,
Tim Carter,South Carolina State,MEAC,,4,17,.190,,,,,2007-08,67,113,.372,,,,,,227,265,.461,2,,,
Mo Cassara,Hofstra,CAA,,7,25,.219,,,,,2010-11,38,59,.392,,,,,,38,59,.392,,,,
Patrick Chambers,Penn State,Big Ten,,10,21,.323,,,,,2011-12,22,41,.349,,,,,,64,69,.481,1,,,
Scott Cherry,High Point,Big South,,17,14,.548,,,,,2009-10,57,66,.463,,,,,,57,66,.463,,,,
Jamion Christian,Mount St. Mary's,NEC,,18,14,.562,,,,,2012-13,18,14,.562,,,,,,18,14,.562,,,,
Jim Christian,Ohio,MAC,,24,10,.706,,,,,2012-13,24,10,.706,,,,,,217,142,.604,2,,,
Tim Cluess,Iona,MAAC,,20,14,.588,,,Lost Second Round,,2010-11,70,34,.673,2,,,,,70,34,.673,2,,,
Bill Coen,Northeastern,CAA,,20,13,.606,,,,,2006-07,111,112,.498,,,,,,111,112,.498,,,,
Ed Conroy,Tulane,CUSA,,20,15,.571,,,,,2010-11,48,48,.500,,,,,,97,124,.439,,,,
Ed Cooley,Providence,Big East,,19,15,.559,,,,,2011-12,34,32,.515,,,,,,126,101,.555,,,,
John Cooper,Miami (OH),MAC,,9,22,.290,,,,,2012-13,9,22,.290,,,,,,52,74,.413,,,,
Paul Cormier,Dartmouth,Ivy,,9,19,.321,,,,,1984-85,106,162,.396,,,,,,192,273,.413,1,,,
Jim Corrigan,Old Dominion,CAA,,3,5,.375,,,,,2012-13,3,5,.375,,,,,,3,5,.375,,,,
Ron Cottrell,Houston Christian,GWC,,14,17,.452,,,,,2008-09,46,109,.297,,,,,,46,109,.297,,,,
Bill Courtney,Cornell,Ivy,,13,18,.419,,,,,2010-11,35,52,.402,,,,,,35,52,.402,,,,
Gravelle Craig,Bethune-Cookman,MEAC,,14,20,.412,,,,,2011-12,32,37,.464,,,,,,32,37,.464,,,,
Tom Crean,Indiana,Big Ten,,29,7,.806,1,4,Lost Regional Semifinal,,2008-09,84,82,.506,2,2,,,,274,178,.606,7,3,1,
Jim Crews,Saint Louis,A-10,,28,7,.800,,13,Lost Third Round,,2012-13,28,7,.800,1,,,,,381,356,.517,5,,,
Mick Cronin,Cincinnati,Big East,,22,12,.647,24,,Lost Second Round,,2006-07,135,100,.574,3,1,,,,204,124,.622,5,1,,
Scott Cross,UT Arlington,WAC,,19,14,.576,,,,,2006-07,122,96,.560,1,,,,,122,96,.560,1,,,
Keith Dambrot,Akron,MAC,,26,7,.788,,,Lost Second Round,,2004-05,210,94,.691,3,,,,,230,128,.642,3,,,
Doug Davalos,Texas State,WAC,,12,22,.353,,,,,2006-07,92,123,.428,,,,,,92,123,.428,,,,
Keno Davis,Central Michigan,MAC,,11,20,.355,,,,,2012-13,11,20,.355,,,,,,85,75,.531,1,,,
Kermit Davis Jr,Middle Tennessee,Sun Belt,,28,6,.824,,,Lost First Round,,2002-03,208,139,.599,1,,,,,279,189,.596,3,,,
Mike Davis,Texas Southern,SWAC,,17,14,.548,,,,,2012-13,17,14,.548,,,,,,254,166,.605,5,1,1,
Johnny Dawkins Jr,Stanford,Pac-12,,19,15,.559,,,,,2008-09,94,74,.560,,,,,,94,74,.560,,,,
Ed DeChellis,Navy,Patriot,,8,23,.258,,,,,2011-12,11,49,.183,,,,,,230,280,.451,2,,,
Tommy Dempsey,Binghamton,AEC,,3,27,.100,,,,,2012-13,3,27,.100,,,,,,122,132,.480,,,,
Howie Dickenman,Central Connecticut,NEC,,13,17,.433,,,,,1996-97,262,241,.521,3,,,,,262,241,.521,3,,,
James Dickey,Houston,CUSA,,20,13,.606,,,,,2010-11,47,46,.505,,,,,,213,170,.556,2,1,,
Tracy Dildy,Chicago State,GWC,,11,22,.333,,,,,2010-11,21,74,.221,,,,,,21,74,.221,,,,
Jamie Dixon,Pitt,Big East,,24,9,.727,,20,Lost Second Round,,2003-04,262,86,.753,9,3,,,,262,86,.753,9,3,,
Cameron Dollar,Seattle,WAC,,8,22,.267,,,,,2009-10,48,71,.403,,,,,,48,71,.403,,,,
Steve Donahue,Boston College,ACC,,16,17,.485,,,,,2010-11,46,52,.469,,,,,,192,190,.503,3,1,,
Billy Donlon,Wright State,Horizon,,23,13,.639,,,,,2010-11,55,46,.545,,,,,,55,46,.545,,,,
Billy Donovan,Florida,SEC,,29,8,.784,10,14,Lost Regional Final,,1996-97,415,166,.714,13,7,3,2,,450,186,.708,13,7,3,2
Bryce Drew,Valparaiso,Horizon,,26,8,.765,,,Lost Second Round,,2011-12,48,20,.706,1,,,,,48,20,.706,1,,,
Scott Drew,Baylor,Big 12,,23,14,.622,19,,,,2003-04,180,138,.566,3,2,,,,200,149,.573,3,2,,
Chuck Driesell,The Citadel,Southern,,8,22,.267,,,,,2010-11,24,68,.261,,,,,,24,68,.261,,,,
Matthew Driscoll,North Florida,A-Sun,,13,19,.406,,,,,2009-10,57,72,.442,,,,,,57,72,.442,,,,
John Dunne,St. Peter's,MAAC,,9,21,.300,,,,,2006-07,72,143,.335,1,,,,,72,143,.335,1,,,
Fran Dunphy,Temple,A-10,,24,10,.706,,,Lost Third Round,,2006-07,158,75,.678,6,,,,,468,238,.663,15,,,
Cliff Ellis,Coastal Carolina,Big South,,14,15,.483,,,,,2007-08,113,75,.601,,,,,,649,413,.611,8,3,,
Andy Enfield,Florida Gulf Coast,A-Sun,,26,11,.703,,,Lost Regional Semifinal,,2011-12,41,28,.594,1,1,,,,41,28,.594,1,1,,
Jim Engles,NJIT,GWC,,16,13,.552,,,,,2008-09,57,96,.373,,,,,,57,96,.373,,,,
Larry Eustachy,Colorado State,MWC,,26,9,.743,,,Lost Third Round,,2012-13,26,9,.743,1,,,,,428,267,.616,5,1,,
Anthony Evans,Norfolk State,MEAC,,21,12,.636,,,,,2007-08,99,94,.513,1,,,,,99,94,.513,1,,,
Bill Evans,Idaho State,Big Sky,,6,24,.200,,,,,2012-13,6,24,.200,,,,,,214,247,.464,1,,,
Jim Ferry,Duquesne,A-10,,8,22,.267,,,,,2012-13,8,22,.267,,,,,,158,171,.480,2,,,
Mark Few,Gonzaga,WCC,,32,3,.914,21,1,Lost Third Round,,1999-00,374,93,.801,14,4,,,,374,93,.801,14,4,,
Steve Fisher *,San Diego State,MWC,,23,11,.676,20,,Lost Third Round,,1999-00,281,171,.622,6,1,,,,465,253,.648,13,5,3,1
Bruiser Flint,Drexel,CAA,,13,18,.419,,,,,2001-02,212,159,.571,,,,,,298,231,.563,2,,,
Tim Floyd *,UTEP,CUSA,,18,14,.562,,,,,2010-11,58,41,.586,,,,,,385,222,.634,8,2,,
Geno Ford,Bradley,MVC,,18,17,.514,,,,,2011-12,25,42,.373,,,,,,93,79,.541,,,,
Travis Ford,Oklahoma State,Big 12,,24,9,.727,,17,Lost Second Round,,2008-09,104,64,.619,3,,,,,227,179,.559,4,,,
Lennox Forrester,SIU-Edwardsville,OVC,,9,18,.333,,,,,2008-09,42,99,.298,,,,,,42,99,.298,,,,
Mark Fox,Georgia,SEC,,15,17,.469,,,,,2009-10,65,63,.508,1,,,,,188,106,.639,4,,,
John Gallagher,Hartford,AEC,,17,14,.548,,,,,2010-11,37,56,.398,,,,,,37,56,.398,,,,
Murray Garvin,South Carolina State,MEAC,,2,7,.222,,,,,2012-13,2,7,.222,,,,,,2,7,.222,,,,
Tyler Geving,Portland State,Big Sky,,8,20,.286,,,,,2009-10,52,70,.426,,,,,,52,70,.426,,,,
John Giannini,La Salle,A-10,,24,10,.706,,,Lost Regional Semifinal,,2004-05,143,138,.509,1,1,,,,268,249,.518,1,1,,
Mike Gillian,Longwood,Big South,,8,25,.242,,,,,2004-05,88,192,.314,,,,,,88,192,.314,,,,
Max Good,Loyola Marymount,WCC,,11,23,.324,,,,,2008-09,64,98,.395,,,,,,173,236,.423,,,,
Mark Gottfried,NC State,ACC,,24,11,.686,6,,Lost Second Round,,2011-12,48,24,.667,2,1,,,,326,179,.646,9,2,,
Anthony Grant,Alabama,SEC,,23,13,.639,,,,,2009-10,86,52,.623,1,,,,,162,77,.678,3,,,
James Green,Jacksonville State,OVC,,17,11,.607,,,,,2008-09,59,90,.396,,,,,,226,252,.473,1,,,
Brian Gregory,Georgia Tech,ACC,,16,15,.516,,,,,2011-12,27,35,.435,,,,,,199,129,.607,2,,,
Bill Grier,San Diego,WCC,,16,18,.471,,,,,2007-08,84,111,.431,1,,,,,84,111,.431,1,,,
John Groce,Illinois,Big Ten,,23,13,.639,,,Lost Third Round,,2012-13,23,13,.639,1,,,,,108,69,.610,3,1,,
Jerod Haase,UAB,CUSA,,16,17,.485,,,,,2012-13,16,17,.485,,,,,,16,17,.485,,,,
Frank Haith,Missouri,SEC,,23,11,.676,15,,Lost Second Round,,2011-12,53,16,.768,2,,,,,182,117,.609,3,,,
Leonard Hamilton *,Florida State,ACC,,18,16,.529,25,,,,2002-03,219,143,.605,4,1,,,,419,353,.543,7,2,,
Derrin Hansen,Omaha,Summit,,11,20,.355,,,,,2012-13,11,20,.355,,,,,,11,20,.355,,,,
Ray Harper,Western Kentucky,Sun Belt,,20,16,.556,,,Lost Second Round,,2011-12,31,24,.564,2,,,,,31,24,.564,2,,,
Steve Hawkins,Western Michigan,MAC,,22,13,.629,,,,,2003-04,181,145,.555,1,,,,,181,145,.555,1,,,
Willie Hayes,Alabama A&M,SWAC,,11,20,.355,,,,,2011-12,18,41,.305,,,,,,18,41,.305,,,,
Jim Hayford,Eastern Washington,Big Sky,,10,21,.323,,,,,2011-12,25,38,.397,,,,,,25,38,.397,,,,
Stan Heath,South Florida,Big East,,12,19,.387,,,,,2007-08,85,110,.436,1,,,,,197,187,.513,4,1,,
Mitch Henderson,Princeton,Ivy,,17,11,.607,,,,,2011-12,37,23,.617,,,,,,37,23,.617,,,,
Bill Herrion,New Hampshire,AEC,,9,20,.310,,,,,2005-06,92,144,.390,,,,,,329,313,.512,3,,,
Tom Herrion,Marshall,CUSA,,13,19,.406,,,,,2010-11,56,45,.554,,,,,,136,83,.621,,,,
Paul Hewitt,George Mason,CAA,,22,16,.579,,,,,2011-12,46,25,.648,,,,,,302,214,.585,6,1,1,
B.J. Hill *,Northern Colorado,Big Sky,,13,18,.419,,,,,2010-11,43,48,.473,1,,,,,43,48,.473,1,,,
Barry Hinson,Southern Illinois,MVC,,14,17,.452,,,,,2012-13,14,17,.452,,,,,,219,157,.582,,,,
Bob Hoffman,Mercer,A-Sun,,24,12,.667,,,,,2008-09,99,73,.576,,,,,,167,150,.527,,,,
Fred Hoiberg,Iowa State,Big 12,,23,12,.657,,,Lost Third Round,,2010-11,62,39,.614,2,,,,,62,39,.614,2,,,
Chris Holtmann,Gardner-Webb,Big South,,21,13,.618,,,,,2010-11,44,54,.449,,,,,,44,54,.449,,,,
Jason Hooten,Sam Houston,Southland,,17,17,.500,,,,,2010-11,48,49,.495,,,,,,48,49,.495,,,,
Todd Howard,IU Indianapolis,Summit,,6,26,.188,,,,,2011-12,20,44,.312,,,,,,20,44,.312,,,,
Ben Howland,UCLA,Pac-12,,25,10,.714,13,24,Lost Second Round,,2003-04,233,107,.685,7,3,3,,,399,208,.657,10,5,3,
Bob Huggins,West Virginia,Big 12,,13,19,.406,,,,,2007-08,133,75,.639,5,2,1,,,651,261,.714,20,6,2,
Dick Hunsaker,Utah Valley,GWC,,14,18,.438,,,,,2004-05,151,117,.563,,,,,,266,163,.620,2,1,,
Larry Hunter,Western Carolina,Southern,,14,19,.424,,,,,2005-06,121,137,.469,,,,,,325,285,.533,1,,,
Ron Hunter,Georgia State,CAA,,15,16,.484,,,,,2011-12,37,28,.569,,,,,,258,207,.555,1,,,
Dan Hurley,Rhode Island,A-10,,8,21,.276,,,,,2012-13,8,21,.276,,,,,,46,44,.511,,,,
Brad Huse,Montana State,Big Sky,,13,17,.433,,,,,2006-07,93,117,.443,,,,,,93,117,.443,,,,
George Ivory,Arkansas-Pine Bluff,SWAC,,16,14,.533,,,,,2008-09,65,94,.409,1,,,,,65,94,.409,1,,,
Tom Izzo,Michigan State,Big Ten,,27,9,.750,14,9,Lost Regional Semifinal,,1995-96,439,178,.712,16,11,6,1,,439,178,.712,16,11,6,1
Greg Jackson,Delaware State,MEAC,,15,18,.455,,,,,2000-01,196,201,.494,1,,,,,196,201,.494,1,,,
Jeff Jackson,Furman,Southern,,7,24,.226,,,,,2006-07,85,131,.394,,,,,,106,191,.357,,,,
Lewis Jackson,Alabama State,SWAC,,10,22,.312,,,,,2005-06,119,133,.472,2,,,,,119,133,.472,2,,,
Ben Jacobson,Northern Iowa,MVC,,21,15,.583,,,,,2006-07,150,86,.636,2,1,,,,150,86,.636,2,1,,
Jason James,UT-Martin,OVC,,9,21,.300,,,,,2009-10,29,94,.236,,,,,,29,94,.236,,,,
Mike Jarvis,Florida Atlantic,Sun Belt,,14,18,.438,,,,,2008-09,66,90,.423,,,,,,429,292,.595,9,2,,
Tony Jasick,Purdue Fort Wayne,Summit,,16,17,.485,,,,,2011-12,27,36,.429,,,,,,27,36,.429,,,,
Rob Jeter,Milwaukee,Horizon,,8,24,.250,,,,,2005-06,129,127,.504,1,,,,,129,127,.504,1,,,
Clemon Johnson *,Florida A&M,MEAC,,8,23,.258,,,,,2011-12,18,46,.281,,,,,,18,46,.281,,,,
James Johnson,Virginia Tech,ACC,,13,19,.406,,,,,2012-13,13,19,.406,,,,,,13,19,.406,,,,
Sydney Johnson,Fairfield,MAAC,,19,16,.543,,,,,2011-12,41,31,.569,,,,,,107,84,.560,1,,,
Trent Johnson,TCU,Big 12,,11,21,.344,,,,,2012-13,11,21,.344,,,,,,237,207,.534,5,2,,
Brian Jones,North Dakota,Big Sky,,16,17,.485,,,,,2009-10,60,70,.462,,,,,,60,70,.462,,,,
Donnie Jones *,UCF,CUSA,,20,11,.645,,,,,2010-11,63,34,.649,,,,,,118,75,.611,,,,
James Jones,Yale,Ivy,,14,17,.452,,,,,1999-00,190,208,.477,,,,,,190,208,.477,,,,
Jeff Jones,American,Patriot,,10,20,.333,,,,,2000-01,211,183,.536,2,,,,,357,287,.554,7,2,,
Joe Jones,Boston University,AEC,,17,13,.567,,,,,2011-12,33,29,.532,,,,,,119,137,.465,,,,
Johnny Jones,LSU,SEC,,19,12,.613,,,,,2012-13,19,12,.613,,,,,,224,174,.563,2,,,
Mike Jones,Radford,Big South,,13,19,.406,,,,,2011-12,19,45,.297,,,,,,19,45,.297,,,,
Edward Joyner Jr,Hampton,MEAC,,14,17,.452,,,,,2009-10,64,65,.496,1,,,,,64,65,.496,1,,,
Greg Kampe,Oakland,Summit,,16,17,.485,,,,,1999-00,242,204,.543,3,,,,,242,204,.543,3,,,
Danny Kaspar,Stephen F. Austin,Southland,,27,5,.844,,,,,2000-01,246,141,.636,1,,,,,246,141,.636,1,,,
Brian Katz,Sacramento State,Big Sky,,14,15,.483,,,,,2008-09,42,102,.292,,,,,,42,102,.292,,,,
Kerry Keating,Santa Clara,WCC,,26,12,.684,,,,,2007-08,100,102,.495,,,,,,100,102,.495,,,,
Derek Kellogg,UMass,A-10,,21,12,.636,,,,,2008-09,85,77,.525,,,,,,85,77,.525,,,,
Pat Kelsey,Winthrop,Big South,,14,17,.452,,,,,2012-13,14,17,.452,,,,,,14,17,.452,,,,
Andy Kennedy,Ole Miss,SEC,,27,9,.750,,,Lost Third Round,,2006-07,152,87,.636,1,,,,,173,100,.634,1,,,
Billy Kennedy,Texas A&M,SEC,,18,15,.545,,,,,2011-12,32,33,.492,,,,,,243,212,.534,2,,,
Pat Knight,Lamar,Southland,,3,28,.097,,,,,2011-12,26,40,.394,1,,,,,76,101,.429,1,,,
Tod Kowalczyk,Toledo,MAC,,15,13,.536,,,,,2010-11,38,58,.396,,,,,,174,170,.506,,,,
Rob Krimmel,Saint Francis (PA),NEC,,5,24,.172,,,,,2012-13,5,24,.172,,,,,,5,24,.172,,,,
Lon Kruger,Oklahoma,Big 12,,20,12,.625,,,Lost Second Round,,2011-12,35,28,.556,1,,,,,514,332,.608,14,3,1,
Larry Krystkowiak,Utah,Pac-12,,15,18,.455,,,,,2011-12,21,43,.328,,,,,,63,63,.500,2,,,
Mike Krzyzewski,Duke,ACC,,30,6,.833,8,6,Lost Regional Final,,1980-81,884,238,.788,29,21,11,4,,957,297,.763,29,21,11,4
Robbie Laing,Campbell,Big South,,13,20,.394,,,,,2003-04,114,185,.381,,,,,,114,185,.381,,,,
Matt Langel,Colgate,Patriot,,11,21,.344,,,,,2011-12,19,43,.306,,,,,,19,43,.306,,,,
Greg Lansing,Indiana State,MVC,,18,15,.545,,,,,2010-11,56,44,.560,1,,,,,56,44,.560,1,,,
Jim Larranaga,Miami (FL),ACC,,29,7,.806,,5,Lost Regional Semifinal,,2011-12,49,20,.710,1,1,,,,491,329,.599,6,2,1,
Steve Lavin,St. John's (NY),Big East,,17,16,.515,,,,,2010-11,51,47,.520,1,,,,,196,125,.611,7,5,,
Dale Layer,Liberty,Big South,,15,21,.417,,,Lost First Round,,2009-10,63,68,.481,1,,,,,166,174,.488,2,,,
Jeff Lebo,East Carolina,CUSA,,23,12,.657,,,,,2010-11,56,44,.560,,,,,,267,200,.572,,,,
Jim Les,UC-Davis,Big West,,14,17,.452,,,,,2011-12,19,43,.306,,,,,,173,183,.486,1,1,,
Mike Lonergan,George Washington,A-10,,13,17,.433,,,,,2011-12,23,38,.377,,,,,,149,106,.584,1,,,
Dave Loos,Austin Peay,OVC,,8,23,.258,,,,,1990-91,371,333,.527,3,,,,,371,333,.527,3,,,
Paul Lusk,Missouri State,MVC,,11,22,.333,,,,,2011-12,27,38,.415,,,,,,27,38,.415,,,,
Chris Mack,Xavier,A-10,,17,14,.548,,,,,2009-10,90,44,.672,3,2,,,,90,44,.672,3,2,,
Don Maestri,Troy,Sun Belt,,12,21,.364,,,,,1993-94,291,296,.496,1,,,,,291,296,.496,1,,,
Alan Major,Charlotte,A-10,,21,12,.636,,,,,2010-11,44,49,.473,,,,,,44,49,.473,,,,
Danny Manning,Tulsa,CUSA,,17,16,.515,,,,,2012-13,17,16,.515,,,,,,17,16,.515,,,,
Ryan Marks,Texas-Rio Grande Valley,GWC,,16,16,.500,,,,,2009-10,39,89,.305,,,,,,39,89,.305,,,,
Bob Marlin,Louisiana,Sun Belt,,13,20,.394,,,,,2010-11,43,51,.457,,,,,,268,182,.596,2,,,
Gregg Marshall,Wichita State,MVC,,30,9,.769,,,Lost National Semifinal,,2007-08,139,70,.665,2,1,1,,,333,153,.685,9,1,1,
Phil Martelli,St. Joseph's,A-10,,18,14,.562,,,,,1995-96,338,237,.588,5,2,,,,338,237,.588,5,2,,
Chuck Martin,Marist,MAAC,,10,21,.323,,,,,2008-09,41,118,.258,,,,,,41,118,.258,,,,
Cuonzo Martin,Tennessee,SEC,,20,13,.606,,,,,2011-12,39,28,.582,,,,,,100,69,.592,,,,
Frank Martin,South Carolina,SEC,,14,18,.438,,,,,2012-13,14,18,.438,,,,,,131,72,.645,4,1,,
Mike Martin,Brown,Ivy,,13,15,.464,,,,,2012-13,13,15,.464,,,,,,13,15,.464,,,,
Steve Masiello,Manhattan,MAAC,,14,18,.438,,,,,2011-12,35,31,.530,,,,,,35,31,.530,,,,
Bashir Mason,Wagner,NEC,,19,12,.613,,,,,2012-13,19,12,.613,,,,,,19,12,.613,,,,
Matt Matheny,Elon,Southern,,21,12,.636,,,,,2009-10,59,68,.465,,,,,,59,68,.465,,,,
Thad Matta,Ohio State,Big Ten,,29,8,.784,4,7,Lost Regional Final,,2004-05,250,73,.774,7,5,2,,,352,104,.772,11,6,2,
Fran McCaffery,Iowa,Big Ten,,25,13,.658,,,,,2010-11,54,50,.519,,,,,,305,227,.573,5,,,
Ray McCallum,Detroit Mercy,Horizon,,20,13,.606,,,,,2008-09,86,80,.518,1,,,,,256,229,.528,3,,,
Mike McConathy,Northwestern State,Southland,,23,9,.719,,,Lost Second Round,,1999-00,223,213,.511,3,,,,,223,213,.511,3,,,
Greg McDermott,Creighton,MVC,,28,8,.778,16,22,Lost Third Round,,2010-11,80,30,.727,2,,,,,229,161,.587,5,,,
Bob McKillop,Davidson,Southern,,26,8,.765,,,Lost Second Round,,1989-90,452,279,.618,7,1,,,,452,279,.618,7,1,,
Marvin Menzies,New Mexico State,WAC,,24,11,.686,,,Lost Second Round,,2007-08,126,79,.615,3,,,,,126,79,.615,3,,,
