,,,,2005-06 Season,2005-06 Season,2005-06 Season,2005-06 Season,2005-06 Season,2005-06 Season,,Career at Current School,Career at Current School,Career at Current School,Career at Current School,Career at Current School,Career at Current School,Career at Current School,Career at Current School,,Career Overall,Career Overall,Career Overall,Career Overall,Career Overall,Career Overall,Career Overall
Coach,School,Conference,,W,L,W-L%,AP Pre,AP Post,NCAA Tournament,,Since,W,L,W-L%,NCAA,S16,FF,Chmp,,W,L,W-L%,NCAA,S16,FF,Chmp
Mike Adras,Northern Arizona,Big Sky,,21,11,.656,,,,,1999-00,111,94,.541,1,,,,,111,94,.541,1,,,
Cy Alexander,Tennessee State,OVC,,13,15,.464,,,,,2003-04,34,53,.391,,,,,,310,253,.551,5,,,
Steve Alford,Iowa,Big Ten,,25,9,.735,20,15,Lost First Round,,1999-00,135,92,.595,3,,,,,213,140,.603,4,1,,
Dana Altman,Creighton,MVC,,20,10,.667,,,,,1994-95,238,130,.647,6,,,,,321,197,.620,7,,,
Tommy Amaker,Michigan,Big Ten,,22,11,.667,,,,,2001-02,86,71,.548,,,,,,154,126,.550,1,1,,
Mike Anderson Sr,UAB,CUSA,,24,7,.774,,25,Lost First Round,,2002-03,89,41,.685,3,1,,,,89,41,.685,3,1,,
Tevester Anderson,Jackson State,SWAC,,15,17,.469,,,,,2003-04,42,51,.452,,,,,,145,103,.585,2,,,
Ronnie Arrow,Texas A&M-Corpus Christi,Ind,,20,8,.714,,,,,2002-03,69,42,.622,,,,,,183,135,.575,2,,,
Rick Barnes,Texas,Big 12,,30,7,.811,2,9,Lost Regional Final,,1998-99,191,76,.715,8,4,1,,,393,210,.652,14,5,1,
Rod Barnes,Ole Miss,SEC,,14,16,.467,,,,,1998-99,141,109,.564,3,1,,,,141,109,.564,3,1,,
Jim Baron,Rhode Island,A-10,,14,14,.500,,,,,2001-02,67,82,.450,,,,,,273,284,.490,2,,,
Murry Bartow,ETSU,A-Sun,,15,13,.536,,,,,2003-04,52,38,.578,1,,,,,155,121,.562,2,,,
Duggar Baucom,VMI,Big South,,7,20,.259,,,,,2005-06,7,20,.259,,,,,,7,20,.259,,,,
Butch Beard,Morgan State,MEAC,,4,26,.133,,,,,2001-02,39,105,.271,,,,,,84,174,.326,1,,,
John Beilein,West Virginia,Big East,,22,11,.667,14,22,Lost Regional Semifinal,,2002-03,77,51,.602,2,2,,,,266,166,.616,4,2,,
Dick Bennett,Washington State,Pac-10,,11,17,.393,,,,,2003-04,36,49,.424,,,,,,316,227,.582,7,1,1,
Randy Bennett,Saint Mary's,WCC,,17,12,.586,,,,,2001-02,85,68,.556,1,,,,,85,68,.556,1,,,
