,,,,2006-07 Season,2006-07 Season,2006-07 Season,2006-07 Season,2006-07 Season,2006-07 Season,,Career at Current School,Career at Current School,Career at Current School,Career at Current School,Career at Current School,Career at Current School,Career at Current School,Career at Current School,,Career Overall,Career Overall,Career Overall,Career Overall,Career Overall,Career Overall,Career Overall
Coach,School,Conference,,W,L,W-L%,AP Pre,AP Post,NCAA Tournament,,Since,W,L,W-L%,NCAA,S16,FF,Chmp,,W,L,W-L%,NCAA,S16,FF,Chmp
Jim Christian,Kent State,MAC,,21,11,.656,,,,,2002-03,109,52,.677,1,,,,,109,52,.677,1,,,
Steve Cleveland,Fresno State,WAC,,22,10,.688,,,,,2005-06,37,23,.617,,,,,,175,131,.572,3,,,
Bill Coen,Northeastern,CAA,,13,19,.406,,,,,2006-07,13,19,.406,,,,,,13,19,.406,,,,
Charlie Coles,Miami (OH),MAC,,18,15,.545,,,Lost First Round,,1996-97,193,141,.578,3,1,,,,284,226,.557,4,1,,
Bobby Collins,Winston-Salem,Ind,,5,24,.172,,,,,2006-07,5,24,.172,,,,,,70,81,.464,1,,,
Jimmy Collins,UIC,Horizon,,14,18,.438,,,,,1996-97,176,156,.530,3,,,,,176,156,.530,3,,,
Ed Conroy,The Citadel,Southern,,7,23,.233,,,,,2006-07,7,23,.233,,,,,,7,23,.233,,,,
Ed Cooley,Fairfield,MAAC,,13,19,.406,,,,,2006-07,13,19,.406,,,,,,13,19,.406,,,,
Ronnie Courtney,Texas Southern,SWAC,,14,17,.452,,,,,2001-02,76,99,.434,1,,,,,76,99,.434,1,,,
Tom Crean,Marquette,Big East,,24,10,.706,16,20,Lost First Round,,1999-00,165,86,.657,4,1,1,,,165,86,.657,4,1,1,
Bobby Cremins,College of Charleston,Southern,,22,11,.667,,,,,2006-07,22,11,.667,,,,,,476,318,.599,11,5,1,
Jim Crews,Army,Patriot,,15,16,.484,,,,,2002-03,34,105,.245,,,,,,328,314,.511,4,,,
Mick Cronin,Cincinnati,Big East,,11,19,.367,,,,,2006-07,11,19,.367,,,,,,80,43,.650,2,,,
Scott Cross,UT Arlington,Southland,,13,17,.433,,,,,2006-07,13,17,.433,,,,,,13,17,.433,,,,
Dan Dakich,Bowling Green State,MAC,,13,18,.419,,,,,1997-98,156,140,.527,,,,,,156,140,.527,,,,
Keith Dambrot,Akron,MAC,,26,7,.788,,,,,2004-05,68,27,.716,,,,,,88,61,.591,,,,
Doug Davalos,Texas State,Southland,,9,20,.310,,,,,2006-07,9,20,.310,,,,,,9,20,.310,,,,
Dick Davey,Santa Clara,WCC,,21,10,.677,,,,,1992-93,251,190,.569,3,,,,,251,190,.569,3,,,
Emmett Davis,Colgate,Patriot,,10,19,.345,,,,,1998-99,118,138,.461,,,,,,118,138,.461,,,,
Kermit Davis Jr,Middle Tennessee,Sun Belt,,15,17,.469,,,,,2002-03,83,67,.553,,,,,,154,117,.568,2,,,
Mike Davis,UAB,CUSA,,15,16,.484,,,,,2006-07,15,16,.484,,,,,,130,95,.578,4,1,1,
Tom Davis,Drake,MVC,,17,15,.531,,,,,2003-04,54,66,.450,,,,,,597,356,.626,11,5,,
Ed DeChellis,Penn State,Big Ten,,11,19,.367,,,,,2003-04,42,76,.356,,,,,,147,169,.465,1,,,
Joe DeSantis,Quinnipiac,NEC,,14,15,.483,,,,,1998-99,109,145,.429,,,,,,109,145,.429,,,,
Mike Deane,Wagner,NEC,,11,19,.367,,,,,2003-04,50,66,.431,,,,,,368,260,.586,4,,,
Mike Dement,UNC Greensboro,Southern,,16,14,.533,,,,,1991-92,83,89,.483,,,,,,290,279,.510,1,,,
Tommy Dempsey,Rider,MAAC,,16,15,.516,,,,,2005-06,24,35,.407,,,,,,24,35,.407,,,,
Howie Dickenman,Central Connecticut,NEC,,22,12,.647,,,Lost First Round,,1996-97,178,145,.551,3,,,,,178,145,.551,3,,,
Dave Dickerson,Tulane,CUSA,,17,13,.567,,,,,2005-06,29,30,.492,,,,,,29,30,.492,,,,
Jamie Dixon,Pitt,Big East,,29,8,.784,4,12,Lost Regional Semifinal,,2003-04,105,30,.778,4,2,,,,105,30,.778,4,2,,
Matt Doherty,SMU,CUSA,,14,17,.452,,,,,2006-07,14,17,.452,,,,,,104,88,.542,1,,,
Steve Donahue,Cornell,Ivy,,16,12,.571,,,,,2000-01,74,117,.387,,,,,,74,117,.387,,,,
Billy Donovan,Florida,SEC,,35,5,.875,1,3,Won National Final,,1996-97,261,103,.717,9,4,3,2,,296,123,.706,9,4,3,2
Neil Dougherty,TCU,MWC,,13,17,.433,,,,,2002-03,61,92,.399,,,,,,61,92,.399,,,,
Pat Douglass,UC-Irvine,Big West,,15,18,.455,,,,,1997-98,153,138,.526,,,,,,153,138,.526,,,,
Homer Drew,Valparaiso,Mid-Cont,,16,15,.516,,,,,1988-89,301,241,.555,7,1,,,,301,241,.555,7,1,,
Scott Drew,Baylor,Big 12,,15,16,.484,,,,,2003-04,36,69,.343,,,,,,56,80,.412,,,,
Terry Dunn,Dartmouth,Ivy,,9,18,.333,,,,,2004-05,25,56,.309,,,,,,25,56,.309,,,,
