,,,,2013-14 Season,2013-14 Season,2013-14 Season,2013-14 Season,2013-14 Season,2013-14 Season,,Career at Current School,Career at Current School,Career at Current School,Career at Current School,Career at Current School,Career at Current School,Career at Current School,Career at Current School,,Career Overall,Career Overall,Career Overall,Career Overall,Career Overall,Career Overall,Career Overall
Coach,School,Conference,,W,L,W-L%,AP Pre,AP Post,NCAA Tournament,,Since,W,L,W-L%,NCAA,S16,FF,Chmp,,W,L,W-L%,NCAA,S16,FF,Chmp
Casey Alexander,Lipscomb,A-Sun,,15,15,.500,,,,,2013-14,15,15,.500,,,,,,39,51,.433,,,,
Cy Alexander,North Carolina A&T,MEAC,,9,23,.281,,,,,2012-13,29,40,.420,1,,,,,372,346,.518,6,,,
Steve Alford,UCLA,Pac-12,,28,9,.757,22,20,Lost Regional Semifinal,,2013-14,28,9,.757,1,1,,,,413,215,.658,8,2,,
Frankie Allen,Maryland-Eastern Shore,MEAC,,6,24,.200,,,,,2008-09,42,139,.232,,,,,,265,433,.380,2,,,
Jerome Allen,Penn,Ivy,,8,20,.286,,,,,2009-10,56,85,.397,,,,,,56,85,.397,,,,
Dana Altman,Oregon,Pac-12,,24,10,.706,19,,Lost Third Round,,2010-11,97,47,.674,2,1,,,,507,290,.636,10,1,,
Tommy Amaker,Harvard,Ivy,,27,5,.844,,,Lost Third Round,,2007-08,139,71,.662,3,,,,,315,210,.600,4,1,,
Mike Anderson Sr,Arkansas,SEC,,22,12,.647,,,,,2011-12,59,39,.602,,,,,,259,137,.654,6,2,,
Gib Arnold *,Hawaii,Big West,,20,11,.645,,,,,2010-11,72,55,.567,,,,,,72,55,.567,,,,
Kevin Baggett,Rider,MAAC,,14,17,.452,,,,,2012-13,33,32,.508,,,,,,33,32,.508,,,,
Roman Banks,Southern,SWAC,,19,13,.594,,,,,2011-12,59,37,.615,1,,,,,59,37,.615,1,,,
Tony Barbee,Auburn,SEC,,14,16,.467,,,,,2010-11,49,75,.395,,,,,,131,127,.508,1,,,
Rick Barnes,Texas,Big 12,,24,11,.686,,,Lost Third Round,,1998-99,382,166,.697,15,5,1,,,584,300,.661,21,6,1,
Rod Barnes,Cal State Bakersfield,WAC,,13,19,.406,,,,,2011-12,43,50,.462,,,,,,229,239,.489,3,1,,
Jim Baron,Canisius,MAAC,,21,13,.618,,,,,2012-13,41,27,.603,,,,,,430,396,.521,2,,,
Murry Bartow,ETSU,A-Sun,,19,16,.543,,,,,2003-04,208,151,.579,3,,,,,311,234,.571,4,,,
Duggar Baucom,VMI,Big South,,22,13,.629,,,,,2005-06,140,140,.500,,,,,,140,140,.500,,,,
John Becker,Vermont,AEC,,22,11,.667,,,,,2011-12,67,35,.657,1,,,,,67,35,.657,1,,,
