,,,,2013-14 Season,2013-14 Season,2013-14 Season,2013-14 Season,2013-14 Season,2013-14 Season,,Career at Current School,Career at Current School,Career at Current School,Career at Current School,Career at Current School,Career at Current School,Career at Current School,Career at Current School,,Career Overall,Career Overall,Career Overall,Career Overall,Career Overall,Career Overall,Career Overall
John Beilein,Michigan,Big Ten,,28,9,.757,7,7,Lost Regional Final,,2007-08,150,94,.615,5,2,1,,,443,269,.622,9,4,1,
Tony Benford,North Texas,CUSA,,16,16,.500,,,,,2012-13,28,36,.438,,,,,,28,36,.438,,,,
Randy Bennett,Saint Mary's,WCC,,20,10,.667,,,,,2001-02,283,135,.677,5,1,,,,283,135,.677,5,1,,
Tony Bennett,Virginia,ACC,,30,7,.811,24,3,Lost Regional Semifinal,,2009-10,106,60,.639,2,1,,,,175,93,.653,4,2,,
Dave Bezold,Northern Kentucky,A-Sun,,9,21,.300,,,,,2012-13,20,37,.351,,,,,,20,37,.351,,,,
Jim Boeheim *,Syracuse,ACC,,28,6,.824,8,14,Lost Third Round,,1976-77,948,320,.748,31,17,4,1,,948,320,.748,31,17,4,1
Ken Bone,Washington State,Pac-12,,10,21,.323,,,,,2009-10,80,86,.482,,,,,,157,135,.538,2,,,
Jeff Bower,Marist,MAAC,,12,19,.387,,,,,2013-14,12,19,.387,,,,,,12,19,.387,,,,
Tad Boyle,Colorado,Pac-12,,23,12,.657,,,Lost Second Round,,2010-11,92,50,.648,3,,,,,148,116,.561,3,,,
Todd Bozeman *,Morgan State,MEAC,,15,16,.484,,,,,2006-07,143,116,.552,2,,,,,206,151,.577,5,1,,
John Brady,Arkansas State,Sun Belt,,19,13,.594,,,,,2008-09,99,91,.521,,,,,,380,307,.553,4,2,1,
Matt Brady,James Madison,CAA,,11,20,.355,,,,,2008-09,99,102,.493,1,,,,,172,152,.531,1,,,
Glenn Braica,St. Francis (NY),NEC,,18,14,.562,,,,,2010-11,60,62,.492,,,,,,60,62,.492,,,,
Ben Braun,Rice,CUSA,,7,23,.233,,,,,2008-09,63,128,.330,,,,,,466,415,.529,8,2,,
Mike Brennan,American,Patriot,,20,13,.606,,,Lost Second Round,,2013-14,20,13,.606,1,,,,,20,13,.606,1,,,
Wayne Brent,Jackson State,SWAC,,11,20,.355,,,,,2013-14,11,20,.355,,,,,,11,20,.355,,,,
Mike Brey,Notre Dame,ACC,,15,17,.469,21,,,,2000-01,300,159,.654,9,1,,,,399,211,.654,11,1,,
Horace Broadnax *,Savannah State,MEAC,,13,19,.406,,,,,2005-06,118,157,.429,,,,,,160,245,.395,,,,
Larry Brown *,SMU,AAC,,27,10,.730,,,,,2012-13,42,27,.609,,,,,,219,88,.713,7,4,3,1
Milan Brown,Holy Cross,Patriot,,20,14,.588,,,,,2010-11,55,67,.451,,,,,,150,187,.445,1,,,
Will Brown,Albany (NY),AEC,,19,15,.559,,,Lost Second Round,,2001-02,191,206,.481,4,,,,,191,206,.481,4,,,
Brad Brownell,Clemson,ACC,,23,13,.639,,,,,2010-11,74,58,.561,1,,,,,241,143,.628,4,,,
Ken Burmeister,Incarnate Word,Southland,,21,6,.778,,,,,2013-14,21,6,.778,,,,,,133,121,.524,1,,,
Mark Byington,Georgia Southern,Southern,,15,19,.441,,,,,2013-14,15,19,.441,,,,,,15,19,.441,,,,
Rick Byrd,Belmont,OVC,,26,10,.722,,,,,1999-00,299,175,.631,6,,,,,299,175,.631,6,,,
Jeff Bzdelik,Wake Forest,ACC,,17,16,.515,,,,,2010-11,51,76,.402,,,,,,162,181,.472,1,,,
John Calipari *,Kentucky,SEC,,29,11,.725,1,,Lost National Final,,2009-10,152,37,.804,4,4,3,1,,597,177,.771,15,11,5,1
Joe Callero,Cal Poly,Big West,,14,20,.412,,,Lost Second Round,,2009-10,77,83,.481,1,,,,,77,83,.481,1,,,
Jason Capel,Appalachian State,Southern,,9,21,.300,,,,,2010-11,53,70,.431,,,,,,53,70,.431,,,,
David Carter,Nevada,MWC,,15,17,.469,,,,,2009-10,89,75,.543,,,,,,89,75,.543,,,,
Chris Casey,Niagara,MAAC,,7,26,.212,,,,,2013-14,7,26,.212,,,,,,7,26,.212,,,,
Patrick Chambers,Penn State,Big Ten,,16,18,.471,,,,,2011-12,38,59,.392,,,,,,80,87,.479,1,,,
Scott Cherry,High Point,Big South,,16,15,.516,,,,,2009-10,73,81,.474,,,,,,73,81,.474,,,,
Jamion Christian,Mount St. Mary's,NEC,,16,17,.485,,,Lost First Round,,2012-13,34,31,.523,1,,,,,34,31,.523,1,,,
Jim Christian,Ohio,MAC,,25,12,.676,,,,,2012-13,49,22,.690,,,,,,242,154,.611,2,,,
Tim Cluess,Iona,MAAC,,22,11,.667,,,,,2010-11,92,45,.672,2,,,,,92,45,.672,2,,,
Bill Coen,Northeastern,CAA,,11,21,.344,,,,,2006-07,122,133,.478,,,,,,122,133,.478,,,,
Chris Collins,Northwestern,Big Ten,,14,19,.424,,,,,2013-14,14,19,.424,,,,,,14,19,.424,,,,
Ed Conroy,Tulane,CUSA,,17,17,.500,,,,,2010-11,65,65,.500,,,,,,114,141,.447,,,,
Ed Cooley,Providence,Big East,,23,12,.657,,,Lost Second Round,,2011-12,57,44,.564,1,,,,,149,113,.569,1,,,
John Cooper,Miami (OH),MAC,,13,18,.419,,,,,2012-13,22,40,.355,,,,,,65,92,.414,,,,
Paul Cormier,Dartmouth,Ivy,,12,16,.429,,,,,1984-85,118,178,.399,,,,,,204,289,.414,1,,,
Ron Cottrell,Houston Christian,Southland,,6,25,.194,,,,,2008-09,52,134,.280,,,,,,52,134,.280,,,,
Bill Courtney,Cornell,Ivy,,2,26,.071,,,,,2010-11,37,78,.322,,,,,,37,78,.322,,,,
Tim Craft,Gardner-Webb,Big South,,18,15,.545,,,,,2013-14,18,15,.545,,,,,,18,15,.545,,,,
Gravelle Craig,Bethune-Cookman,MEAC,,7,25,.219,,,,,2011-12,39,62,.386,,,,,,39,62,.386,,,,
Tom Crean,Indiana,Big Ten,,17,15,.531,,,,,2008-09,101,97,.510,2,2,,,,291,193,.601,7,3,1,
Jim Crews,Saint Louis,A-10,,27,7,.794,,25,Lost Third Round,,2012-13,55,14,.797,2,,,,,408,363,.529,6,,,
Mick Cronin,Cincinnati,AAC,,27,7,.794,,15,Lost Second Round,,2006-07,162,107,.602,4,1,,,,231,131,.638,6,1,,
Scott Cross,UT Arlington,Sun Belt,,15,17,.469,,,,,2006-07,137,113,.548,1,,,,,137,113,.548,1,,,
Phil Cunningham,Troy,Sun Belt,,11,20,.355,,,,,2013-14,11,20,.355,,,,,,11,20,.355,,,,
Dennis Cutts,UC-Riverside,Big West,,10,21,.323,,,,,2013-14,10,21,.323,,,,,,10,21,.323,,,,
Keith Dambrot,Akron,MAC,,21,13,.618,,,,,2004-05,231,107,.683,3,,,,,251,141,.640,3,,,
Keno Davis,Central Michigan,MAC,,10,21,.323,,,,,2012-13,21,41,.339,,,,,,95,96,.497,1,,,
Kermit Davis Jr,Middle Tennessee,CUSA,,24,9,.727,,,,,2002-03,232,148,.611,1,,,,,303,198,.605,3,,,
Mike Davis,Texas Southern,SWAC,,19,15,.559,,,Lost First Round,,2012-13,36,29,.554,1,,,,,273,181,.601,6,1,1,
Johnny Dawkins Jr,Stanford,Pac-12,,23,13,.639,,,Lost Regional Semifinal,,2008-09,117,87,.574,1,1,,,,117,87,.574,1,1,,
Ed DeChellis,Navy,Patriot,,9,21,.300,,,,,2011-12,20,70,.222,,,,,,239,301,.443,2,,,
Tommy Dempsey,Binghamton,AEC,,7,23,.233,,,,,2012-13,10,50,.167,,,,,,129,155,.454,,,,
Howie Dickenman,Central Connecticut,NEC,,11,19,.367,,,,,1996-97,273,260,.512,3,,,,,273,260,.512,3,,,
James Dickey,Houston,AAC,,17,16,.515,,,,,2010-11,64,62,.508,,,,,,230,186,.553,2,1,,
Tracy Dildy,Chicago State,WAC,,13,19,.406,,,,,2010-11,34,93,.268,,,,,,34,93,.268,,,,
Jamie Dixon,Pitt,ACC,,26,10,.722,,,Lost Third Round,,2003-04,288,96,.750,10,3,,,,288,96,.750,10,3,,
Cameron Dollar,Seattle,WAC,,13,17,.433,,,,,2009-10,61,88,.409,,,,,,61,88,.409,,,,
Steve Donahue,Boston College,ACC,,8,24,.250,,,,,2010-11,54,76,.415,,,,,,200,214,.483,3,1,,
Billy Donlon,Wright State,Horizon,,21,15,.583,,,,,2010-11,76,61,.555,,,,,,76,61,.555,,,,
Billy Donovan,Florida,SEC,,36,3,.923,10,1,Lost National Semifinal,,1996-97,451,169,.727,14,8,4,2,,486,189,.720,14,8,4,2
Joe Dooley,Florida Gulf Coast,A-Sun,,22,13,.629,,,,,2013-14,22,13,.629,,,,,,79,65,.549,,,,
Bryce Drew,Valparaiso,Horizon,,18,16,.529,,,,,2011-12,66,36,.647,1,,,,,66,36,.647,1,,,
Scott Drew,Baylor,Big 12,,26,12,.684,25,23,Lost Regional Semifinal,,2003-04,206,150,.579,4,3,,,,226,161,.584,4,3,,
Chuck Driesell,The Citadel,Southern,,7,26,.212,,,,,2010-11,31,94,.248,,,,,,31,94,.248,,,,
Matthew Driscoll,North Florida,A-Sun,,16,16,.500,,,,,2009-10,73,88,.453,,,,,,73,88,.453,,,,
John Dunne,St. Peter's,MAAC,,14,17,.452,,,,,2006-07,86,160,.350,1,,,,,86,160,.350,1,,,
Fran Dunphy,Temple,AAC,,9,22,.290,,,,,2006-07,167,97,.633,6,,,,,477,260,.647,15,,,
Pat Duquette,UMass-Lowell,AEC,,10,18,.357,,,,,2013-14,10,18,.357,,,,,,10,18,.357,,,,
Cliff Ellis,Coastal Carolina,Big South,,21,13,.618,,,Lost Second Round,,2007-08,134,88,.604,1,,,,,670,426,.611,9,3,,
Andy Enfield,USC,Pac-12,,11,21,.344,,,,,2013-14,11,21,.344,,,,,,52,49,.515,1,1,,
Jim Engles,NJIT,Ind,,13,16,.448,,,,,2008-09,70,112,.385,,,,,,70,112,.385,,,,
Larry Eustachy,Colorado State,MWC,,16,16,.500,,,,,2012-13,42,25,.627,1,,,,,444,283,.611,5,1,,
Anthony Evans,Florida International,CUSA,,15,16,.484,,,,,2013-14,15,16,.484,,,,,,114,110,.509,1,,,
Bill Evans,Idaho State,Big Sky,,11,18,.379,,,,,2012-13,17,42,.288,,,,,,225,265,.459,1,,,
Jim Ferry,Duquesne,A-10,,13,17,.433,,,,,2012-13,21,39,.350,,,,,,171,188,.476,2,,,
Mark Few,Gonzaga,WCC,,29,7,.806,15,,Lost Third Round,,1999-00,403,100,.801,15,4,,,,403,100,.801,15,4,,
Clarence Finley,Central Arkansas,Southland,,8,21,.276,,,,,2013-14,8,21,.276,,,,,,8,21,.276,,,,
Steve Fisher *,San Diego State,MWC,,31,5,.861,,13,Lost Regional Semifinal,,1999-00,312,176,.639,7,2,,,,496,258,.658,14,6,3,1
Bruiser Flint,Drexel,CAA,,16,14,.533,,,,,2001-02,228,173,.569,,,,,,314,245,.562,2,,,
Tim Floyd *,UTEP,CUSA,,23,11,.676,,,,,2010-11,81,52,.609,,,,,,408,233,.637,8,2,,
Geno Ford,Bradley,MVC,,12,20,.375,,,,,2011-12,37,62,.374,,,,,,105,99,.515,,,,
Travis Ford,Oklahoma State,Big 12,,21,13,.618,9,,Lost Second Round,,2008-09,125,77,.619,4,,,,,248,192,.564,5,,,
Lennox Forrester,SIU-Edwardsville,OVC,,11,20,.355,,,,,2008-09,53,119,.308,,,,,,53,119,.308,,,,
Mark Fox,Georgia,SEC,,20,14,.588,,,,,2009-10,85,77,.525,1,,,,,208,120,.634,4,,,
John Gallagher,Hartford,AEC,,17,16,.515,,,,,2010-11,54,72,.429,,,,,,54,72,.429,,,,
Eran Ganot,Saint Mary's,WCC,,3,2,.600,,,,,2013-14,3,2,.600,,,,,,3,2,.600,,,,
Murray Garvin,South Carolina State,MEAC,,9,21,.300,,,,,2012-13,11,28,.282,,,,,,11,28,.282,,,,
Jayson Gee,Longwood,Big South,,8,24,.250,,,,,2013-14,8,24,.250,,,,,,8,24,.250,,,,
Tyler Geving,Portland State,Big Sky,,17,15,.531,,,,,2009-10,69,85,.448,,,,,,69,85,.448,,,,
Ray Giacoletti,Drake,MVC,,15,16,.484,,,,,2013-14,15,16,.484,,,,,,138,106,.566,2,1,,
John Giannini,La Salle,A-10,,15,16,.484,,,,,2004-05,158,154,.506,1,1,,,,283,265,.516,1,1,,
Joe Golding,Abilene Christian,Southland,,11,20,.355,,,,,2013-14,11,20,.355,,,,,,11,20,.355,,,,
Max Good,Loyola Marymount,WCC,,13,19,.406,,,,,2008-09,77,117,.397,,,,,,186,255,.422,,,,
Mark Gottfried,NC State,ACC,,22,14,.611,,,Lost Second Round,,2011-12,70,38,.648,3,1,,,,348,193,.643,10,2,,
Anthony Grant,Alabama,SEC,,13,19,.406,,,,,2009-10,99,71,.582,1,,,,,175,96,.646,3,,,
Matthew Graves,South Alabama,Sun Belt,,11,20,.355,,,,,2013-14,11,20,.355,,,,,,11,20,.355,,,,
James Green,Jacksonville State,OVC,,10,21,.323,,,,,2008-09,69,111,.383,,,,,,236,273,.464,1,,,
Brian Gregory,Georgia Tech,ACC,,16,17,.485,,,,,2011-12,43,52,.453,,,,,,215,146,.596,2,,,
Bill Grier,San Diego,WCC,,18,17,.514,,,,,2007-08,102,128,.443,1,,,,,102,128,.443,1,,,
John Groce,Illinois,Big Ten,,20,15,.571,,,,,2012-13,43,28,.606,1,,,,,128,84,.604,3,1,,
Jerod Haase,UAB,CUSA,,18,13,.581,,,,,2012-13,34,30,.531,,,,,,34,30,.531,,,,
Frank Haith *,Missouri,SEC,,23,12,.657,,,,,2011-12,76,28,.731,2,,,,,205,129,.614,3,,,
Leonard Hamilton *,Florida State,ACC,,22,14,.611,,,,,2002-03,241,157,.606,4,1,,,,441,367,.546,7,2,,
Derrin Hansen,Omaha,Summit,,17,15,.531,,,,,2012-13,28,35,.444,,,,,,28,35,.444,,,,
Ray Harper,Western Kentucky,Sun Belt,,20,12,.625,,,,,2011-12,51,36,.586,2,,,,,51,36,.586,2,,,
Steve Hawkins,Western Michigan,MAC,,23,10,.697,,,Lost Second Round,,2003-04,204,155,.568,2,,,,,204,155,.568,2,,,
Willie Hayes *,Alabama A&M,SWAC,,14,16,.467,,,,,2011-12,32,57,.360,,,,,,32,57,.360,,,,
Jim Hayford,Eastern Washington,Big Sky,,15,16,.484,,,,,2011-12,40,54,.426,,,,,,40,54,.426,,,,
Stan Heath,South Florida,AAC,,12,20,.375,,,,,2007-08,97,130,.427,1,,,,,209,207,.502,4,1,,
Mitch Henderson,Princeton,Ivy,,21,9,.700,,,,,2011-12,58,32,.644,,,,,,58,32,.644,,,,
Greg Herenda,FDU,NEC,,10,21,.323,,,,,2013-14,10,21,.323,,,,,,10,21,.323,,,,
Bill Herrion,New Hampshire,AEC,,6,24,.200,,,,,2005-06,98,168,.368,,,,,,335,337,.499,3,,,
Tom Herrion,Marshall,CUSA,,11,22,.333,,,,,2010-11,67,67,.500,,,,,,147,105,.583,,,,
Paul Hewitt,George Mason,A-10,,11,20,.355,,,,,2011-12,57,45,.559,,,,,,313,234,.572,6,1,1,
B.J. Hill *,Northern Colorado,Big Sky,,18,14,.562,,,,,2010-11,61,62,.496,1,,,,,61,62,.496,1,,,
Barry Hinson,Southern Illinois,MVC,,14,19,.424,,,,,2012-13,28,36,.438,,,,,,233,176,.570,,,,
Dan Hipsher,Texas-Rio Grande Valley,WAC,,9,23,.281,,,,,2013-14,9,23,.281,,,,,,150,187,.445,,,,
Bob Hoffman,Mercer,A-Sun,,27,9,.750,,,Lost Third Round,,2008-09,126,82,.606,1,,,,,194,159,.550,1,,,
Fred Hoiberg,Iowa State,Big 12,,28,8,.778,,9,Lost Regional Semifinal,,2010-11,90,47,.657,3,1,,,,90,47,.657,3,1,,
Jason Hooten,Sam Houston,Southland,,24,11,.686,,,,,2010-11,72,60,.545,,,,,,72,60,.545,,,,
Todd Howard,IU Indianapolis,Summit,,6,26,.188,,,,,2011-12,26,70,.271,,,,,,26,70,.271,,,,
Bob Huggins,West Virginia,Big 12,,17,16,.515,,,,,2007-08,150,91,.622,5,2,1,,,668,277,.707,20,6,2,
Dick Hunsaker,Utah Valley,WAC,,20,12,.625,,,,,2004-05,171,129,.570,,,,,,286,175,.620,2,1,,
Larry Hunter,Western Carolina,Southern,,19,15,.559,,,,,2005-06,140,152,.479,,,,,,344,300,.534,1,,,
Ron Hunter,Georgia State,Sun Belt,,25,9,.735,,,,,2011-12,62,37,.626,,,,,,283,216,.567,1,,,
Bobby Hurley,Buffalo,MAC,,19,10,.655,,,,,2013-14,19,10,.655,,,,,,19,10,.655,,,,
Dan Hurley,Rhode Island,A-10,,14,18,.438,,,,,2012-13,22,39,.361,,,,,,60,62,.492,,,,
Brad Huse,Montana State,Big Sky,,14,17,.452,,,,,2006-07,107,134,.444,,,,,,107,134,.444,,,,
George Ivory,Arkansas-Pine Bluff,SWAC,,13,18,.419,,,,,2008-09,78,112,.411,1,,,,,78,112,.411,1,,,
Tom Izzo,Michigan State,Big Ten,,29,9,.763,2,11,Lost Regional Final,,1995-96,468,187,.715,17,12,6,1,,468,187,.715,17,12,6,1
Greg Jackson,Delaware State,MEAC,,4,15,.211,,,,,2000-01,200,216,.481,1,,,,,200,216,.481,1,,,
Lewis Jackson,Alabama State,SWAC,,19,13,.594,,,,,2005-06,138,146,.486,2,,,,,138,146,.486,2,,,
Ben Jacobson,Northern Iowa,MVC,,16,15,.516,,,,,2006-07,166,101,.622,2,1,,,,166,101,.622,2,1,,
Jason James,UT-Martin,OVC,,8,23,.258,,,,,2009-10,37,117,.240,,,,,,37,117,.240,,,,
Joey James,South Dakota,Summit,,12,18,.400,,,,,2013-14,12,18,.400,,,,,,12,18,.400,,,,
Mike Jarvis,Florida Atlantic,CUSA,,10,22,.312,,,,,2008-09,76,112,.404,,,,,,439,314,.583,9,2,,
Tony Jasick,Purdue Fort Wayne,Summit,,25,11,.694,,,,,2011-12,52,47,.525,,,,,,52,47,.525,,,,
Rob Jeter,Milwaukee,Horizon,,21,14,.600,,,Lost Second Round,,2005-06,150,141,.515,2,,,,,150,141,.515,2,,,
Clemon Johnson *,Florida A&M,MEAC,,14,18,.438,,,,,2011-12,32,64,.333,,,,,,32,64,.333,,,,
James Johnson,Virginia Tech,ACC,,9,22,.290,,,,,2012-13,22,41,.349,,,,,,22,41,.349,,,,
Sydney Johnson,Fairfield,MAAC,,7,25,.219,,,,,2011-12,48,56,.462,,,,,,114,109,.511,1,,,
Trent Johnson,TCU,Big 12,,9,22,.290,,,,,2012-13,20,43,.317,,,,,,246,229,.518,5,2,,
Brian Jones,North Dakota,Big Sky,,17,17,.500,,,,,2009-10,77,87,.470,,,,,,77,87,.470,,,,
Donnie Jones *,UCF,AAC,,13,18,.419,,,,,2010-11,76,52,.594,,,,,,131,93,.585,,,,
James Jones,Yale,Ivy,,19,14,.576,,,,,1999-00,209,222,.485,,,,,,209,222,.485,,,,
Jeff Jones,Old Dominion,CUSA,,18,18,.500,,,,,2013-14,18,18,.500,,,,,,375,305,.551,7,2,,
Joe Jones,Boston University,Patriot,,24,11,.686,,,,,2011-12,57,40,.588,,,,,,143,148,.491,,,,
Johnny Jones,LSU,SEC,,20,14,.588,,,,,2012-13,39,26,.600,,,,,,244,188,.565,2,,,
Mike Jones,Radford,Big South,,22,13,.629,,,,,2011-12,41,58,.414,,,,,,41,58,.414,,,,
Robert Jones,Norfolk State,MEAC,,19,15,.559,,,,,2013-14,19,15,.559,,,,,,19,15,.559,,,,
Eddie Jordan,Rutgers,AAC,,12,21,.364,,,,,2013-14,12,21,.364,,,,,,12,21,.364,,,,
Edward Joyner Jr,Hampton,MEAC,,18,13,.581,,,,,2009-10,82,78,.512,1,,,,,82,78,.512,1,,,
Greg Kampe,Oakland,Horizon,,13,20,.394,,,,,1999-00,255,224,.532,3,,,,,255,224,.532,3,,,
Danny Kaspar,Texas State,Sun Belt,,8,23,.258,,,,,2013-14,8,23,.258,,,,,,254,164,.608,1,,,
Brian Katz,Sacramento State,Big Sky,,14,16,.467,,,,,2008-09,56,118,.322,,,,,,56,118,.322,,,,
Kerry Keating,Santa Clara,WCC,,14,19,.424,,,,,2007-08,114,121,.485,,,,,,114,121,.485,,,,
Derek Kellogg,UMass,A-10,,24,9,.727,,,Lost Second Round,,2008-09,109,86,.559,1,,,,,109,86,.559,1,,,
Pat Kelsey,Winthrop,Big South,,20,13,.606,,,,,2012-13,34,30,.531,,,,,,34,30,.531,,,,
Andy Kennedy,Ole Miss,SEC,,19,14,.576,,,,,2006-07,171,101,.629,1,,,,,192,114,.627,1,,,
Billy Kennedy,Texas A&M,SEC,,18,16,.529,,,,,2011-12,50,49,.505,,,,,,261,228,.534,2,,,
Pat Knight,Lamar,Southland,,3,22,.120,,,,,2011-12,29,62,.319,1,,,,,79,123,.391,1,,,
Tod Kowalczyk,Toledo,MAC,,27,7,.794,,,,,2010-11,65,65,.500,,,,,,201,177,.532,,,,
Rob Krimmel,Saint Francis (PA),NEC,,10,21,.323,,,,,2012-13,15,45,.250,,,,,,15,45,.250,,,,
Lon Kruger,Oklahoma,Big 12,,23,10,.697,,21,Lost Second Round,,2011-12,58,38,.604,2,,,,,537,342,.611,15,3,1,
Larry Krystkowiak,Utah,Pac-12,,21,12,.636,,,,,2011-12,42,55,.433,,,,,,84,75,.528,2,,,
Mike Krzyzewski,Duke,ACC,,26,9,.743,4,8,Lost Second Round,,1980-81,910,247,.787,30,21,11,4,,983,306,.763,30,21,11,4
Matt Langel,Colgate,Patriot,,13,18,.419,,,,,2011-12,32,61,.344,,,,,,32,61,.344,,,,
Greg Lansing,Indiana State,MVC,,23,11,.676,,,,,2010-11,79,55,.590,1,,,,,79,55,.590,1,,,
Jim Larranaga,Miami (FL),ACC,,17,16,.515,,,,,2011-12,66,36,.647,1,1,,,,508,345,.596,6,2,1,
Anthony Latina,Sacred Heart,NEC,,5,26,.161,,,,,2013-14,5,26,.161,,,,,,5,26,.161,,,,
Steve Lavin,St. John's (NY),Big East,,20,13,.606,,,,,2010-11,71,60,.542,1,,,,,216,138,.610,7,5,,
Dale Layer,Liberty,Big South,,11,21,.344,,,,,2009-10,74,89,.454,1,,,,,177,195,.476,2,,,
Jeff Lebo,East Carolina,CUSA,,17,17,.500,,,,,2010-11,73,61,.545,,,,,,284,217,.567,,,,
Jim Les,UC-Davis,Big West,,9,22,.290,,,,,2011-12,28,65,.301,,,,,,182,205,.470,1,1,,
Mike Lonergan,George Washington,A-10,,24,9,.727,,,Lost Second Round,,2011-12,47,47,.500,1,,,,,173,115,.601,2,,,
Dave Loos,Austin Peay,OVC,,12,18,.400,,,,,1990-91,383,351,.522,3,,,,,383,351,.522,3,,,
Paul Lusk,Missouri State,MVC,,20,13,.606,,,,,2011-12,47,51,.480,,,,,,47,51,.480,,,,
Chris Mack,Xavier,Big East,,21,13,.618,,,Lost First Round,,2009-10,111,57,.661,4,2,,,,111,57,.661,4,2,,
Dan Majerle,Grand Canyon,WAC,,15,15,.500,,,,,2013-14,15,15,.500,,,,,,15,15,.500,,,,
Alan Major,Charlotte,CUSA,,17,14,.548,,,,,2010-11,61,63,.492,,,,,,61,63,.492,,,,
Danny Manning,Tulsa,CUSA,,21,13,.618,,,Lost Second Round,,2012-13,38,29,.567,1,,,,,38,29,.567,1,,,
Bob Marlin,Louisiana,Sun Belt,,23,12,.657,,,Lost Second Round,,2010-11,66,63,.512,1,,,,,291,194,.600,3,,,
Gregg Marshall,Wichita State,MVC,,35,1,.972,16,2,Lost Third Round,,2007-08,174,71,.710,3,1,1,,,368,154,.705,10,1,1,
Phil Martelli,St. Joseph's,A-10,,24,10,.706,,,Lost Second Round,,1995-96,362,247,.594,6,2,,,,362,247,.594,6,2,,
Cuonzo Martin,Tennessee,SEC,,24,13,.649,,,Lost Regional Semifinal,,2011-12,63,41,.606,1,1,,,,124,82,.602,1,1,,
Frank Martin,South Carolina,SEC,,14,20,.412,,,,,2012-13,28,38,.424,,,,,,145,92,.612,4,1,,
Mike Martin,Brown,Ivy,,15,14,.517,,,,,2012-13,28,29,.491,,,,,,28,29,.491,,,,
Steve Masiello,Manhattan,MAAC,,25,8,.758,,,Lost Second Round,,2011-12,60,39,.606,1,,,,,60,39,.606,1,,,
Bashir Mason,Wagner,NEC,,19,12,.613,,,,,2012-13,38,24,.613,,,,,,38,24,.613,,,,
Matt Matheny,Elon,Southern,,18,14,.562,,,,,2009-10,77,82,.484,,,,,,77,82,.484,,,,
Thad Matta,Ohio State,Big Ten,,25,10,.714,11,22,Lost Second Round,,2004-05,275,83,.768,8,5,2,,,377,114,.768,12,6,2,
Fran McCaffery,Iowa,Big Ten,,20,13,.606,,,Lost First Round,,2010-11,74,63,.540,1,,,,,325,240,.575,6,,,
Ray McCallum,Detroit Mercy,Horizon,,13,19,.406,,,,,2008-09,99,99,.500,1,,,,,269,248,.520,3,,,
Mike McConathy,Northwestern State,Southland,,17,14,.548,,,,,1999-00,240,227,.514,3,,,,,240,227,.514,3,,,
