game_id,game_date,game_time,home_team,away_team,home_team_id,away_team_id,team,team_id,team_type,price,sportsbook,last_updated,fetch_date,fetch_time
1536I5jNPkCHBvo64I9g,2026-03-18,23:00:00,Wake Forest Demon Deacons,Navy Midshipmen,1448,1298.0,Wake Forest Demon Deacons,1448.0,home,-650,fanduel,2026-03-17T05:55:06.000Z,2026-03-16,22:57:43
1536I5jNPkCHBvo64I9g,2026-03-18,23:00:00,Wake Forest Demon Deacons,Navy Midshipmen,1448,1298.0,Navy Midshipmen,1298.0,away,+460,fanduel,2026-03-17T05:55:06.000Z,2026-03-16,22:57:43
JAde3xecml5Um16OXVDU,2026-03-19,00:00:00,Utah Valley Wolverines,George Washington Revolutionaries,1428,1186.0,Utah Valley Wolverines,1428.0,home,-130,fanduel,2026-03-17T05:55:06.000Z,2026-03-16,22:57:43
JAde3xecml5Um16OXVDU,2026-03-19,00:00:00,Utah Valley Wolverines,George Washington Revolutionaries,1428,1186.0,George Washington Revolutionaries,1186.0,away,+108,fanduel,2026-03-17T05:55:06.000Z,2026-03-16,22:57:43
Lr0sHUXTXV0IQcoCyy9c,2026-03-19,00:00:00,Illinois State Redbirds,Kent State Golden Flashes,1228,1245.0,Illinois State Redbirds,1228.0,home,-240,fanduel,2026-03-17T05:55:06.000Z,2026-03-16,22:57:43
Lr0sHUXTXV0IQcoCyy9c,2026-03-19,00:00:00,Illinois State Redbirds,Kent State Golden Flashes,1228,1245.0,Kent State Golden Flashes,1245.0,away,+195,fanduel,2026-03-17T05:55:06.000Z,2026-03-16,22:57:43
Bkk7aw8Dp8uCkah3peMV,2026-03-19,01:00:00,New Mexico Lobos,Sam Houston State Bearkats,1307,1222.0,New Mexico Lobos,1307.0,home,-650,fanduel,2026-03-17T05:55:06.000Z,2026-03-16,22:57:43
Bkk7aw8Dp8uCkah3peMV,2026-03-19,01:00:00,New Mexico Lobos,Sam Houston State Bearkats,1307,1222.0,Sam Houston State Bearkats,1222.0,away,+460,fanduel,2026-03-17T05:55:06.000Z,2026-03-16,22:57:43
KnsZvmeWPGM5qKIaXV1O,2026-03-19,01:00:00,Bradley Braves,Dayton Flyers,1133,1173.0,Bradley Braves,1133.0,home,-102,fanduel,2026-03-17T05:55:06.000Z,2026-03-16,22:57:43
KnsZvmeWPGM5qKIaXV1O,2026-03-19,01:00:00,Bradley Braves,Dayton Flyers,1133,1173.0,Dayton Flyers,1173.0,away,-118,fanduel,2026-03-17T05:55:06.000Z,2026-03-16,22:57:43
