game_id,game_date,game_time,home_team,away_team,home_team_id,away_team_id,team,team_id,team_type,price,sportsbook,last_updated,fetch_date,fetch_time,market_type,handicap
manual-2026-08,2026-03-19,12:15:00,Vanderbilt,McNeese St,1435,1270,Vanderbilt,1435,home,-108,manual,2026-03-18T00:37:19.000Z,2026-03-18,00:37:19,spread,-11.5
manual-2026-08,2026-03-19,12:15:00,Vanderbilt,McNeese St,1435,1270,McNeese St,1270,away,-112,manual,2026-03-18T00:37:19.000Z,2026-03-18,00:37:19,spread,+11.5
manual-2026-09,2026-03-19,13:05:00,Michigan St,N Dakota St,1277,1295,Michigan St,1277,home,-1800,manual,2026-03-18T00:37:19.000Z,2026-03-18,00:37:19,moneyline,
manual-2026-09,2026-03-19,13:05:00,Michigan St,N Dakota St,1277,1295,N Dakota St,1295,away,+1000,manual,2026-03-18T00:37:19.000Z,2026-03-18,00:37:19,moneyline,
manual-2026-09,2026-03-19,13:05:00,Michigan St,N Dakota St,1277,1295,Michigan St,1277,home,-102,manual,2026-03-18T00:37:19.000Z,2026-03-18,00:37:19,spread,-16.5
manual-2026-09,2026-03-19,13:05:00,Michigan St,N Dakota St,1277,1295,N Dakota St,1295,away,-118,manual,2026-03-18T00:37:19.000Z,2026-03-18,00:37:19,spread,+16.5
manual-2026-10,2026-03-19,13:25:00,Arkansas,Hawaii,1116,1218,Arkansas,1116,home,-1450,manual,2026-03-18T00:37:19.000Z,2026-03-18,00:37:19,moneyline,
manual-2026-10,2026-03-19,13:25:00,Arkansas,Hawaii,1116,1218,Hawaii,1218,away,+850,manual,2026-03-18T00:37:19.000Z,2026-03-18,00:37:19,moneyline,
manual-2026-10,2026-03-19,13:25:00,Arkansas,Hawaii,1116,1218,Arkansas,1116,home,-108,manual,2026-03-18T00:37:19.000Z,2026-03-18,00:37:19,spread,-15.5
manual-2026-10,2026-03-19,13:25:00,Arkansas,Hawaii,1116,1218,Hawaii,1218,away,-112,manual,2026-03-18T00:37:19.000Z,2026-03-18,00:37:19,spread,+15.5
manual-2026-11,2026-03-19,15:50:00,North Carolina,VCU,1314,1433,North Carolina,1314,home,-142,manual,2026-03-18T00:37:19.000Z,2026-03-18,00:37:19,moneyline,
manual-2026-11,2026-03-19,15:50:00,North Carolina,VCU,1314,1433,VCU,1433,away,+120,manual,2026-03-18T00:37:19.000Z,2026-03-18,00:37:19,moneyline,
manual-2026-11,2026-03-19,15:50:00,North Carolina,VCU,1314,1433,North Carolina,1314,home,-112,manual,2026-03-18T00:37:19.000Z,2026-03-18,00:37:19,spread,-2.5
manual-2026-11,2026-03-19,15:50:00,North Carolina,VCU,1314,1433,VCU,1433,away,-108,manual,2026-03-18T00:37:19.000Z,2026-03-18,00:37:19,spread,+2.5
manual-2026-12,2026-03-19,16:10:00,Michigan,Howard,1276,1224,Michigan,1276,home,-50000,manual,2026-03-18T00:37:19.000Z,2026-03-18,00:37:19,moneyline,
manual-2026-12,2026-03-19,16:10:00,Michigan,Howard,1276,1224,Howard,1224,away,+4000,manual,2026-03-18T00:37:19.000Z,2026-03-18,00:37:19,moneyline,
manual-2026-12,2026-03-19,16:10:00,Michigan,Howard,1276,1224,Michigan,1276,home,-110,manual,2026-03-18T00:37:19.000Z,2026-03-18,00:37:19,spread,-31.5
manual-2026-12,2026-03-19,16:10:00,Michigan,Howard,1276,1224,Howard,1224,away,-110,manual,2026-03-18T00:37:19.000Z,2026-03-18,00:37:19,spread,+31.5
manual-2026-13,2026-03-19,16:25:00,BYU,Texas,1140,1400,BYU,1140,home,-148,manual,2026-03-18T00:37:19.000Z,2026-03-18,00:37:19,moneyline,
manual-2026-13,2026-03-19,16:25:00,BYU,Texas,1140,1400,Texas,1400,away,+124,manual,2026-03-18T00:37:19.000Z,2026-03-18,00:37:19,moneyline,
manual-2026-13,2026-03-19,16:25:00,BYU,Texas,1140,1400,BYU,1140,home,-120,manual,2026-03-18T00:37:19.000Z,2026-03-18,00:37:19,spread,-1.5
manual-2026-13,2026-03-19,16:25:00,BYU,Texas,1140,1400,Texas,1400,away,+100,manual,2026-03-18T00:37:19.000Z,2026-03-18,00:37:19,spread,+1.5
manual-2026-14,2026-03-19,16:35:00,St Mary's CA,Texas A&M,1388,1401,St Mary's CA,1388,home,-162,manual,2026-03-18T00:37:19.000Z,2026-03-18,00:37:19,moneyline,
manual-2026-14,2026-03-19,16:35:00,St Mary's CA,Texas A&M,1388,1401,Texas A&M,1401,away,+136,manual,2026-03-18T00:37:19.000Z,2026-03-18,00:37:19,moneyline,
manual-2026-14,2026-03-19,16:35:00,St Mary's CA,Texas A&M,1388,1401,St Mary's CA,1388,home,-102,manual,2026-03-18T00:37:19.000Z,2026-03-18,00:37:19,spread,-3.5
manual-2026-14,2026-03-19,16:35:00,St Mary's CA,Texas A&M,1388,1401,Texas A&M,1401,away,-118,manual,2026-03-18T00:37:19.000Z,2026-03-18,00:37:19,spread,+3.5
