Season,TeamID,TeamName,Barthag,Exp
2008,1305,Nevada,0.6614,1.538399999999999
2008,1422,UNC Greensboro,0.6484,1.7910000000000008
2008,1320,Northern Iowa,0.6483,1.7068586282743454
2008,1160,Colorado,0.6465,1.7001199520191927
2008,1330,Old Dominion,0.6448,1.552000000000001
2008,1235,Iowa St.,0.6433,1.5623374024414645
2008,1336,Penn St.,0.6427,1.3770491803278682
2008,1460,Wright St.,0.6424,1.5176000000000005
2008,1434,Valparaiso,0.6401,1.8345669133826767
2008,1227,Illinois Chicago,0.6358,1.751350270054011
2008,1364,UC Santa Barbara,0.6181,1.9859971994398875
2008,1429,Utah St.,0.6154,1.8436000000000003
2008,1360,San Diego,0.6138,1.0187319884726225
2008,1351,Rider,0.6109,1.3935709870183386
2008,1165,Cornell,0.607,1.552110422084417
2008,1267,Marshall,0.6014,1.693061387722456
2008,1276,Michigan,0.6011,1.2416000000000005
2008,1129,Boise St.,0.6003,2.320064012802561
2008,1340,Portland St.,0.5958,2.0609630088861333
2008,1234,Iowa,0.5928,1.7559999999999998
2008,1169,Cal St. Northridge,0.5922,2.327731092436975
2008,1317,North Texas,0.5915,1.8563999999999992
2008,1232,Indiana St.,0.5894,1.5532680391764946
2008,1358,Sam Houston St.,0.588,2.4274564738843307
2008,1120,Auburn,0.586,1.9466213514594153
2008,1420,UMBC,0.5804,2.201406649616369
2008,1295,North Dakota St.,0.577,1.4551999999999992
2008,1204,Georgia Southern,0.5752,2.034772182254197
2008,1385,St. John's,0.5747,0.7392000000000003
2008,1453,Green Bay,0.5682,1.363310783923597
2008,1310,Niagara,0.5632,1.7660455486542448
2008,1102,Air Force,0.5613,2.046990601879624
2008,1111,Appalachian St.,0.5528,1.8257999999999996
2008,1135,Brown,0.5522,1.7631999999999994
2008,1352,Robert Morris,0.5516,1.8959791958391676
2008,1455,Wichita St.,0.5511,1.9312275089964024
2008,1265,Marist,0.5444,1.871027651671482
2008,1247,La Salle,0.5439,1.3645999999999998
2008,1324,Oakland,0.5396,1.3822941646682647
